,date,accuracy,potential
0,2024-11-07,1,167.78905999999915
0,2024-11-08,0,-1.0
0,2024-11-11,1,162.8203100000028
0,2024-11-12,1,572.6601599999995
0,2024-11-13,1,271.53125
0,2024-11-14,1,596.9296900000008
0,2024-11-18,1,205.29101000000082
0,2024-11-19,1,15.519540000001143
0,2024-11-21,1,22.199220000002242
0,2024-11-22,0,-1.0
0,2024-11-25,1,286.78125
0,2024-11-26,1,100.63867000000027
0,2024-11-27,1,60.11914000000252
0,2024-11-28,1,75.88085999999748
0,2024-11-29,1,63.041010000000824
0,2024-12-02,0,-1.0
0,2024-12-03,1,16.88086000000112
0,2024-12-04,1,239.09960999999748
0,2024-12-05,1,10.291009999997186
0,2024-12-06,1,87.61132999999973
0,2024-12-09,0,-1.0
0,2024-12-10,1,416.4003899999989
0,2024-12-11,1,150.43944999999803
0,2024-12-12,1,866.6992199999986
0,2024-12-13,1,337.33984000000055
0,2024-12-16,1,279.1191399999989
0,2024-12-17,1,135.25
0,2024-12-18,1,700.9902299999994
0,2024-12-19,1,183.43946000000142
0,2024-12-20,1,413.3007800000014
0,2024-12-23,0,-1.0
0,2024-12-24,1,86.56053999999858
0,2024-12-26,1,138.73047000000224
0,2024-12-27,1,221.40039000000252
0,2024-12-30,1,147.97851999999693
0,2024-12-31,0,-1.0
0,2025-01-01,1,70.66993000000002
0,2025-01-02,1,158.20117000000027
0,2025-01-03,0,-1.0
0,2025-01-06,1,402.3300799999997
0,2025-01-07,0,-1.0
0,2025-01-08,1,208.37109999999666
0,2025-01-09,0,-1.0
0,2025-01-10,1,451.23827999999776
0,2025-01-13,0,-1.0
0,2025-01-14,1,273.4316400000025
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,176.45117000000027
0,2025-01-20,1,283.5507800000014
0,2025-01-21,0,-1.0
0,2025-01-22,1,219.91992000000027
0,2025-01-23,1,338.66015999999945
0,2025-01-24,1,736.6601599999995
0,2025-01-27,1,419.25976999999693
0,2025-01-28,1,34.57031000000279
0,2025-01-29,1,21.87109000000055
0,2025-01-30,0,-1.0
0,2025-01-31,1,4.511720000002242
0,2025-02-03,0,-1.0
0,2025-02-04,1,516.8203099999992
0,2025-02-05,1,154.11913999999888
0,2025-02-06,1,359.26952999999776
0,2025-02-07,1,905.6308599999975
0,2025-02-10,1,295.4902299999994
0,2025-02-11,1,465.56054999999833
0,2025-02-12,1,63.0
0,2025-02-13,1,403.47070000000167
0,2025-02-14,1,429.89062000000195
0,2025-02-17,1,450.87890999999945
0,2025-02-18,1,21.230459999998857
0,2025-02-19,1,303.8593800000017
0,2025-02-20,1,334.1816400000025
0,2025-02-21,0,-1.0
0,2025-02-24,1,364.8007800000014
0,2025-02-25,1,86.4101499999997
0,2025-02-27,1,477.1503899999989
0,2025-02-28,1,294.07030999999915
0,2025-03-03,1,550.3300800000034
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,311.32030999999915
0,2025-03-11,1,141.66015999999945
0,2025-03-12,0,-1.0
0,2025-03-13,1,430.2597700000006
0,2025-03-17,1,432.17967999999746
0,2025-03-18,1,491.7597600000008
0,2025-03-19,1,116.36913999999888
0,2025-03-20,1,175.38867000000027
0,2025-03-21,1,10.361329999999725
0,2025-03-24,1,363.3984399999972
0,2025-03-25,0,-1.0
0,2025-03-26,1,217.3398399999969
0,2025-03-27,1,61.0
0,2025-03-28,1,131.25976000000082
0,2025-04-01,1,2.949220000002242
0,2025-04-02,1,357.1503899999989
0,2025-04-03,0,-1.0
0,2025-04-04,1,2339.7382799999978
0,2025-04-07,1,212.93164000000252
0,2025-04-08,1,633.3398400000005
0,2025-04-09,1,1105.4902299999994
0,2025-04-11,1,665.2011700000003
0,2025-04-15,1,300.8105399999986
0,2025-04-16,0,-1.0
