,date,accuracy,potential
0,2024-11-07,1,619.9765699999989
0,2024-11-08,0,-1.0
0,2024-11-11,1,206.8203199999989
0,2024-11-12,0,-1.0
0,2024-11-13,1,1827.8046900000045
0,2024-11-14,1,846.25
0,2024-11-18,1,2568.8125
0,2024-11-19,1,580.0781200000056
0,2024-11-21,1,989.171869999991
0,2024-11-22,1,1826.4453099999955
0,2024-11-25,1,59.507809999995516
0,2024-11-26,1,1127.335930000001
0,2024-11-27,1,818.3125
0,2024-11-28,1,807.8828099999955
0,2024-11-29,1,473.5390599999955
0,2024-12-02,1,1737.9453099999955
0,2024-12-03,0,-1.0
0,2024-12-04,1,1922.460930000001
0,2024-12-05,1,2632.2265599999955
0,2024-12-06,0,-1.0
0,2024-12-09,1,1530.2578099999955
0,2024-12-10,0,-1.0
0,2024-12-11,1,942.8046899999899
0,2024-12-12,1,517.8125
0,2024-12-13,1,1167.2109400000045
0,2024-12-16,1,1761.5078099999955
0,2024-12-17,1,608.1796900000045
0,2024-12-18,1,1008.8359399999899
0,2024-12-19,1,1402.7109400000045
0,2024-12-20,0,-1.0
0,2024-12-23,1,704.3671900000045
0,2024-12-24,1,1145.8203099999955
0,2024-12-26,1,1002.7187400000112
0,2024-12-27,1,985.1640699999989
0,2024-12-30,1,446.34375
0,2024-12-31,0,-1.0
0,2025-01-01,0,-1.0
0,2025-01-02,1,1833.53125
0,2025-01-03,1,177.61718999998993
0,2025-01-06,1,1198.632819999999
0,2025-01-07,1,1775.9296900000045
0,2025-01-08,1,181.0625
0,2025-01-09,1,2948.953130000009
0,2025-01-10,1,914.6484400000045
0,2025-01-13,1,270.6484400000045
0,2025-01-14,1,760.7109399999899
0,2025-01-15,1,1072.11718999999
0,2025-01-16,1,181.42968999998993
0,2025-01-17,1,881.5625
0,2025-01-20,1,2540.9296900000045
0,2025-01-21,1,1756.1171900000045
0,2025-01-22,1,211.85937000000558
0,2025-01-23,1,136.65625
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,3410.0546900000045
0,2025-01-29,1,4313.140620000006
0,2025-01-30,1,426.8125
0,2025-01-31,0,-1.0
0,2025-02-03,1,2410.47656000001
0,2025-02-04,1,388.7343700000056
0,2025-02-05,1,17.5703199999989
0,2025-02-06,1,536.7578199999989
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,1,29.453129999994417
0,2025-02-12,0,-1.0
0,2025-02-13,1,1104.882819999999
0,2025-02-14,0,-1.0
0,2025-02-17,1,9.117190000004484
0,2025-02-18,1,3107.664069999999
0,2025-02-19,1,853.4843700000056
0,2025-02-20,0,-1.0
0,2025-02-21,1,1965.1718799999944
0,2025-02-24,1,1411.7343700000056
0,2025-02-25,1,310.74218999998993
0,2025-02-27,0,-1.0
0,2025-02-28,1,401.75
0,2025-03-03,1,838.9375
0,2025-03-04,1,2076.976569999999
0,2025-03-05,1,1807.4921900000045
0,2025-03-06,1,1003.8671900000045
0,2025-03-07,1,413.7343700000056
0,2025-03-10,0,-1.0
0,2025-03-11,1,196.67969000000448
0,2025-03-12,1,511.8359400000045
0,2025-03-13,1,843.3984300000011
0,2025-03-17,1,769.9687400000112
0,2025-03-18,1,1706.49218999999
0,2025-03-19,1,1346.85156000001
0,2025-03-20,1,1306.125
0,2025-03-21,0,-1.0
0,2025-03-24,1,654.3203099999955
0,2025-03-25,1,442.3593799999944
0,2025-03-26,1,568.2890699999989
0,2025-03-27,0,-1.0
0,2025-03-28,1,1264.273430000001
0,2025-04-01,1,728.6718700000056
0,2025-04-02,1,804.265630000009
0,2025-04-03,1,512.8515600000101
0,2025-04-04,0,-1.0
0,2025-04-07,1,1674.8125
0,2025-04-08,1,1429.4609400000045
0,2025-04-09,1,1789.1093700000056
0,2025-04-11,1,2567.054680000001
0,2025-04-15,0,-1.0
0,2025-04-16,1,324.15625
