,date,accuracy,potential
0,2024-11-08,1,114.45019000000138
0,2024-11-11,1,45.6503900000007
0,2024-11-12,1,169.5
0,2024-11-13,1,95.4003900000007
0,2024-11-14,1,166.60059
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,32.04980000000069
0,2024-11-22,0,-1.0
0,2024-11-25,1,12.399409999999989
0,2024-11-26,1,37.54980000000069
0,2024-11-27,1,80.54980999999862
0,2024-11-28,1,37.5996099999993
0,2024-11-29,1,7.549809999998615
0,2024-12-02,0,-1.0
0,2024-12-03,1,21.25
0,2024-12-04,1,61.5
0,2024-12-05,1,6.149409999999989
0,2024-12-06,1,77.3496099999993
0,2024-12-09,0,-1.0
0,2024-12-10,1,126.70019999999931
0,2024-12-11,1,46.900399999998626
0,2024-12-12,1,248.75
0,2024-12-13,1,93.5507800000014
0,2024-12-16,1,11.25
0,2024-12-17,1,31.14940999999999
0,2024-12-18,1,212.65039999999863
0,2024-12-19,1,53.54980000000069
0,2024-12-20,0,-1.0
0,2024-12-23,1,92.95019000000138
0,2024-12-24,1,44.04980000000069
0,2024-12-26,1,43.950190000001385
0,2024-12-27,1,23.25
0,2024-12-30,1,54.75
0,2024-12-31,0,-1.0
0,2025-01-01,1,10.549800000000687
0,2025-01-02,1,2.25
0,2025-01-03,1,150.34960000000137
0,2025-01-06,1,128.5507800000014
0,2025-01-07,1,68.40039999999863
0,2025-01-08,1,6.349600000001374
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,278.3505900000009
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,107.95019000000138
0,2025-01-17,1,47.0996099999993
0,2025-01-20,1,86.04980999999862
0,2025-01-21,0,-1.0
0,2025-01-22,1,57.449219999998604
0,2025-01-23,1,75.54980999999862
0,2025-01-24,1,222.95019000000138
0,2025-01-27,1,72.54980999999952
0,2025-01-28,1,121.20019999999931
0,2025-01-29,1,14.25
0,2025-01-30,0,-1.0
0,2025-01-31,1,6.799809999998615
0,2025-02-01,1,302.24950999999965
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,45.89940999999999
0,2025-02-06,0,-1.0
0,2025-02-07,1,262.4492199999986
0,2025-02-10,1,46.8496099999993
0,2025-02-11,1,137.60059000000092
0,2025-02-12,1,7.200199999999313
0,2025-02-13,1,102.70019999999931
0,2025-02-14,1,135.65040000000045
0,2025-02-17,1,128.29979999999978
0,2025-02-18,1,20.25
0,2025-02-19,1,96.79980999999862
0,2025-02-20,1,110.5
0,2025-02-21,1,101.34960000000137
0,2025-02-24,1,93.29980999999862
0,2025-02-25,1,61.75
0,2025-02-27,1,174.35009999999966
0,2025-02-28,1,116.40039999999863
0,2025-03-03,1,49.14940999999999
0,2025-03-04,1,220.10059
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,105.6503900000007
0,2025-03-11,1,42.39940999999999
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-17,1,142.14941
0,2025-03-18,0,-1.0
0,2025-03-19,1,43.35059000000001
0,2025-03-20,1,27.650390000000698
0,2025-03-21,1,89.9003900000007
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,15.099609999999302
0,2025-03-27,1,24.650390000000698
0,2025-03-28,1,43.0
0,2025-04-01,1,32.85059000000001
0,2025-04-02,1,106.60059000000001
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,1,270.64989999999943
0,2025-04-08,0,-1.0
0,2025-04-09,1,333.2500000000009
0,2025-04-11,0,-1.0
0,2025-04-15,1,88.60059000000001
0,2025-04-16,1,102.8007800000014
