,date,accuracy,potential
0,2024-11-08,1,13.75
0,2024-11-11,1,20.95001000000002
0,2024-11-12,1,17.45001000000002
0,2024-11-13,1,10.29998999999998
0,2024-11-14,1,14.39996999999994
0,2024-11-18,0,-1.0
0,2024-11-19,1,8.5
0,2024-11-21,1,22.39996999999994
0,2024-11-22,0,-1.0
0,2024-11-25,1,10.449949999999944
0,2024-11-26,1,6.75
0,2024-11-27,1,16.09997999999996
0,2024-11-28,1,0.7000700000000961
0,2024-11-29,1,21.5
0,2024-12-02,1,10.099969999999985
0,2024-12-03,0,-1.0
0,2024-12-04,1,7.5
0,2024-12-05,1,12.25
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,2.75
0,2024-12-11,1,4.199949999999944
0,2024-12-12,1,25.400030000000015
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,4.400030000000015
0,2024-12-18,1,22.59997999999996
0,2024-12-19,1,10.050040000000081
0,2024-12-20,0,-1.0
0,2024-12-23,1,10.650030000000015
0,2024-12-24,0,-1.0
0,2024-12-26,1,4.9000200000000405
0,2024-12-27,1,6.300040000000081
0,2024-12-30,0,-1.0
0,2024-12-31,1,9.699949999999944
0,2025-01-01,1,1.75
0,2025-01-02,1,7.949949999999944
0,2025-01-03,1,9.400030000000015
0,2025-01-06,0,-1.0
0,2025-01-07,1,13.0
0,2025-01-08,1,11.800040000000081
0,2025-01-09,1,23.29998999999998
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,12.699959999999919
0,2025-01-15,0,-1.0
0,2025-01-16,1,5.600030000000061
0,2025-01-17,1,2.5999799999999595
0,2025-01-20,1,28.75
0,2025-01-21,1,32.5
0,2025-01-22,1,18.0
0,2025-01-23,1,6.54998999999998
0,2025-01-24,1,12.90002000000004
0,2025-01-27,1,2.4500100000000202
0,2025-01-28,1,1.9000200000000405
0,2025-01-29,0,-1.0
0,2025-01-30,1,16.80004000000008
0,2025-01-31,1,11.15002000000004
0,2025-02-01,1,19.10003000000006
0,2025-02-03,1,1.1499699999999393
0,2025-02-04,1,10.54998999999998
0,2025-02-05,1,4.79998999999998
0,2025-02-06,1,7.300040000000081
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,9.449959999999919
0,2025-02-13,1,5.350030000000061
0,2025-02-14,1,20.09997999999996
0,2025-02-17,1,2.1000300000000607
0,2025-02-18,1,25.64996999999994
0,2025-02-19,1,7.5
0,2025-02-20,1,9.75
0,2025-02-21,1,15.39996999999994
0,2025-02-24,0,-1.0
0,2025-02-25,1,0.2999899999999798
0,2025-02-27,0,-1.0
0,2025-02-28,1,8.5
0,2025-03-03,1,8.70001000000002
0,2025-03-04,1,18.95001000000002
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,6.95001000000002
0,2025-03-10,1,5.0
0,2025-03-11,1,5.04998999999998
0,2025-03-12,1,4.8499799999999595
0,2025-03-13,1,3.9000200000000405
0,2025-03-17,1,18.75
0,2025-03-18,1,12.64996999999994
0,2025-03-19,1,13.90002000000004
0,2025-03-20,0,-1.0
0,2025-03-21,1,17.70001000000002
0,2025-03-24,1,10.79998999999998
0,2025-03-25,1,17.79998999999998
0,2025-03-26,1,5.4000200000000405
0,2025-03-27,1,3.5499899999999798
0,2025-03-28,1,18.70001000000002
0,2025-04-01,1,19.09997999999996
0,2025-04-02,1,5.899969999999939
0,2025-04-03,1,26.40002000000004
0,2025-04-04,1,50.20001000000002
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,16.89996999999994
0,2025-04-11,1,39.70001000000002
0,2025-04-15,1,0.9499599999999191
0,2025-04-16,1,2.0
