,date,accuracy,potential
0,2024-11-11,1,5.589969999999994
0,2024-11-12,1,12.850100000000111
0,2024-11-13,1,9.220090000000027
0,2024-11-14,1,16.989990000000034
0,2024-11-15,1,8.949949999999944
0,2024-11-18,1,11.430049999999937
0,2024-11-19,1,8.469969999999876
0,2024-11-20,1,2.8299600000000282
0,2024-11-21,1,12.039919999999938
0,2024-11-22,0,-1.0
0,2024-11-25,1,0.9799800000000687
0,2024-11-26,0,-1.0
0,2024-11-27,1,8.140019999999822
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,6.390009999999847
0,2024-12-06,0,-1.0
0,2024-12-09,1,5.359980000000178
0,2024-12-10,1,5.949949999999944
0,2024-12-11,1,13.91003999999998
0,2024-12-12,1,7.010010000000193
0,2024-12-13,1,5.640009999999847
0,2024-12-16,1,19.739990000000034
0,2024-12-17,1,5.25
0,2024-12-18,1,2.839960000000019
0,2024-12-19,1,10.6700400000002
0,2024-12-20,1,20.569940000000088
0,2024-12-23,1,1.4700900000000274
0,2024-12-24,1,5.260009999999966
0,2024-12-26,1,7.109990000000153
0,2024-12-27,0,-1.0
0,2024-12-30,1,10.25
0,2024-12-31,1,14.41003999999998
0,2025-01-02,1,11.979980000000069
0,2025-01-03,1,0.5
0,2025-01-06,1,3.0100099999999657
0,2025-01-07,1,2.7199699999998757
0,2025-01-08,1,2.619999999999891
0,2025-01-10,1,7.739990000000034
0,2025-01-13,1,14.539919999999938
0,2025-01-14,1,8.539920000000166
0,2025-01-15,1,3.0100099999999657
0,2025-01-16,1,5.9000200000000405
0,2025-01-17,0,-1.0
0,2025-01-21,1,6.660030000000006
0,2025-01-22,1,1.2199699999998757
0,2025-01-23,1,2.3099399999998695
0,2025-01-24,1,14.830079999999953
0,2025-01-27,1,15.319949999999835
0,2025-01-28,1,11.659920000000056
0,2025-01-29,1,20.75
0,2025-01-30,0,-1.0
0,2025-01-31,1,15.320069999999987
0,2025-02-03,1,8.120000000000118
0,2025-02-04,1,16.220090000000027
0,2025-02-05,1,7.839969999999994
0,2025-02-06,1,2.7000699999998687
0,2025-02-07,1,2.7000699999998687
0,2025-02-10,0,-1.0
0,2025-02-11,1,4.339969999999994
0,2025-02-12,1,2.0699500000000626
0,2025-02-13,1,1.0799500000000535
0,2025-02-14,1,9.75
0,2025-02-18,1,2.2600099999999657
0,2025-02-19,0,-1.0
0,2025-02-20,1,23.200070000000096
0,2025-02-21,1,6.260009999999966
0,2025-02-24,0,-1.0
0,2025-02-25,1,4.520010000000184
0,2025-02-26,1,1.1500300000000152
0,2025-02-27,1,14.520020000000159
0,2025-02-28,1,4.660030000000006
0,2025-03-03,1,2.059940000000097
0,2025-03-04,1,6.1400200000000495
0,2025-03-05,1,6.140010000000075
0,2025-03-06,1,13.34997999999996
0,2025-03-07,1,8.349969999999985
0,2025-03-10,1,10.5
0,2025-03-11,1,9.949949999999944
0,2025-03-12,1,2.130000000000109
0,2025-03-13,1,5.700070000000096
0,2025-03-14,1,16.269900000000007
0,2025-03-17,1,4.189949999999953
0,2025-03-18,1,10.970090000000027
0,2025-03-19,1,10.58996000000002
0,2025-03-20,1,0.9400600000001305
0,2025-03-21,0,-1.0
0,2025-03-24,1,6.800050000000056
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.030029999999897
0,2025-03-27,1,5.949950000000172
0,2025-03-28,1,19.760009999999966
0,2025-03-31,1,1.9700900000000274
0,2025-04-01,1,6.989990000000034
0,2025-04-02,1,8.430049999999937
0,2025-04-03,1,25.30993999999987
0,2025-04-04,1,61.510009999999966
0,2025-04-07,0,-1.0
0,2025-04-08,1,10.25
0,2025-04-09,1,7.579960000000028
0,2025-04-10,1,4.080069999999978
0,2025-04-11,1,18.589969999999994
0,2025-04-14,1,0.5599399999998695
0,2025-04-15,1,12.39002000000005
0,2025-04-16,0,-1.0
