,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,6.6200000000000045
0,2024-11-13,1,4.8799999999999955
0,2024-11-14,1,5.080010000000016
0,2024-11-15,1,7.489990000000034
0,2024-11-18,1,0.92999999999995
0,2024-11-19,0,-1
0,2024-11-20,1,5.3499799999999595
0,2024-11-21,0,-1
0,2024-11-22,1,11.119989999999916
0,2024-11-25,1,16.849969999999985
0,2024-11-26,0,-1
0,2024-11-27,1,7.090019999999981
0,2024-11-29,0,-1
0,2024-12-02,1,14.719979999999964
0,2024-12-03,1,9.63000999999997
0,2024-12-04,1,7.690000000000055
0,2024-12-05,1,7.730040000000031
0,2024-12-06,1,35.25
0,2024-12-09,1,12.709969999999998
0,2024-12-10,1,3.4099800000000187
0,2024-12-11,1,12.239990000000034
0,2024-12-12,0,-1
0,2024-12-13,1,9.430050000000051
0,2024-12-16,0,-1
0,2024-12-17,1,4.739989999999921
0,2024-12-18,1,7.01998999999995
0,2024-12-19,1,2.339999999999975
0,2024-12-20,1,3.6699899999999843
0,2024-12-23,1,5.5
0,2024-12-24,1,2.2799700000000485
0,2024-12-26,1,6.41998000000001
0,2024-12-27,0,-1
0,2024-12-30,1,1.2700100000000134
0,2024-12-31,0,-1
0,2025-01-02,1,6.829990000000009
0,2025-01-03,0,-1
0,2025-01-06,1,1.4699699999999893
0,2025-01-07,1,9.170040000000085
0,2025-01-08,1,9.570009999999911
0,2025-01-10,1,7.960029999999961
0,2025-01-13,1,2.140009999999961
0,2025-01-14,0,-1
0,2025-01-15,1,2.54004000000009
0,2025-01-16,1,10.240049999999997
0,2025-01-17,1,9.490000000000009
0,2025-01-21,1,8.290039999999976
0,2025-01-22,1,33.320010000000025
0,2025-01-23,1,1.0699499999999489
0,2025-01-24,1,15.380000000000052
0,2025-01-27,1,7.689999999999998
0,2025-01-28,1,13.379999999999995
0,2025-01-29,0,-1
0,2025-01-30,1,7.490020000000015
0,2025-01-31,1,0.339999999999975
0,2025-02-03,0,-1
0,2025-02-04,1,1.6700100000000475
0,2025-02-05,1,15.71999999999997
0,2025-02-06,0,-1
0,2025-02-07,1,8.699979999999982
0,2025-02-10,1,12.980039999999974
0,2025-02-11,1,1.339999999999975
0,2025-02-12,0,-1
0,2025-02-13,1,7.490000000000009
0,2025-02-14,0,-1
0,2025-02-18,0,-1
0,2025-02-19,0,-1
0,2025-02-20,1,15.649990000000003
0,2025-02-21,1,0.19998999999995704
0,2025-02-24,1,12.310020000000009
0,2025-02-25,0,-1
0,2025-02-26,0,-1
0,2025-02-27,1,0.07001000000002477
0,2025-02-28,0,-1
0,2025-03-03,1,15.25
0,2025-03-04,0,-1
0,2025-03-05,1,1.4700000000000273
0,2025-03-06,1,12.639989999999955
0,2025-03-07,1,33.30999000000003
0,2025-03-10,0,-1
0,2025-03-11,0,-1
0,2025-03-12,0,-1
0,2025-03-13,0,-1
0,2025-03-14,0,-1
0,2025-03-17,1,3.0099500000000035
0,2025-03-18,1,4.480040000000031
0,2025-03-19,0,-1
0,2025-03-20,1,19.66998000000001
0,2025-03-21,0,-1
0,2025-03-24,0,-1
0,2025-03-25,1,19.930059999999912
0,2025-03-26,0,-1
0,2025-03-27,1,12.83996000000002
0,2025-03-28,1,27.020020000000045
0,2025-03-31,1,8.159999999999968
0,2025-04-01,1,8.83001999999999
0,2025-04-02,0,-1
0,2025-04-03,1,66.88
0,2025-04-04,1,32.97000000000003
0,2025-04-07,1,18.399990000000003
0,2025-04-08,1,3.1399899999999548
0,2025-04-09,1,34.11000999999999
0,2025-04-10,1,22.139989999999955
0,2025-04-11,0,-1
0,2025-04-14,0,-1
0,2025-04-15,1,1.1999799999999823
0,2025-04-16,1,3.4100099999999998
