,date,accuracy,potential
0,2024-11-11,1,1.8998999999998887
0,2024-11-12,1,30.959960000000137
0,2024-11-13,1,7.020019999999931
0,2024-11-14,1,54.75
0,2024-11-15,1,25.170170000000326
0,2024-11-18,1,17.120120000000043
0,2024-11-19,0,-1.0
0,2024-11-20,1,12.760009999999966
0,2024-11-21,1,28.52001999999993
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,0.030029999999896972
0,2024-11-27,1,9.930180000000291
0,2024-11-29,0,-1.0
0,2024-12-02,1,5.969970000000103
0,2024-12-03,0,-1.0
0,2024-12-04,1,5.829829999999674
0,2024-12-05,1,43.22998000000007
0,2024-12-06,1,13.309809999999743
0,2024-12-09,1,18.779779999999846
0,2024-12-10,1,51.39989999999989
0,2024-12-11,1,21.25
0,2024-12-12,1,16.320070000000214
0,2024-12-13,1,25.60010000000011
0,2024-12-16,0,-1.0
0,2024-12-17,1,6.75
0,2024-12-18,0,-1.0
0,2024-12-19,1,31.239990000000034
0,2024-12-20,1,30.53003000000035
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,7.279779999999846
0,2024-12-31,0,-1.0
0,2025-01-02,1,29.709959999999683
0,2025-01-03,1,39.859860000000026
0,2025-01-06,1,42.310059999999794
0,2025-01-07,1,7.649899999999889
0,2025-01-08,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,26.449949999999717
0,2025-01-14,1,57.919920000000275
0,2025-01-15,1,7.959960000000137
0,2025-01-16,1,41.63988999999992
0,2025-01-17,1,45.56006000000025
0,2025-01-21,1,48.859860000000026
0,2025-01-22,1,4.16991999999982
0,2025-01-23,1,3.449949999999717
0,2025-01-24,1,6.739990000000034
0,2025-01-27,1,24.919920000000275
0,2025-01-28,1,8.469970000000103
0,2025-01-29,1,9.610109999999622
0,2025-01-30,1,29.849849999999606
0,2025-01-31,1,47.75
0,2025-02-03,1,39.08008000000018
0,2025-02-04,0,-1.0
0,2025-02-05,1,20.40014999999994
0,2025-02-06,1,74.48999000000003
0,2025-02-07,1,39.90991000000031
0,2025-02-10,1,20.02001999999993
0,2025-02-11,0,-1.0
0,2025-02-12,1,19.860110000000077
0,2025-02-13,1,0.14989999999988868
0,2025-02-14,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,0,-1.0
0,2025-02-21,1,0.83008000000018
0,2025-02-24,1,27.239990000000034
0,2025-02-25,0,-1.0
0,2025-02-26,1,32.20996000000014
0,2025-02-27,0,-1.0
0,2025-02-28,1,18.190190000000257
0,2025-03-03,0,-1.0
0,2025-03-04,1,2.4399399999997513
0,2025-03-05,1,51.77001999999993
0,2025-03-06,0,-1.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,28.370120000000043
0,2025-03-11,1,20.739990000000034
0,2025-03-12,1,50.920170000000326
0,2025-03-13,1,40.84985000000006
0,2025-03-14,1,23.859860000000026
0,2025-03-17,1,55.679929999999786
0,2025-03-18,1,19.94995000000017
0,2025-03-19,1,23.709960000000137
0,2025-03-20,1,31.27001999999993
0,2025-03-21,1,63.90014999999994
0,2025-03-24,1,20.41991999999982
0,2025-03-25,1,22.299799999999777
0,2025-03-26,1,12.489990000000034
0,2025-03-27,1,69.88988999999992
0,2025-03-28,0,-1.0
0,2025-03-31,1,18.200200000000223
0,2025-04-01,1,20.989990000000034
0,2025-04-02,1,145.56982000000016
0,2025-04-03,0,-1.0
0,2025-04-04,1,102.40014999999994
0,2025-04-07,1,104.43993999999975
0,2025-04-08,1,7.920169999999871
0,2025-04-09,1,60.089840000000095
0,2025-04-10,1,13.25
0,2025-04-11,1,38.96996999999965
0,2025-04-14,1,4.399899999999889
0,2025-04-15,0,-1.0
0,2025-04-16,1,27.28003000000035
