,date,accuracy,potential
0,2024-11-11,1,3.110050000000001
0,2024-11-12,1,6.410030000000006
0,2024-11-13,1,3.0800199999999904
0,2024-11-14,1,0.8200100000000248
0,2024-11-15,1,5.92999999999995
0,2024-11-18,1,7.3299599999999145
0,2024-11-19,0,-1.0
0,2024-11-20,0,-1.0
0,2024-11-21,1,1.0800100000000157
0,2024-11-22,1,8.78003000000001
0,2024-11-25,1,3.839960000000019
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,1.1300099999999702
0,2024-12-02,1,5.260009999999966
0,2024-12-03,1,14.390009999999961
0,2024-12-04,1,7.020020000000045
0,2024-12-05,1,12.309999999999945
0,2024-12-06,0,-1.0
0,2024-12-09,1,4.5
0,2024-12-10,1,2.109989999999925
0,2024-12-11,1,6.0999700000000985
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,1,10.840029999999956
0,2024-12-17,1,1.2100199999999859
0,2024-12-18,1,7.089969999999994
0,2024-12-19,1,0.8200100000000248
0,2024-12-20,1,5.169989999999984
0,2024-12-23,1,2.8499799999999595
0,2024-12-24,1,3.930059999999912
0,2024-12-26,1,2.6399599999999737
0,2024-12-27,1,0.5499899999999798
0,2024-12-30,1,9.259950000000003
0,2024-12-31,0,-1.0
0,2025-01-02,1,6.729979999999955
0,2025-01-03,1,8.639959999999974
0,2025-01-06,1,11.609989999999925
0,2025-01-07,1,6.609989999999925
0,2025-01-08,1,16.15996999999993
0,2025-01-10,0,-1.0
0,2025-01-13,1,2.42999999999995
0,2025-01-14,0,-1.0
0,2025-01-15,1,1.9400100000000293
0,2025-01-16,1,1.3099999999999454
0,2025-01-17,1,6.080010000000016
0,2025-01-21,1,7.16998000000001
0,2025-01-22,0,-1.0
0,2025-01-23,1,5.679989999999975
0,2025-01-24,1,9.229980000000069
0,2025-01-27,1,3.6499599999999646
0,2025-01-28,1,4.160039999999981
0,2025-01-29,1,6.940000000000055
0,2025-01-30,0,-1.0
0,2025-01-31,1,7.25
0,2025-02-03,1,13.770019999999931
0,2025-02-04,1,2.8900200000000495
0,2025-02-05,1,8.840029999999956
0,2025-02-06,1,4.8599799999999505
0,2025-02-07,1,13.349970000000098
0,2025-02-10,1,5.539980000000014
0,2025-02-11,0,-1.0
0,2025-02-12,1,4.710019999999986
0,2025-02-13,1,10.5
0,2025-02-14,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,1,3.25
0,2025-02-20,1,7.679989999999975
0,2025-02-21,1,3.1000400000000354
0,2025-02-24,1,12.620000000000005
0,2025-02-25,1,2.1900100000000293
0,2025-02-26,1,0.8800100000000839
0,2025-02-27,1,4.63000999999997
0,2025-02-28,1,7.040039999999976
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,13.0
0,2025-03-10,1,4.020019999999931
0,2025-03-11,1,3.9400000000000546
0,2025-03-12,1,6.790039999999976
0,2025-03-13,1,13.279970000000048
0,2025-03-14,1,10.090029999999956
0,2025-03-17,1,0.4199899999999843
0,2025-03-18,0,-1.0
0,2025-03-19,1,3.640009999999961
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,7.169989999999984
0,2025-03-27,1,1.949950000000058
0,2025-03-28,1,12.0
0,2025-03-31,1,6.6500200000000405
0,2025-04-01,1,7.719969999999989
0,2025-04-02,0,-1.0
0,2025-04-03,1,53.95001000000002
0,2025-04-04,1,16.43999999999994
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,34.7100200000001
0,2025-04-10,1,8.60997999999995
0,2025-04-11,0,-1.0
0,2025-04-14,1,10.350039999999922
0,2025-04-15,0,-1.0
0,2025-04-16,1,18.0
