,date,accuracy,potential
0,2024-11-08,1,147.95117000000027
0,2024-11-11,1,44.59960999999748
0,2024-11-12,1,183.25
0,2024-11-13,1,64.1992199999986
0,2024-11-14,1,5.75
0,2024-11-18,1,236.59960999999748
0,2024-11-19,1,170.59960999999748
0,2024-11-21,1,19.949219999998604
0,2024-11-22,1,470.69922000000224
0,2024-11-25,1,113.15039000000252
0,2024-11-26,1,41.201170000000275
0,2024-11-27,1,171.8984399999972
0,2024-11-28,1,93.5507800000014
0,2024-11-29,1,144.59961000000112
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,58.09961000000112
0,2024-12-05,1,205.65038999999888
0,2024-12-06,1,80.89843999999721
0,2024-12-09,1,70.29882999999973
0,2024-12-10,1,122.1992199999986
0,2024-12-11,1,79.5507800000014
0,2024-12-12,1,449.8496099999975
0,2024-12-13,1,110.25
0,2024-12-16,1,269.8496099999975
0,2024-12-17,1,165.70117000000027
0,2024-12-18,1,402.5
0,2024-12-19,0,-1.0
0,2024-12-20,0,-1.0
0,2024-12-23,1,58.800780000001396
0,2024-12-24,1,75.29882999999973
0,2024-12-26,0,-1.0
0,2024-12-27,1,82.0507800000014
0,2024-12-30,1,55.90038999999888
0,2024-12-31,1,182.80077999999776
0,2025-01-01,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,14.849610000001121
0,2025-01-07,1,206.34960999999748
0,2025-01-08,1,144.90039000000252
0,2025-01-09,1,362.6503900000025
0,2025-01-10,1,242.8007800000014
0,2025-01-13,0,-1.0
0,2025-01-14,1,131.94922000000224
0,2025-01-15,1,256.94922000000224
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,21.449219999998604
0,2025-01-21,1,58.951170000000275
0,2025-01-22,1,100.79882999999973
0,2025-01-23,1,67.40038999999888
0,2025-01-24,1,231.15039000000252
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,1,58.65038999999888
0,2025-01-30,1,19.449220000002242
0,2025-01-31,1,130.1992199999986
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,37.59960999999748
0,2025-02-06,1,156.8515600000028
0,2025-02-07,1,268.25
0,2025-02-10,0,-1.0
0,2025-02-11,1,302.5
0,2025-02-12,1,214.6992199999986
0,2025-02-13,1,191.05077999999776
0,2025-02-14,1,240.3515600000028
0,2025-02-17,1,168.95117000000027
0,2025-02-18,1,87.09961000000112
0,2025-02-19,1,182.70117000000027
0,2025-02-20,0,-1.0
0,2025-02-21,0,-1.0
0,2025-02-24,1,5.650389999998879
0,2025-02-25,1,191.04882999999973
0,2025-02-27,1,249.0
0,2025-02-28,1,71.19922000000224
0,2025-03-03,1,107.25
0,2025-03-04,1,24.0
0,2025-03-05,1,95.04882999999973
0,2025-03-06,1,113.29882999999973
0,2025-03-07,1,52.449219999998604
0,2025-03-10,1,312.1503899999989
0,2025-03-11,0,-1.0
0,2025-03-12,1,97.75
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,160.20117000000027
0,2025-03-19,0,-1.0
0,2025-03-20,1,260.25
0,2025-03-21,0,-1.0
0,2025-03-24,1,26.548829999999725
0,2025-03-25,1,140.70117000000027
0,2025-03-26,1,75.40039000000252
0,2025-03-27,1,148.5507800000014
0,2025-03-28,1,273.0996100000011
0,2025-04-01,0,-1.0
0,2025-04-02,1,52.5
0,2025-04-03,1,115.59960999999748
0,2025-04-04,1,1021.3007799999978
0,2025-04-07,0,-1.0
0,2025-04-08,1,211.75
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,53.19922000000224
