,date,accuracy,potential
0,2024-11-08,1,367.90234000000055
0,2024-11-11,1,317.19921999999497
0,2024-11-12,1,204.44922000000224
0,2024-11-13,1,103.44922000000224
0,2024-11-14,1,110.80077999999776
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,507.69922000000224
0,2024-11-22,0,-1.0
0,2024-11-25,1,154.75
0,2024-11-26,1,134.30077999999776
0,2024-11-27,1,104.60155999999552
0,2024-11-28,1,173.0
0,2024-11-29,1,315.2031200000056
0,2024-12-02,1,556.0976599999995
0,2024-12-03,1,407.15234000000055
0,2024-12-04,1,255.1484399999972
0,2024-12-05,1,253.3984399999972
0,2024-12-06,1,95.94922000000224
0,2024-12-09,1,169.05077999999776
0,2024-12-10,1,297.55077999999776
0,2024-12-11,1,140.19922000000224
0,2024-12-12,0,-1.0
0,2024-12-13,1,205.44921999999497
0,2024-12-16,1,524.25
0,2024-12-17,1,423.84765999999945
0,2024-12-18,0,-1.0
0,2024-12-19,0,-1.0
0,2024-12-20,0,-1.0
0,2024-12-23,1,26.5
0,2024-12-24,1,108.89843999999721
0,2024-12-26,1,408.30077999999776
0,2024-12-27,1,160.75
0,2024-12-30,1,236.44921999999497
0,2024-12-31,1,365.90234000000055
0,2025-01-01,1,148.30078000000503
0,2025-01-02,1,48.39843999999721
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,543.550780000005
0,2025-01-08,1,392.0
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,652.0976599999995
0,2025-01-14,1,224.70312000000558
0,2025-01-15,1,628.0468799999944
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,544.699219999995
0,2025-01-21,1,92.0
0,2025-01-22,1,263.5
0,2025-01-23,1,242.80078000000503
0,2025-01-24,0,-1.0
0,2025-01-27,1,832.9492200000022
0,2025-01-28,1,19.25
0,2025-01-29,1,91.70312000000558
0,2025-01-30,0,-1.0
0,2025-01-31,1,113.89843999999721
0,2025-02-01,0,-1.0
0,2025-02-03,1,769.9023400000005
0,2025-02-04,0,-1.0
0,2025-02-05,1,160.80078000000503
0,2025-02-06,1,178.29687999999442
0,2025-02-07,1,493.4531200000056
0,2025-02-10,1,475.75
0,2025-02-11,1,609.1015600000028
0,2025-02-12,1,291.44922000000224
0,2025-02-13,1,215.3984399999972
0,2025-02-14,0,-1.0
0,2025-02-17,1,408.6484399999972
0,2025-02-18,1,550.6523400000005
0,2025-02-19,0,-1.0
0,2025-02-20,1,5.6523400000005495
0,2025-02-21,1,620.1015600000028
0,2025-02-24,1,34.05077999999776
0,2025-02-25,1,357.94921999999497
0,2025-02-27,0,-1.0
0,2025-02-28,1,223.94922000000224
0,2025-03-03,1,179.6484399999972
0,2025-03-04,0,-1.0
0,2025-03-05,1,229.65234000000055
0,2025-03-06,1,231.64844000000448
0,2025-03-07,1,88.0
0,2025-03-10,0,-1.0
0,2025-03-11,1,332.34765999999945
0,2025-03-12,1,285.1015600000028
0,2025-03-13,1,398.8515600000028
0,2025-03-17,1,683.8984400000045
0,2025-03-18,1,355.19922000000224
0,2025-03-19,1,292.44921999999497
0,2025-03-20,0,-1.0
0,2025-03-21,1,1044.550780000005
0,2025-03-24,1,284.94921999999497
0,2025-03-25,1,357.09765999999945
0,2025-03-26,1,451.30077999999776
0,2025-03-27,1,57.55077999999776
0,2025-03-28,1,119.10156000000279
0,2025-04-01,1,384.1484399999972
0,2025-04-02,1,350.6484399999972
0,2025-04-03,1,303.6484400000045
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,510.40234000000055
0,2025-04-09,1,769.8515600000028
0,2025-04-11,1,1247.6484400000045
0,2025-04-15,1,394.0
0,2025-04-16,0,-1.0
