,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,37.55077999999776
0,2024-11-03,1,7.810549999998329
0,2024-11-04,1,39.578129999998055
0,2024-11-05,1,143.37109000000055
0,2024-11-10,1,6.230470000002242
0,2024-11-11,0,-1
0,2024-11-12,1,82.79102000000057
0,2024-11-13,1,138.94140999999945
0,2024-11-14,1,53.140629999998055
0,2024-11-17,0,-1
0,2024-11-18,1,17.22070000000167
0,2024-11-19,1,23.048829999999725
0,2024-11-20,1,8.070309999999154
0,2024-11-21,0,-1
0,2024-11-24,1,65.46094000000085
0,2024-11-25,0,-1
0,2024-11-26,1,50.919920000000275
0,2024-11-27,0,-1
0,2024-11-28,1,18.24022999999943
0,2024-12-01,1,5.6289099999994505
0,2024-12-02,1,21.271480000003066
0,2024-12-03,1,32.730469999998604
0,2024-12-04,0,-1
0,2024-12-05,1,21.09961000000112
0,2024-12-08,0,-1
0,2024-12-09,1,15.271479999999428
0,2024-12-10,1,88.18163999999888
0,2024-12-11,1,5.148440000000846
0,2024-12-12,0,-1
0,2024-12-15,1,49.37890999999945
0,2024-12-16,1,9.490239999999176
0,2024-12-17,0,-1
0,2024-12-22,1,86.99022999999943
0,2024-12-23,1,7.330079999999725
0,2024-12-24,1,31.71875
0,2024-12-25,1,52.49022999999943
0,2024-12-26,1,117.82812000000195
0,2024-12-29,1,2.2890600000027916
0,2024-12-30,1,25.11913999999888
0,2024-12-31,1,167.70117000000027
0,2025-01-05,1,3.300780000001396
0,2025-01-06,1,50.08984000000055
0,2025-01-07,1,74.75977000000057
0,2025-01-08,1,29.720710000001418
0,2025-01-09,1,122.18945000000167
0,2025-01-12,1,10.810550000001967
0,2025-01-13,0,-1
0,2025-01-14,1,8.599610000001121
0,2025-01-15,1,35.390629999998055
0,2025-01-16,1,29.832030000001396
0,2025-01-19,0,-1
0,2025-01-20,1,25.3203199999989
0,2025-01-21,1,16.849609999997483
0,2025-01-22,1,14.53125
0,2025-01-23,1,122.53905999999915
0,2025-01-26,1,12.16015999999945
0,2025-01-27,1,12.041010000000824
0,2025-01-28,1,91.58007999999973
0,2025-01-29,1,7.648440000000846
0,2025-01-30,0,-1
0,2025-02-02,0,-1
0,2025-02-03,1,125.80077999999776
0,2025-02-04,1,77.58006999999998
0,2025-02-05,1,94.68945999999778
0,2025-02-06,0,-1
0,2025-02-10,1,110.03125
0,2025-02-12,1,50.98047000000224
0,2025-02-13,0,-1
0,2025-02-16,1,15.417969999998604
0,2025-02-17,0,-1
0,2025-02-18,1,32.578129999998055
0,2025-02-19,1,0.7089799999994284
0,2025-02-20,1,13.369139999998879
0,2025-02-23,1,36.83984000000055
0,2025-02-24,1,181.8788999999997
0,2025-02-25,1,105.91211000000112
0,2025-02-26,1,71.14844000000085
0,2025-02-27,1,2.9023400000005495
0,2025-03-03,1,1.25
0,2025-03-04,0,-1
0,2025-03-05,0,-1
0,2025-03-06,1,45.55077999999776
0,2025-03-09,0,-1
0,2025-03-10,0,-1
0,2025-03-11,1,23.390620000001945
0,2025-03-12,0,-1
0,2025-03-13,0,-1
0,2025-03-16,1,3.8593699999983073
0,2025-03-17,1,21.63086000000112
0,2025-03-18,1,42.20116999999664
0,2025-03-19,1,45.53125
0,2025-03-20,1,25.56054999999833
0,2025-03-23,0,-1
0,2025-03-24,1,87.5195300000014
0,2025-03-25,1,53.0
0,2025-03-26,1,9.208979999999428
0,2025-03-27,0,-1
0,2025-04-06,0,-1
0,2025-04-07,0,-1
0,2025-04-08,1,221.83007999999973
0,2025-04-09,1,636.671870000002
0,2025-04-10,1,37.39843999999721
0,2025-04-13,1,163.06054000000222
0,2025-04-14,1,55.48045999999886
0,2025-04-15,1,94.22851000000082
0,2025-04-16,1,102.66015999999945
