,date,accuracy,potential
0,2024-11-11,1,23.890629999999874
0,2024-11-12,0,-1.0
0,2024-11-13,1,32.359379999999874
0,2024-11-14,1,138.35937999999987
0,2024-11-17,1,145.93944999999985
0,2024-11-18,1,73.04979999999887
0,2024-11-19,1,36.459969999999885
0,2024-11-20,1,26.91016000000127
0,2024-11-21,1,66.70019999999931
0,2024-11-24,0,-1.0
0,2024-11-25,1,27.379880000000412
0,2024-11-26,1,32.90917999999874
0,2024-11-27,1,6.780269999999291
0,2024-11-28,0,-1.0
0,2024-12-01,1,52.79980000000069
0,2024-12-02,1,60.819330000000264
0,2024-12-03,1,35.75
0,2024-12-04,1,85.62011999999959
0,2024-12-05,1,94.45996000000014
0,2024-12-08,1,137.74023000000125
0,2024-12-09,1,22.120119999999588
0,2024-12-10,1,19.71972000000096
0,2024-12-11,1,44.520510000000286
0,2024-12-12,1,38.25
0,2024-12-15,1,32.76074000000153
0,2024-12-16,1,27.539059999999154
0,2024-12-17,0,-1.0
0,2024-12-18,1,39.12988000000041
0,2024-12-19,1,101.42968999999903
0,2024-12-22,1,12.949220000000423
0,2024-12-23,1,43.740240000000995
0,2024-12-24,1,13.08983999999873
0,2024-12-25,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-29,1,205.7197299999989
0,2024-12-30,1,227.1298800000004
0,2024-12-31,1,52.640629999999874
0,2025-01-01,1,36.020510000000286
0,2025-01-02,1,23.570309999999154
0,2025-01-05,0,-1.0
0,2025-01-06,1,88.28027000000111
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-09,1,18.02930000000015
0,2025-01-12,1,88.55956999999944
0,2025-01-13,1,44.37012000000141
0,2025-01-14,1,57.64940999999999
0,2025-01-15,0,-1.0
0,2025-01-16,1,41.99022999999943
0,2025-01-19,1,103.59082000000126
0,2025-01-20,1,173.4697300000007
0,2025-01-21,1,27.93065999999999
0,2025-01-22,1,88.30956999999944
0,2025-01-23,1,1.0
0,2025-01-26,1,15.44043000000056
0,2025-01-27,1,14.490229999999428
0,2025-01-28,1,345.3691399999989
0,2025-01-29,1,12.020510000000286
0,2025-01-30,1,128.40917999999874
0,2025-02-02,1,131.3398500000003
0,2025-02-03,1,46.37010999999984
0,2025-02-04,1,86.5507800000014
0,2025-02-05,0,-1.0
0,2025-02-06,1,43.5898500000003
0,2025-02-10,0,-1.0
0,2025-02-11,1,7.270510000000286
0,2025-02-12,1,21.08983999999873
0,2025-02-13,1,70.43946000000142
0,2025-02-16,0,-1.0
0,2025-02-17,1,25.27930000000015
0,2025-02-18,1,114.25977000000057
0,2025-02-19,1,37.4101499999997
0,2025-02-20,1,23.839850000000297
0,2025-02-24,1,54.12010999999984
0,2025-02-25,1,43.83984999999848
0,2025-02-26,1,172.0302699999993
0,2025-02-27,0,-1.0
0,2025-03-02,1,74.16015999999945
0,2025-03-03,1,141.37989000000016
0,2025-03-04,1,48.24022999999943
0,2025-03-05,0,-1.0
0,2025-03-06,1,42.37011999999959
0,2025-03-09,1,168.10937000000013
0,2025-03-10,0,-1.0
0,2025-03-11,1,45.00977000000057
0,2025-03-12,1,104.88086000000112
0,2025-03-13,1,66.54979999999887
0,2025-03-16,1,129.56934
0,2025-03-17,1,117.97950000000128
0,2025-03-18,1,163.31933000000026
0,2025-03-19,1,48.68065999999999
0,2025-03-20,1,103.43065999999999
0,2025-03-23,0,-1.0
0,2025-03-24,1,150.07030999999915
0,2025-03-25,1,21.81055000000015
0,2025-03-26,0,-1.0
0,2025-03-27,1,162.74023999999918
0,2025-04-03,0,-1.0
0,2025-04-06,0,-1.0
0,2025-04-07,1,331.179689999999
0,2025-04-08,1,215.2304699999986
0,2025-04-09,1,487.6406200000001
0,2025-04-10,0,-1.0
0,2025-04-13,1,48.9296800000011
0,2025-04-14,0,-1.0
0,2025-04-15,1,37.96973000000071
0,2025-04-16,0,-1.0
