,date,accuracy,potential
0,2024-11-13,0,-1
0,2024-11-14,1,23.129879999999957
0,2024-11-15,0,-1
0,2024-11-18,1,32.32006999999976
0,2024-11-19,1,9.929929999999786
0,2024-11-20,0,-1
0,2024-11-21,1,25.78978999999981
0,2024-11-22,0,-1
0,2024-11-25,1,58.60010000000011
0,2024-11-26,1,6.879879999999957
0,2024-11-27,1,22.840090000000146
0,2024-11-28,0,-1
0,2024-11-29,1,19.290040000000317
0,2024-12-02,1,6.83983999999964
0,2024-12-03,1,0.5500499999998283
0,2024-12-04,1,15.84985000000006
0,2024-12-05,1,36.599849999999606
0,2024-12-06,1,20.02001999999993
0,2024-12-09,1,23.350099999999657
0,2024-12-10,1,31.409909999999854
0,2024-12-11,1,26.43993999999975
0,2024-12-12,1,10.579829999999674
0,2024-12-13,1,0.9602100000001883
0,2024-12-16,1,35.81981999999971
0,2024-12-17,1,2.800050000000283
0,2024-12-18,1,17.67016999999987
0,2024-12-19,1,19.889890000000378
0,2024-12-20,1,9.089840000000095
0,2024-12-23,1,12.350100000000111
0,2024-12-24,1,12.010009999999966
0,2024-12-27,0,-1
0,2024-12-30,1,23.030029999999897
0,2024-12-31,1,4.25
0,2025-01-02,0,-1
0,2025-01-03,1,8.909909999999854
0,2025-01-06,1,21.360110000000077
0,2025-01-07,0,-1
0,2025-01-08,1,13.429929999999786
0,2025-01-09,1,51.63988999999992
0,2025-01-10,0,-1
0,2025-01-13,1,24.93993999999975
0,2025-01-14,1,52.38013000000001
0,2025-01-15,1,19.439940000000206
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-20,1,16.410159999999905
0,2025-01-21,1,15.490240000000085
0,2025-01-22,1,29.199949999999717
0,2025-01-23,1,5.549799999999777
0,2025-01-24,0,-1
0,2025-01-27,1,21.32006999999976
0,2025-01-28,0,-1
0,2025-01-29,0,-1
0,2025-01-30,1,16.889889999999923
0,2025-01-31,1,175.57007000000021
0,2025-02-03,0,-1
0,2025-02-04,0,-1
0,2025-02-05,0,-1
0,2025-02-06,1,15.479980000000069
0,2025-02-07,0,-1
0,2025-02-10,0,-1
0,2025-02-11,1,24.96021000000019
0,2025-02-12,1,18.959960000000137
0,2025-02-13,1,50.179929999999786
0,2025-02-14,1,10.67993000000024
0,2025-02-18,1,14.239990000000034
0,2025-02-19,0,-1
0,2025-02-20,1,18.959960000000137
0,2025-02-21,1,16.86986999999999
0,2025-02-24,1,7.320070000000214
0,2025-02-25,1,40.92016999999987
0,2025-02-26,1,30.56981999999971
0,2025-02-27,1,5.73998999999958
0,2025-02-28,1,11.130130000000008
0,2025-03-03,0,-1
0,2025-03-04,1,55.729979999999614
0,2025-03-05,1,3.8200700000002143
0,2025-03-06,1,1.5698199999997087
0,2025-03-07,1,44.13988999999992
0,2025-03-10,1,49.609860000000026
0,2025-03-11,1,5.820070000000214
0,2025-03-12,1,3.5700699999997596
0,2025-03-13,0,-1
0,2025-03-14,1,26.31006000000025
0,2025-03-17,1,25.77001999999993
0,2025-03-18,1,28.010009999999966
0,2025-03-19,1,20.18993999999975
0,2025-03-20,1,51.54004000000032
0,2025-03-21,0,-1
0,2025-03-24,1,8.149899999999889
0,2025-03-25,1,22.360109999999622
0,2025-03-26,1,39.35010000000011
0,2025-03-27,1,69.17992999999979
0,2025-03-28,1,36.97998000000007
0,2025-03-31,1,34.86011000000008
0,2025-04-01,1,28.84985000000006
0,2025-04-02,0,-1
0,2025-04-03,0,-1
0,2025-04-04,1,148.98999000000003
0,2025-04-07,0,-1
0,2025-04-08,1,30.220220000000154
0,2025-04-09,0,-1
0,2025-04-10,1,24.30004999999983
0,2025-04-11,0,-1
0,2025-04-14,0,-1
0,2025-04-15,1,2.1298799999999574
0,2025-04-16,1,23.330079999999725
