,date,accuracy,potential
0,2024-11-08,1,316.9687600000034
0,2024-11-11,1,274.1328100000028
0,2024-11-12,1,217.08984000000055
0,2024-11-13,0,-1.0
0,2024-11-14,1,167.3671800000011
0,2024-11-18,1,514.0117200000022
0,2024-11-19,1,965.3398400000005
0,2024-11-21,1,616.6601599999995
0,2024-11-22,0,-1.0
0,2024-11-25,1,205.46875
0,2024-11-26,1,113.73047000000224
0,2024-11-27,1,132.98827999999776
0,2024-11-28,1,126.1875
0,2024-11-29,1,386.71875
0,2024-12-02,1,661.7421800000011
0,2024-12-03,1,406.75
0,2024-12-04,1,88.12109000000055
0,2024-12-05,1,387.48827999999776
0,2024-12-06,1,178.41014999999607
0,2024-12-09,1,85.73827999999776
0,2024-12-10,1,253.73046999999497
0,2024-12-11,1,136.3828100000028
0,2024-12-12,1,1082.1992200000022
0,2024-12-13,1,201.9921800000011
0,2024-12-16,1,669.0195299999978
0,2024-12-17,1,1.6992199999949662
0,2024-12-18,0,-1.0
0,2024-12-19,1,588.03125
0,2024-12-20,1,668.0273400000005
0,2024-12-23,1,170.0
0,2024-12-24,1,43.60156000000279
0,2024-12-26,1,465.80078000000503
0,2024-12-27,1,139.12110000000393
0,2024-12-30,1,218.62890999999945
0,2024-12-31,1,389.06639999999607
0,2025-01-01,1,256.55077999999776
0,2025-01-02,1,87.89063000000169
0,2025-01-03,0,-1.0
0,2025-01-06,1,435.19140000000334
0,2025-01-07,1,592.7890599999955
0,2025-01-08,0,-1.0
0,2025-01-09,1,727.71875
0,2025-01-10,1,616.8203100000028
0,2025-01-13,0,-1.0
0,2025-01-14,1,55.23827999999776
0,2025-01-15,0,-1.0
0,2025-01-16,1,1104.71875
0,2025-01-17,1,805.9023400000005
0,2025-01-20,1,631.3710900000005
0,2025-01-21,1,57.98047000000224
0,2025-01-22,1,278.9609400000045
0,2025-01-23,1,214.09765999999945
0,2025-01-24,1,367.62109000000055
0,2025-01-27,0,-1.0
0,2025-01-28,1,297.69922000000224
0,2025-01-29,1,181.51952999999776
0,2025-01-30,1,251.8906300000017
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,1,857.3320299999978
0,2025-02-04,0,-1.0
0,2025-02-05,1,162.19922000000224
0,2025-02-06,1,137.4609300000011
0,2025-02-07,1,449.08202999999776
0,2025-02-10,1,550.6992099999989
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,338.5703199999989
0,2025-02-14,1,625.3711000000039
0,2025-02-17,1,363.01952999999776
0,2025-02-18,1,662.3789099999995
0,2025-02-19,1,452.3203100000028
0,2025-02-20,0,-1.0
0,2025-02-21,1,696.9882799999978
0,2025-02-24,1,219.33984000000055
0,2025-02-25,0,-1.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,525.7695299999978
0,2025-03-03,1,381.1484300000011
0,2025-03-04,0,-1.0
0,2025-03-05,1,247.3203100000028
0,2025-03-06,1,134.0
0,2025-03-07,1,79.78125
0,2025-03-10,1,393.87109000000055
0,2025-03-11,0,-1.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,378.8203100000028
0,2025-03-17,1,771.4726599999995
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,1,47.01172000000224
0,2025-03-21,0,-1.0
0,2025-03-24,1,410.5234400000045
0,2025-03-25,1,101.35156000000279
0,2025-03-26,1,108.94140999999945
0,2025-03-27,1,117.96875
0,2025-03-28,1,23.140630000001693
0,2025-04-01,1,454.30079000000114
0,2025-04-02,1,90.8125
0,2025-04-03,1,302.66015000000334
0,2025-04-04,1,2275.28125
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,939.5781199999983
0,2025-04-11,1,1376.6210900000005
0,2025-04-15,1,549.6523400000005
0,2025-04-16,1,425.28125
