,date,accuracy,potential
0,2024-11-08,1,197.05957000000126
0,2024-11-11,1,128.29003999999986
0,2024-11-12,1,383.7304700000004
0,2024-11-13,1,11.759769999998753
0,2024-11-14,1,285.2294899999997
0,2024-11-18,0,-1.0
0,2024-11-19,1,192.68944999999985
0,2024-11-21,1,56.16015000000152
0,2024-11-22,1,284.3300799999997
0,2024-11-25,1,200.1796800000011
0,2024-11-26,1,187.94043000000056
0,2024-11-27,1,238.75
0,2024-11-28,1,93.92090000000098
0,2024-11-29,1,126.60937000000013
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,103.77930000000197
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,77.82030999999915
0,2024-12-11,1,104.12109999999666
0,2024-12-12,1,292.7802699999993
0,2024-12-13,1,158.34960999999748
0,2024-12-16,1,14.490240000002814
0,2024-12-17,1,168.93946000000142
0,2024-12-18,0,-1.0
0,2024-12-19,1,151.26954000000114
0,2024-12-20,1,105.54981000000043
0,2024-12-23,1,76.15038999999888
0,2024-12-24,0,-1.0
0,2024-12-26,1,79.91993000000002
0,2024-12-27,1,86.38965000000098
0,2024-12-30,1,156.83983999999873
0,2024-12-31,0,-1.0
0,2025-01-01,1,118.22069999999803
0,2025-01-02,0,-1.0
0,2025-01-03,1,224.1796899999972
0,2025-01-06,0,-1.0
0,2025-01-07,1,1.3896500000009837
0,2025-01-08,1,133.08006999999998
0,2025-01-09,1,464.9101499999997
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,111.58983999999873
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,43.919920000000275
0,2025-01-20,1,102.1503900000007
0,2025-01-21,1,319.98925999999847
0,2025-01-22,1,43.700189999999566
0,2025-01-23,1,198.4296800000011
0,2025-01-24,1,626.3095700000013
0,2025-01-27,1,479.2197300000007
0,2025-01-28,1,339.64942000000156
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,0,-1.0
0,2025-02-01,1,228.3798800000004
0,2025-02-03,1,156.58007999999973
0,2025-02-04,1,128.75976000000082
0,2025-02-05,0,-1.0
0,2025-02-06,1,47.169920000000275
0,2025-02-07,1,342.20996000000014
0,2025-02-10,1,371.4296800000011
0,2025-02-11,1,411.74023000000125
0,2025-02-12,1,23.929689999999027
0,2025-02-13,1,263.929689999999
0,2025-02-14,1,305.0
0,2025-02-17,1,41.139649999999165
0,2025-02-18,1,65.40917999999874
0,2025-02-19,1,9.679690000000846
0,2025-02-20,1,178.81053999999858
0,2025-02-21,1,265.6796800000011
0,2025-02-24,0,-1.0
0,2025-02-25,1,255.74023999999918
0,2025-02-27,1,206.5302700000011
0,2025-02-28,1,354.4101499999997
0,2025-03-03,1,145.50976999999875
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,8.359379999999874
0,2025-03-07,1,162.60059
0,2025-03-10,1,170.35058000000026
0,2025-03-11,1,142.5898500000003
0,2025-03-12,1,76.87011999999959
0,2025-03-13,1,87.39940999999999
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,143.45996999999988
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,81.47069999999985
0,2025-03-25,1,118.75
0,2025-03-26,1,92.60937999999987
0,2025-03-27,0,-1.0
0,2025-03-28,1,104.58007999999973
0,2025-04-01,1,9.429689999999027
0,2025-04-02,1,68.79003999999986
0,2025-04-03,1,329.66993
0,2025-04-04,1,843.2001899999996
0,2025-04-07,1,243.85059
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,5.0898400000005495
0,2025-04-16,1,139.08984000000055
