,date,accuracy,potential
0,2024-11-08,1,280.65234000000055
0,2024-11-11,0,-1.0
0,2024-11-12,1,786.0703100000028
0,2024-11-13,1,335.8125
0,2024-11-14,1,202.14844000000448
0,2024-11-18,1,777.8984400000045
0,2024-11-19,1,114.8203199999989
0,2024-11-21,1,348.7421899999972
0,2024-11-22,1,859.4296800000011
0,2024-11-25,0,-1.0
0,2024-11-26,1,188.22265999999945
0,2024-11-27,1,63.12109000000055
0,2024-11-28,1,111.22655999999552
0,2024-11-29,1,65.44140999999945
0,2024-12-02,1,337.01952999999776
0,2024-12-03,0,-1.0
0,2024-12-04,1,82.94140000000334
0,2024-12-05,1,111.52344000000448
0,2024-12-06,0,-1.0
0,2024-12-09,1,82.98827999999776
0,2024-12-10,1,21.609369999998307
0,2024-12-11,1,92.1171800000011
0,2024-12-12,0,-1.0
0,2024-12-13,1,307.62890999999945
0,2024-12-16,1,79.77734000000055
0,2024-12-17,1,99.95702999999776
0,2024-12-18,0,-1.0
0,2024-12-19,1,169.30077999999776
0,2024-12-20,1,250.85937000000558
0,2024-12-23,1,165.33984999999666
0,2024-12-24,1,92.58203000000503
0,2024-12-26,1,1.2304700000022422
0,2024-12-27,1,131.4296899999972
0,2024-12-30,1,392.37109999999666
0,2024-12-31,1,85.61718999999721
0,2025-01-01,1,65.46875
0,2025-01-02,1,36.742190000004484
0,2025-01-03,1,531.3515600000028
0,2025-01-06,0,-1.0
0,2025-01-07,1,44.69920999999886
0,2025-01-08,1,145.53126000000339
0,2025-01-09,0,-1.0
0,2025-01-10,1,799.0781300000017
0,2025-01-13,0,-1.0
0,2025-01-14,1,148.91797000000224
0,2025-01-15,0,-1.0
0,2025-01-16,1,227.3828199999989
0,2025-01-17,1,72.30859000000055
0,2025-01-20,1,574.6328199999989
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,558.8788999999961
0,2025-01-24,1,1251.5195400000011
0,2025-01-27,1,241.27734000000055
0,2025-01-28,1,842.96875
0,2025-01-29,0,-1.0
0,2025-01-30,1,2.1171899999972084
0,2025-01-31,1,44.90234000000055
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,555.8515699999989
0,2025-02-05,1,173.8671800000011
0,2025-02-06,1,7.601560000002792
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,1,1174.3281299999944
0,2025-02-12,1,46.57811999999831
0,2025-02-13,1,801.5976599999995
0,2025-02-14,1,790.6992200000022
0,2025-02-17,1,24.37109000000055
0,2025-02-18,1,318.58984000000055
0,2025-02-19,1,206.71094000000448
0,2025-02-20,1,449.83984000000055
0,2025-02-21,0,-1.0
0,2025-02-24,1,169.08202999999776
0,2025-02-25,1,192.6796899999972
0,2025-02-27,1,968.7890599999955
0,2025-02-28,1,148.87890000000334
0,2025-03-03,1,180.77734000000055
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,239.73827999999776
0,2025-03-07,1,73.21875
0,2025-03-10,1,345.83984999999666
0,2025-03-11,1,103.2890699999989
0,2025-03-12,1,146.30077999999776
0,2025-03-13,1,479.0078100000028
0,2025-03-17,1,505.1406199999983
0,2025-03-18,1,589.1288999999961
0,2025-03-19,1,39.42968999999721
0,2025-03-20,1,467.1796800000011
0,2025-03-21,1,524.9804599999989
0,2025-03-24,1,420.0078099999955
0,2025-03-25,1,103.32030999999552
0,2025-03-26,1,65.53905999999552
0,2025-03-27,0,-1.0
0,2025-03-28,1,185.62889999999607
0,2025-04-01,1,157.96876000000339
0,2025-04-02,1,246.98047000000224
0,2025-04-03,1,1364.2187600000034
0,2025-04-04,1,2243.21875
0,2025-04-07,0,-1.0
0,2025-04-08,1,722.667969999995
0,2025-04-09,1,779.9726599999995
0,2025-04-11,0,-1.0
0,2025-04-15,1,221.0
0,2025-04-16,1,173.4296899999972
