,date,accuracy,potential
0,2024-11-08,1,50.019530000001396
0,2024-11-11,1,195.61913999999888
0,2024-11-12,1,83.33007999999973
0,2024-11-13,1,51.490239999999176
0,2024-11-14,1,497.87890000000334
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,234.5410099999972
0,2024-11-26,1,22.919920000000275
0,2024-11-27,1,328.14062999999805
0,2024-11-28,1,181.65819999999803
0,2024-11-29,1,124.91015999999945
0,2024-12-02,1,42.570309999999154
0,2024-12-03,1,34.23047000000224
0,2024-12-04,0,-1.0
0,2024-12-05,1,54.87109000000055
0,2024-12-06,1,36.99022999999943
0,2024-12-09,0,-1.0
0,2024-12-10,1,37.490240000002814
0,2024-12-11,0,-1.0
0,2024-12-12,1,172.91015000000334
0,2024-12-13,0,-1.0
0,2024-12-16,1,185.18946000000142
0,2024-12-17,0,-1.0
0,2024-12-18,1,383.5996100000011
0,2024-12-19,1,90.96876000000339
0,2024-12-20,1,35.919920000000275
0,2024-12-23,0,-1.0
0,2024-12-24,1,46.8203199999989
0,2024-12-26,1,108.22069999999803
0,2024-12-27,1,27.638680000000022
0,2024-12-30,0,-1.0
0,2024-12-31,1,35.269530000001396
0,2025-01-01,1,188.84961000000112
0,2025-01-02,1,220.41015999999945
0,2025-01-03,1,23.080069999999978
0,2025-01-06,1,150.84960999999748
0,2025-01-07,1,225.47070000000167
0,2025-01-08,1,82.98045999999886
0,2025-01-09,1,334.8398500000003
0,2025-01-10,1,170.0
0,2025-01-13,1,276.8808600000011
0,2025-01-14,1,110.34961000000112
0,2025-01-15,1,144.50977000000057
0,2025-01-16,1,412.83984999999666
0,2025-01-17,1,71.53906000000279
0,2025-01-20,1,94.49023000000307
0,2025-01-21,1,176.18944999999803
0,2025-01-22,1,294.0195300000014
0,2025-01-23,1,15.5
0,2025-01-24,1,440.4394599999978
0,2025-01-27,1,58.03906000000279
0,2025-01-28,1,265.8496100000011
0,2025-01-29,1,60.240230000003066
0,2025-01-30,1,23.60156000000279
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,30.798829999999725
0,2025-02-06,1,8.62890999999945
0,2025-02-07,0,-1.0
0,2025-02-10,1,65.84960999999748
0,2025-02-11,1,104.61914000000252
0,2025-02-12,1,116.54101999999693
0,2025-02-13,1,87.0
0,2025-02-14,0,-1.0
0,2025-02-17,1,27.720699999998033
0,2025-02-18,1,214.4101499999997
0,2025-02-19,1,64.07030999999915
0,2025-02-20,1,70.04882999999973
0,2025-02-21,1,414.7089899999992
0,2025-02-24,1,67.52929000000222
0,2025-02-25,1,75.53125
0,2025-02-27,1,577.25
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,55.25
0,2025-03-06,1,122.85156000000279
0,2025-03-07,1,28.511720000002242
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,46.76952999999776
0,2025-03-13,1,57.17968999999721
0,2025-03-17,1,7.179690000000846
0,2025-03-18,1,231.49023000000307
0,2025-03-19,1,362.02148000000307
0,2025-03-20,1,271.69140000000334
0,2025-03-21,1,106.19140999999945
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,196.5
0,2025-03-28,1,232.2109300000011
0,2025-04-01,0,-1.0
0,2025-04-02,1,439.1308600000011
0,2025-04-03,1,356.50976999999693
0,2025-04-04,1,977.0302699999993
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,121.35937000000013
0,2025-04-16,0,-1.0
