,date,accuracy,potential
0,2024-11-07,1,4.4400600000001305
0,2024-11-08,1,8.460079999999834
0,2024-11-11,1,8.160030000000006
0,2024-11-12,1,7.339969999999994
0,2024-11-13,1,4.660030000000006
0,2024-11-14,0,-1.0
0,2024-11-18,1,25.05004000000008
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,5.310060000000021
0,2024-11-26,0,-1.0
0,2024-11-27,1,3.9299399999999878
0,2024-11-28,1,8.720090000000027
0,2024-11-29,1,5.619989999999916
0,2024-12-02,1,1.969970000000103
0,2024-12-03,0,-1.0
0,2024-12-04,1,5.489999999999782
0,2024-12-05,1,6.650030000000015
0,2024-12-06,1,17.099969999999985
0,2024-12-09,1,0.7700100000001839
0,2024-12-10,0,-1.0
0,2024-12-11,1,1.8800000000001091
0,2024-12-12,1,0.5700600000000122
0,2024-12-13,1,8.319950000000063
0,2024-12-16,1,13.90002000000004
0,2024-12-17,1,4.530029999999897
0,2024-12-18,0,-1.0
0,2024-12-19,1,10.549930000000131
0,2024-12-20,1,6.319949999999835
0,2024-12-23,1,15.85997999999995
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,21.96008000000006
0,2024-12-31,1,3.7100799999998344
0,2025-01-01,1,6.229979999999841
0,2025-01-02,1,1.9500700000000961
0,2025-01-03,1,1.5799600000000282
0,2025-01-06,1,18.489990000000034
0,2025-01-07,0,-1.0
0,2025-01-08,1,3.75
0,2025-01-09,1,14.630010000000084
0,2025-01-10,1,19.94006000000013
0,2025-01-13,1,6.690059999999903
0,2025-01-14,1,7.6599200000000565
0,2025-01-15,1,12.069940000000088
0,2025-01-16,1,13.58996000000002
0,2025-01-17,1,15.95995999999991
0,2025-01-20,1,6.800050000000056
0,2025-01-21,1,5.3599799999999505
0,2025-01-22,1,4.589969999999994
0,2025-01-23,1,10.190059999999903
0,2025-01-24,0,-1.0
0,2025-01-27,1,6.210079999999834
0,2025-01-28,0,-1.0
0,2025-01-29,1,8.5
0,2025-01-30,1,2.4200499999999465
0,2025-01-31,1,0.6400199999998222
0,2025-02-03,1,4.800050000000056
0,2025-02-04,1,0.49010999999995875
0,2025-02-05,1,6.260009999999966
0,2025-02-06,0,-1.0
0,2025-02-07,1,9.439949999999953
0,2025-02-10,0,-1.0
0,2025-02-11,1,23.050050000000056
0,2025-02-12,1,8.04004000000009
0,2025-02-13,1,7.4400600000001305
0,2025-02-14,1,16.260009999999966
0,2025-02-17,1,12.560050000000047
0,2025-02-18,1,5.060050000000047
0,2025-02-19,1,3.5499300000001313
0,2025-02-20,1,3.8099399999998695
0,2025-02-21,1,13.529909999999973
0,2025-02-24,1,1.4499499999999443
0,2025-02-25,1,8.689939999999979
0,2025-02-27,1,29.77001999999993
0,2025-02-28,1,5.199959999999919
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,4.629879999999957
0,2025-03-07,1,2.4499499999999443
0,2025-03-10,1,12.739990000000034
0,2025-03-11,0,-1.0
0,2025-03-12,1,4.430049999999937
0,2025-03-13,1,3.3200600000000122
0,2025-03-17,0,-1.0
0,2025-03-18,1,6.819949999999835
0,2025-03-19,0,-1.0
0,2025-03-20,1,5.359980000000178
0,2025-03-21,1,15.760010000000193
0,2025-03-24,1,4.319949999999835
0,2025-03-25,1,11.739990000000034
0,2025-03-26,1,5.089969999999994
0,2025-03-27,0,-1.0
0,2025-03-28,1,0.17004999999994652
0,2025-04-01,1,1.8499700000002122
0,2025-04-02,1,17.43993999999998
0,2025-04-03,1,31.680050000000165
0,2025-04-04,1,93.09997999999996
0,2025-04-07,1,26.450070000000096
0,2025-04-08,0,-1.0
0,2025-04-09,1,27.309940000000097
0,2025-04-11,0,-1.0
0,2025-04-15,1,4.719969999999876
0,2025-04-16,1,12.010009999999966
