,date,accuracy,potential
0,2024-11-08,1,65.05077999999776
0,2024-11-11,1,20.300779999997758
0,2024-11-12,1,276.8515600000028
0,2024-11-13,1,159.5
0,2024-11-14,1,1305.6523400000005
0,2024-11-18,1,813.5
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,508.40234000000055
0,2024-11-25,1,569.6484399999972
0,2024-11-26,0,-1.0
0,2024-11-27,1,835.050780000005
0,2024-11-28,1,426.44922000000224
0,2024-11-29,1,220.0
0,2024-12-02,1,251.30078000000503
0,2024-12-03,1,49.0
0,2024-12-04,1,470.8984399999972
0,2024-12-05,1,51.80077999999776
0,2024-12-06,1,183.6484399999972
0,2024-12-09,0,-1.0
0,2024-12-10,1,129.40234000000055
0,2024-12-11,0,-1.0
0,2024-12-12,1,591.4023400000005
0,2024-12-13,0,-1.0
0,2024-12-16,1,303.3515600000028
0,2024-12-17,0,-1.0
0,2024-12-18,0,-1.0
0,2024-12-19,1,343.65234000000055
0,2024-12-20,1,347.65234000000055
0,2024-12-23,1,402.1484399999972
0,2024-12-24,1,92.25
0,2024-12-26,1,181.5
0,2024-12-27,1,434.8515599999955
0,2024-12-30,1,1071.8984399999972
0,2024-12-31,1,113.80078000000503
0,2025-01-01,1,45.949219999994966
0,2025-01-02,1,6.25
0,2025-01-03,1,593.5976599999995
0,2025-01-06,1,446.44922000000224
0,2025-01-07,1,580.7031200000056
0,2025-01-08,1,228.80077999999776
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,1116.449219999995
0,2025-01-14,1,121.79687999999442
0,2025-01-15,1,497.30078000000503
0,2025-01-16,1,1108.8984400000045
0,2025-01-17,1,204.40234000000055
0,2025-01-20,1,324.15234000000055
0,2025-01-21,1,560.0468799999944
0,2025-01-22,0,-1.0
0,2025-01-23,1,93.39844000000448
0,2025-01-24,1,1066.8476599999995
0,2025-01-27,1,137.05078000000503
0,2025-01-28,0,-1.0
0,2025-01-29,1,294.7968799999944
0,2025-01-30,0,-1.0
0,2025-01-31,1,180.94922000000224
0,2025-02-01,1,21.800779999997758
0,2025-02-03,0,-1.0
0,2025-02-04,1,443.2968799999944
0,2025-02-05,0,-1.0
0,2025-02-06,1,388.90234000000055
0,2025-02-07,0,-1.0
0,2025-02-10,1,199.55078000000503
0,2025-02-11,1,202.40234000000055
0,2025-02-12,1,119.15234000000055
0,2025-02-13,1,226.30077999999776
0,2025-02-14,1,645.6015600000028
0,2025-02-17,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,1,97.14843999999721
0,2025-02-20,0,-1.0
0,2025-02-21,1,1027.8515600000028
0,2025-02-24,1,227.05078000000503
0,2025-02-25,1,140.19922000000224
0,2025-02-27,1,1440.25
0,2025-02-28,1,542.800780000005
0,2025-03-03,1,850.3007799999978
0,2025-03-04,1,976.6015600000028
0,2025-03-05,1,168.80078000000503
0,2025-03-06,0,-1.0
0,2025-03-07,1,120.44922000000224
0,2025-03-10,1,717.6523400000005
0,2025-03-11,1,1427.1523400000005
0,2025-03-12,1,105.39844000000448
0,2025-03-13,1,31.699220000002242
0,2025-03-17,1,466.75
0,2025-03-18,1,782.5
0,2025-03-19,0,-1.0
0,2025-03-20,1,788.8007799999978
0,2025-03-21,1,174.25
0,2025-03-24,0,-1.0
0,2025-03-25,1,360.6484399999972
0,2025-03-26,1,322.15234000000055
0,2025-03-27,1,540.25
0,2025-03-28,0,-1.0
0,2025-04-01,1,34.64843999999721
0,2025-04-02,1,1296.6523400000005
0,2025-04-03,1,1079.2031200000056
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,1019.0488299999961
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,47.84765999999945
0,2025-04-16,1,815.5507800000014
