,date,accuracy,potential
0,2024-10-03,1,31.69043000000056
0,2024-10-07,1,15.55029999999988
0,2024-10-08,1,7.91016000000036
0,2024-10-09,1,19.83984000000055
0,2024-10-10,0,-1.0
0,2024-10-14,1,10.879880000000412
0,2024-10-15,1,22.32032000000072
0,2024-10-16,1,20.05956999999944
0,2024-10-17,0,-1.0
0,2024-10-21,1,0.7299800000000687
0,2024-10-22,1,11.790040000000772
0,2024-10-23,1,0.6201200000004974
0,2024-10-24,0,-1.0
0,2024-10-28,0,-1.0
0,2024-10-29,1,24.669919999999365
0,2024-10-30,1,1.0102500000002692
0,2024-10-31,1,41.70020000000022
0,2024-11-04,1,7.379879999999503
0,2024-11-05,1,28.5302700000002
0,2024-11-06,1,39.49023000000034
0,2024-11-07,1,31.25
0,2024-11-11,1,28.849609999999302
0,2024-11-12,1,1.4501999999993131
0,2024-11-13,1,23.049799999999777
0,2024-11-14,1,14.430180000000291
0,2024-11-18,1,22.169919999999365
0,2024-11-19,1,46.799809999999525
0,2024-11-20,0,-1.0
0,2024-11-21,1,42.009759999999915
0,2024-11-25,0,-1.0
0,2024-11-26,1,11.219720000000052
0,2024-11-27,1,0.38963999999941734
0,2024-11-28,1,54.51026000000002
0,2024-12-04,1,13.450200000000223
0,2024-12-05,1,54.689940000000206
0,2024-12-09,1,13.840340000000651
0,2024-12-10,1,3.0302800000008574
0,2024-12-11,1,19.330080000000635
0,2024-12-12,1,196.20996000000014
0,2024-12-16,1,29.819829999999456
0,2024-12-17,1,48.60009999999966
0,2024-12-18,1,0.13038000000051397
0,2024-12-19,1,38.51026000000002
0,2024-12-23,1,11.989739999999983
0,2024-12-24,1,12.82032000000072
0,2024-12-25,1,14.649899999999434
0,2024-12-26,0,-1.0
0,2024-12-30,1,13.609869999999319
0,2024-12-31,1,15.169920000000275
0,2025-01-02,0,-1.0
0,2025-01-06,1,27.969720000000052
0,2025-01-07,1,13.520019999999931
0,2025-01-08,1,20.0
0,2025-01-09,1,28.80030000000079
0,2025-01-13,1,2.1401400000004287
0,2025-01-14,1,8.310059999999794
0,2025-01-15,1,7.41016000000036
0,2025-01-16,1,25.379879999999503
0,2025-01-20,1,23.149899999999434
0,2025-01-21,1,14.720210000000407
0,2025-01-22,1,11.929689999999937
0,2025-01-23,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,56.70996000000014
0,2025-01-29,1,40.659670000000006
0,2025-01-30,1,21.630370000000767
0,2025-02-03,1,37.85008999999991
0,2025-02-04,1,9.209960000000137
0,2025-02-05,1,41.399899999999434
0,2025-02-06,1,19.75
0,2025-02-10,1,50.439940000000206
0,2025-02-11,1,28.369629999999233
0,2025-02-12,1,12.300290000000132
0,2025-02-13,1,52.70996000000014
0,2025-02-17,1,14.509759999999915
0,2025-02-18,1,13.209960000000137
0,2025-02-19,1,4.479979999999159
0,2025-02-20,1,6.729980000000069
0,2025-02-24,1,12.659670000000006
0,2025-02-25,1,3.2900399999998626
0,2025-02-26,1,7.509769999999662
0,2025-02-27,0,-1.0
0,2025-03-03,1,17.02001999999993
0,2025-03-04,1,25.310060000000703
0,2025-03-05,1,23.30030000000079
0,2025-03-06,0,-1.0
0,2025-03-10,1,162.35009999999966
0,2025-03-11,1,36.8100600000007
0,2025-03-12,1,11.919920000000275
0,2025-03-13,0,-1.0
0,2025-03-17,1,17.97998000000007
0,2025-03-18,1,9.180179999999382
0,2025-03-19,1,27.709960000000137
0,2025-03-20,0,-1.0
0,2025-03-24,1,15.919919999999365
0,2025-03-25,1,24.810059999999794
0,2025-03-26,1,19.870119999999588
0,2025-03-27,1,10.779779999999846
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-07,1,98.88037000000077
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,18.939949999999953
0,2025-04-16,1,7.729980000000069
