,date,accuracy,potential
0,2024-11-08,1,4.200069999999869
0,2024-11-11,1,0.969970000000103
0,2024-11-12,0,-1.0
0,2024-11-13,1,10.979980000000069
0,2024-11-14,1,10.540039999999863
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,11.059940000000097
0,2024-11-22,0,-1.0
0,2024-11-25,1,1.70995999999991
0,2024-11-26,1,5.230099999999993
0,2024-11-27,1,8.669920000000047
0,2024-11-28,1,3.9599699999998847
0,2024-11-29,1,7.489990000000034
0,2024-12-02,1,10.449950000000172
0,2024-12-03,1,12.989990000000034
0,2024-12-04,1,5.589969999999994
0,2024-12-05,1,1.9400600000001305
0,2024-12-06,1,8.65002000000004
0,2024-12-09,1,5.770019999999931
0,2024-12-10,1,4.710079999999834
0,2024-12-11,1,3.6300099999998565
0,2024-12-12,0,-1.0
0,2024-12-13,1,5.5999799999999595
0,2024-12-16,0,-1.0
0,2024-12-17,1,4.320069999999987
0,2024-12-18,1,26.03991999999994
0,2024-12-19,1,11.53002000000015
0,2024-12-20,1,1.2199699999998757
0,2024-12-23,1,5.019900000000007
0,2024-12-24,1,9.260009999999966
0,2024-12-26,0,-1.0
0,2024-12-27,1,4.339969999999994
0,2024-12-30,0,-1.0
0,2024-12-31,1,6.160030000000006
0,2025-01-01,0,-1.0
0,2025-01-02,1,1.2800200000001496
0,2025-01-03,1,7.410030000000006
0,2025-01-06,1,10.720090000000027
0,2025-01-07,1,13.020019999999931
0,2025-01-08,1,0.5799600000000282
0,2025-01-09,1,28.160030000000006
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,3.099970000000212
0,2025-01-15,0,-1.0
0,2025-01-16,1,14.710080000000062
0,2025-01-17,1,5.6500200000000405
0,2025-01-20,1,17.60997999999995
0,2025-01-21,1,2.1700399999999718
0,2025-01-22,1,9.670039999999972
0,2025-01-23,1,12.799929999999904
0,2025-01-24,1,29.35010000000011
0,2025-01-27,1,5.130000000000109
0,2025-01-28,1,17.109980000000178
0,2025-01-29,1,12.150030000000015
0,2025-01-30,1,5.940059999999903
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,3.5300300000001243
0,2025-02-06,1,11.760009999999966
0,2025-02-07,0,-1.0
0,2025-02-10,1,24.349969999999985
0,2025-02-11,1,29.930050000000165
0,2025-02-12,1,2.010010000000193
0,2025-02-13,1,16.439949999999953
0,2025-02-14,1,18.65002000000004
0,2025-02-17,1,11.810050000000047
0,2025-02-18,1,5.280029999999897
0,2025-02-19,1,2.0500499999998283
0,2025-02-20,1,10.10008999999991
0,2025-02-21,1,17.739990000000034
0,2025-02-24,1,8.950070000000096
0,2025-02-25,1,19.449949999999944
0,2025-02-27,1,22.610099999999875
0,2025-02-28,1,17.109980000000178
0,2025-03-03,1,2.3900200000000495
0,2025-03-04,1,6.8800099999998565
0,2025-03-05,1,12.599970000000212
0,2025-03-06,1,1.5
0,2025-03-07,1,1.5100099999999657
0,2025-03-10,0,-1.0
0,2025-03-11,1,4.419930000000022
0,2025-03-12,1,2.8700000000001182
0,2025-03-13,1,18.37000000000012
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,10.469970000000103
0,2025-03-20,1,17.219970000000103
0,2025-03-21,0,-1.0
0,2025-03-24,1,8.19006000000013
0,2025-03-25,1,11.460080000000062
0,2025-03-26,1,7.490109999999959
0,2025-03-27,1,1.969970000000103
0,2025-03-28,1,3.6999499999999443
0,2025-04-01,1,5.829960000000028
0,2025-04-02,1,7.410030000000006
0,2025-04-03,0,-1.0
0,2025-04-04,1,68.79003999999986
0,2025-04-07,1,28.640010000000075
0,2025-04-08,1,20.050050000000056
0,2025-04-09,1,22.800050000000056
0,2025-04-11,0,-1.0
0,2025-04-15,1,2.1400099999998474
0,2025-04-16,1,8.229980000000069
