,date,accuracy,potential
0,2024-11-11,1,13.049930000000131
0,2024-11-12,1,5.800049999999828
0,2024-11-13,1,7.539920000000166
0,2024-11-14,1,24.96008000000006
0,2024-11-15,1,2.6099799999999505
0,2024-11-18,1,10.760010000000193
0,2024-11-19,1,13.260009999999966
0,2024-11-20,0,-1.0
0,2024-11-21,1,10.800050000000056
0,2024-11-22,1,10.969970000000103
0,2024-11-25,1,5.560060000000021
0,2024-11-26,1,2.339969999999994
0,2024-11-27,1,11.560059999999794
0,2024-11-29,1,11.660030000000006
0,2024-12-02,0,-1.0
0,2024-12-03,1,15.10997999999995
0,2024-12-04,1,3.1899399999999787
0,2024-12-05,1,9.84997999999996
0,2024-12-06,1,4.330069999999978
0,2024-12-09,0,-1.0
0,2024-12-10,1,10.069950000000063
0,2024-12-11,1,10.140010000000075
0,2024-12-12,1,11.949959999999919
0,2024-12-13,1,25.26000000000022
0,2024-12-16,0,-1.0
0,2024-12-17,1,5.400030000000015
0,2024-12-18,1,16.52001999999993
0,2024-12-19,1,10.979980000000069
0,2024-12-20,1,5.800040000000081
0,2024-12-23,1,4.349970000000212
0,2024-12-24,1,1.5100099999999657
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,0.6500300000000152
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,3.359980000000178
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,27.979989999999816
0,2025-01-13,1,25.05993999999987
0,2025-01-14,1,26.29993000000013
0,2025-01-15,1,6.010009999999966
0,2025-01-16,1,1.5599399999998695
0,2025-01-17,1,32.10997999999995
0,2025-01-21,1,53.2199700000001
0,2025-01-22,1,3.410030000000006
0,2025-01-23,1,1.6600300000000061
0,2025-01-24,0,-1.0
0,2025-01-27,1,10.489990000000034
0,2025-01-28,1,18.34997999999996
0,2025-01-29,1,22.919930000000022
0,2025-01-30,1,26.989990000000034
0,2025-01-31,1,39.22998000000007
0,2025-02-03,1,8.589969999999994
0,2025-02-04,1,8.79004000000009
0,2025-02-05,1,18.32996000000003
0,2025-02-06,1,5.819950000000063
0,2025-02-07,1,9.989989999999807
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,5.609989999999925
0,2025-02-14,1,4.980099999999993
0,2025-02-18,1,4.9400600000001305
0,2025-02-19,0,-1.0
0,2025-02-20,1,18.08008000000018
0,2025-02-21,1,17.810050000000047
0,2025-02-24,1,27.910030000000006
0,2025-02-25,1,12.100100000000111
0,2025-02-26,1,12.209960000000137
0,2025-02-27,1,7.569949999999835
0,2025-02-28,1,7.299930000000131
0,2025-03-03,1,37.14001999999982
0,2025-03-04,1,12.260009999999966
0,2025-03-05,0,-1.0
0,2025-03-06,1,4.770019999999931
0,2025-03-07,0,-1.0
0,2025-03-10,1,8.349970000000212
0,2025-03-11,1,24.460079999999834
0,2025-03-12,1,11.010000000000218
0,2025-03-13,0,-1.0
0,2025-03-14,1,14.939949999999953
0,2025-03-17,1,9.41003999999998
0,2025-03-18,1,32.229989999999816
0,2025-03-19,1,14.270019999999931
0,2025-03-20,1,20.78991999999994
0,2025-03-21,1,33.56995000000006
0,2025-03-24,1,9.400029999999788
0,2025-03-25,1,2.109989999999925
0,2025-03-26,1,20.510009999999966
0,2025-03-27,1,24.390019999999822
0,2025-03-28,1,34.15002000000004
0,2025-03-31,1,3.3599799999999505
0,2025-04-01,1,15.429930000000013
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,37.389959999999974
0,2025-04-07,1,40.07000000000005
0,2025-04-08,1,14.049980000000005
0,2025-04-09,1,49.70001000000002
0,2025-04-10,1,18.34997999999996
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,17.430049999999937
0,2025-04-16,1,1.9400000000000546
