,date,accuracy,potential
0,2024-11-11,1,26.619990000000143
0,2024-11-12,0,-1.0
0,2024-11-13,1,6.839960000000019
0,2024-11-14,1,18.200070000000096
0,2024-11-15,1,4.959969999999885
0,2024-11-18,1,23.24010999999996
0,2024-11-19,1,5.619989999999916
0,2024-11-20,0,-1.0
0,2024-11-21,1,12.959960000000137
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,13.170169999999871
0,2024-11-27,0,-1.0
0,2024-11-29,1,16.620120000000043
0,2024-12-02,1,15.829960000000028
0,2024-12-03,1,6.729980000000069
0,2024-12-04,1,13.579960000000028
0,2024-12-05,1,12.059940000000097
0,2024-12-06,0,-1.0
0,2024-12-09,1,32.760009999999966
0,2024-12-10,1,15.260009999999966
0,2024-12-11,1,8.630009999999857
0,2024-12-12,1,3.319949999999835
0,2024-12-13,1,8.919920000000047
0,2024-12-16,1,25.709969999999885
0,2024-12-17,0,-1.0
0,2024-12-18,1,11.340079999999944
0,2024-12-19,1,8.770020000000159
0,2024-12-20,1,16.689949999999953
0,2024-12-23,1,2.3000500000000557
0,2024-12-24,1,9.270019999999931
0,2024-12-26,1,19.900030000000015
0,2024-12-27,1,36.71997999999985
0,2024-12-30,1,10.239990000000034
0,2024-12-31,1,21.25
0,2025-01-02,0,-1.0
0,2025-01-03,1,26.47998000000007
0,2025-01-06,1,4.33008000000018
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,5.0
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,1.639889999999923
0,2025-01-16,0,-1.0
0,2025-01-17,1,34.85997999999995
0,2025-01-21,1,5.29004000000009
0,2025-01-22,1,0.43994999999995343
0,2025-01-23,1,9.099969999999985
0,2025-01-24,0,-1.0
0,2025-01-27,1,12.660030000000006
0,2025-01-28,1,6.369999999999891
0,2025-01-29,0,-1.0
0,2025-01-30,1,13.150030000000015
0,2025-01-31,1,51.510009999999966
0,2025-02-03,1,13.459969999999885
0,2025-02-04,1,31.340079999999944
0,2025-02-05,1,17.26000000000022
0,2025-02-06,1,22.130009999999857
0,2025-02-07,1,12.840090000000146
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,0.2699000000000069
0,2025-02-13,0,-1.0
0,2025-02-14,1,12.910030000000006
0,2025-02-18,1,25.529909999999973
0,2025-02-19,1,3.0100099999999657
0,2025-02-20,1,25.33996000000002
0,2025-02-21,1,22.739990000000034
0,2025-02-24,1,19.630009999999857
0,2025-02-25,0,-1.0
0,2025-02-26,1,8.53002000000015
0,2025-02-27,1,16.5
0,2025-02-28,1,11.530030000000124
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,3.6899499999999534
0,2025-03-07,0,-1.0
0,2025-03-10,1,10.630009999999857
0,2025-03-11,0,-1.0
0,2025-03-12,1,16.330069999999978
0,2025-03-13,1,35.82995000000005
0,2025-03-14,1,7.010009999999966
0,2025-03-17,1,21.260009999999966
0,2025-03-18,1,0.7399900000000343
0,2025-03-19,1,10.5
0,2025-03-20,1,37.4699700000001
0,2025-03-21,0,-1.0
0,2025-03-24,1,6.8699900000001435
0,2025-03-25,1,3.079959999999801
0,2025-03-26,1,22.910030000000006
0,2025-03-27,1,40.8099400000001
0,2025-03-28,0,-1.0
0,2025-03-31,1,18.099969999999985
0,2025-04-01,1,19.580079999999953
0,2025-04-02,0,-1.0
0,2025-04-03,1,96.73999000000003
0,2025-04-04,1,74.06005000000005
0,2025-04-07,0,-1.0
0,2025-04-08,1,17.40002000000004
0,2025-04-09,1,55.06995000000006
0,2025-04-10,1,18.640010000000075
0,2025-04-11,1,24.5
0,2025-04-14,1,14.479980000000069
0,2025-04-15,1,23.86999999999989
0,2025-04-16,1,10.150030000000015
