,date,accuracy,potential
0,2024-11-11,1,3.410030000000006
0,2024-11-12,1,2.4899899999999207
0,2024-11-13,1,1.32000000000005
0,2024-11-14,1,5.479979999999955
0,2024-11-15,1,6.63000999999997
0,2024-11-18,0,-1.0
0,2024-11-19,1,7.0799599999999145
0,2024-11-20,0,-1.0
0,2024-11-21,1,0.8799400000000333
0,2024-11-22,1,8.839969999999994
0,2024-11-25,1,4.040030000000002
0,2024-11-26,0,-1.0
0,2024-11-27,1,4.890009999999961
0,2024-11-29,1,13.38000999999997
0,2024-12-02,1,5.559989999999971
0,2024-12-03,1,15.370000000000005
0,2024-12-04,1,7.940000000000055
0,2024-12-05,1,13.70001000000002
0,2024-12-06,0,-1.0
0,2024-12-09,1,4.8599799999999505
0,2024-12-10,1,1.570009999999911
0,2024-12-11,0,-1.0
0,2024-12-12,1,7.020019999999931
0,2024-12-13,0,-1.0
0,2024-12-16,1,11.719980000000078
0,2024-12-17,1,3.6699800000000096
0,2024-12-18,1,8.449950000000058
0,2024-12-19,1,1.1099899999999252
0,2024-12-20,1,5.219969999999989
0,2024-12-23,1,3.2600100000000793
0,2024-12-24,1,4.649959999999965
0,2024-12-26,1,7.119989999999916
0,2024-12-27,1,1.2299800000000687
0,2024-12-30,0,-1.0
0,2024-12-31,1,13.770020000000045
0,2025-01-02,0,-1.0
0,2025-01-03,1,9.950019999999995
0,2025-01-06,1,12.43999999999994
0,2025-01-07,1,6.780030000000011
0,2025-01-08,1,17.70001000000002
0,2025-01-10,0,-1.0
0,2025-01-13,1,3.4699699999999893
0,2025-01-14,0,-1.0
0,2025-01-15,1,2.230040000000031
0,2025-01-16,1,6.859990000000039
0,2025-01-17,0,-1.0
0,2025-01-21,1,8.410030000000006
0,2025-01-22,0,-1.0
0,2025-01-23,1,6.110040000000026
0,2025-01-24,0,-1.0
0,2025-01-27,1,4.179989999999975
0,2025-01-28,1,2.800040000000081
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,7.4600200000001
0,2025-02-03,1,14.58001999999999
0,2025-02-04,1,3.7900399999999763
0,2025-02-05,1,4.95001000000002
0,2025-02-06,1,5.579960000000028
0,2025-02-07,1,14.84003000000007
0,2025-02-10,1,6.229979999999955
0,2025-02-11,1,10.239990000000034
0,2025-02-12,1,2.889949999999999
0,2025-02-13,0,-1.0
0,2025-02-14,1,8.70001000000002
0,2025-02-18,1,12.7899799999999
0,2025-02-19,1,3.9400099999999156
0,2025-02-20,0,-1.0
0,2025-02-21,1,3.86999000000003
0,2025-02-24,1,14.359989999999925
0,2025-02-25,1,3.2799700000000485
0,2025-02-26,1,11.179989999999975
0,2025-02-27,1,6.3799999999999955
0,2025-02-28,1,5.440000000000055
0,2025-03-03,0,-1.0
0,2025-03-04,1,20.350029999999947
0,2025-03-05,0,-1.0
0,2025-03-06,1,14.550050000000056
0,2025-03-07,1,12.130010000000084
0,2025-03-10,1,6.690000000000055
0,2025-03-11,1,1.6699800000000096
0,2025-03-12,1,3.189999999999941
0,2025-03-13,1,14.35003000000006
0,2025-03-14,0,-1.0
0,2025-03-17,1,0.10997999999995045
0,2025-03-18,0,-1.0
0,2025-03-19,1,4.100029999999947
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,9.38000999999997
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.3399600000000191
0,2025-03-27,1,1.979979999999955
0,2025-03-28,1,12.75
0,2025-03-31,1,1.4100300000000061
0,2025-04-01,0,-1.0
0,2025-04-02,1,49.859980000000064
0,2025-04-03,0,-1.0
0,2025-04-04,1,19.70001000000002
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,1,3.5400399999999763
0,2025-04-11,0,-1.0
0,2025-04-14,1,11.379999999999995
0,2025-04-15,0,-1.0
0,2025-04-16,1,19.610040000000026
