,date,accuracy,potential
0,2024-11-11,1,2.2199699999998757
0,2024-11-12,1,5.580079999999953
0,2024-11-13,0,-1.0
0,2024-11-14,1,15.11999999999989
0,2024-11-15,1,0.679930000000013
0,2024-11-18,0,-1.0
0,2024-11-19,1,5.689939999999979
0,2024-11-20,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,18.33996000000002
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,1.3499799999999595
0,2024-11-29,1,24.340090000000146
0,2024-12-02,1,26.220090000000027
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.22998000000006869
0,2024-12-05,1,9.870000000000118
0,2024-12-06,1,27.290030000000115
0,2024-12-09,0,-1.0
0,2024-12-10,1,3.4699799999998504
0,2024-12-11,0,-1.0
0,2024-12-12,1,3.309940000000097
0,2024-12-13,1,8.900030000000015
0,2024-12-16,1,13.099969999999985
0,2024-12-17,1,3.4000200000000405
0,2024-12-18,1,21.20995999999991
0,2024-12-19,1,7.760009999999966
0,2024-12-20,1,8.479989999999816
0,2024-12-23,1,2.7800300000001243
0,2024-12-24,1,4.010009999999966
0,2024-12-26,1,9.739990000000034
0,2024-12-27,0,-1.0
0,2024-12-30,1,10.960079999999834
0,2024-12-31,1,9.410030000000006
0,2025-01-02,1,3.5
0,2025-01-03,1,13.839969999999994
0,2025-01-06,1,18.30004000000008
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,17.140010000000075
0,2025-01-13,1,14.030030000000124
0,2025-01-14,1,22.140019999999822
0,2025-01-15,1,9.710080000000062
0,2025-01-16,1,15.740109999999959
0,2025-01-17,1,13.890019999999822
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,8.630010000000084
0,2025-01-24,0,-1.0
0,2025-01-27,1,11.420039999999972
0,2025-01-28,1,23.70006999999987
0,2025-01-29,0,-1.0
0,2025-01-30,1,4.819940000000088
0,2025-01-31,1,35.47997999999984
0,2025-02-03,1,3.4199200000000474
0,2025-02-04,0,-1.0
0,2025-02-05,0,-1.0
0,2025-02-06,1,10.739990000000034
0,2025-02-07,1,1.280029999999897
0,2025-02-10,1,2.280029999999897
0,2025-02-11,1,15.530029999999897
0,2025-02-12,1,7.1199900000001435
0,2025-02-13,1,9.140019999999822
0,2025-02-14,1,2.180050000000165
0,2025-02-18,1,5.530029999999897
0,2025-02-19,0,-1.0
0,2025-02-20,1,5.70995999999991
0,2025-02-21,0,-1.0
0,2025-02-24,0,-1.0
0,2025-02-25,0,-1.0
0,2025-02-26,0,-1.0
0,2025-02-27,1,19.880010000000084
0,2025-02-28,0,-1.0
0,2025-03-03,1,49.280030000000124
0,2025-03-04,1,15.030030000000124
0,2025-03-05,1,1.0098900000000413
0,2025-03-06,1,14.109990000000153
0,2025-03-07,1,26.199949999999944
0,2025-03-10,1,11.90002000000004
0,2025-03-11,1,15.0
0,2025-03-12,1,15.829960000000028
0,2025-03-13,0,-1.0
0,2025-03-14,1,1.8000500000000557
0,2025-03-17,1,3.7100800000000618
0,2025-03-18,1,7.189939999999979
0,2025-03-19,1,9.59997999999996
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,14.16003999999998
0,2025-03-25,1,20.280030000000124
0,2025-03-26,1,10.729980000000069
0,2025-03-27,1,35.0
0,2025-03-28,1,6.6500200000000405
0,2025-03-31,1,8.60997999999995
0,2025-04-01,1,12.290030000000115
0,2025-04-02,1,63.130010000000084
0,2025-04-03,0,-1.0
0,2025-04-04,1,62.19006000000013
0,2025-04-07,1,55.97998000000007
0,2025-04-08,1,19.42003999999997
0,2025-04-09,1,45.6900599999999
0,2025-04-10,1,21.53002000000015
0,2025-04-11,1,37.180050000000165
0,2025-04-14,1,14.029909999999973
0,2025-04-15,1,4.0999799999999595
0,2025-04-16,0,-1.0
