,date,accuracy,potential
0,2024-11-11,1,1.25
0,2024-11-12,1,9.879999999999882
0,2024-11-13,0,-1.0
0,2024-11-14,0,-1.0
0,2024-11-15,1,0.9400600000001305
0,2024-11-18,0,-1.0
0,2024-11-19,1,4.170039999999972
0,2024-11-20,0,-1.0
0,2024-11-21,1,11.58996000000002
0,2024-11-22,1,14.270019999999931
0,2024-11-25,0,-1.0
0,2024-11-26,1,3.799929999999904
0,2024-11-27,0,-1.0
0,2024-11-29,1,10.880010000000084
0,2024-12-02,1,10.920039999999972
0,2024-12-03,1,3.140010000000075
0,2024-12-04,1,11.920039999999972
0,2024-12-05,1,7.630010000000084
0,2024-12-06,1,12.819950000000063
0,2024-12-09,0,-1.0
0,2024-12-10,1,8.410030000000006
0,2024-12-11,1,9.539919999999938
0,2024-12-12,1,3.6099900000001526
0,2024-12-13,1,2.5600500000000466
0,2024-12-16,1,11.949949999999944
0,2024-12-17,1,0.47009000000002743
0,2024-12-18,1,19.52001999999993
0,2024-12-19,1,6.609989999999925
0,2024-12-20,1,12.89002000000005
0,2024-12-23,1,1.6600399999999809
0,2024-12-24,1,1.5399199999999382
0,2024-12-26,1,12.029909999999973
0,2024-12-27,1,24.859989999999925
0,2024-12-30,1,6.639889999999923
0,2024-12-31,1,11.420039999999972
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,6.430050000000165
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,5.449950000000172
0,2025-01-13,1,16.8299599999998
0,2025-01-14,0,-1.0
0,2025-01-15,1,11.520019999999931
0,2025-01-16,0,-1.0
0,2025-01-17,1,19.190059999999903
0,2025-01-21,1,4.21997999999985
0,2025-01-22,1,6.839969999999994
0,2025-01-23,1,0.639889999999923
0,2025-01-24,1,29.109980000000178
0,2025-01-27,1,9.569949999999835
0,2025-01-28,0,-1.0
0,2025-01-29,1,13.859980000000178
0,2025-01-30,1,4.989990000000034
0,2025-01-31,1,31.27001999999993
0,2025-02-03,1,2.7700199999999313
0,2025-02-04,1,0.3900100000000748
0,2025-02-05,1,5.770019999999931
0,2025-02-06,1,6.289919999999938
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,1,20.90002000000004
0,2025-02-12,1,3.6999499999999443
0,2025-02-13,1,2.9499500000001717
0,2025-02-14,1,11.65002000000004
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,0,-1.0
0,2025-02-21,1,9.010009999999966
0,2025-02-24,1,7.880010000000084
0,2025-02-25,0,-1.0
0,2025-02-26,1,13.110099999999875
0,2025-02-27,1,9.040030000000115
0,2025-02-28,1,5.409909999999854
0,2025-03-03,1,33.739990000000034
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,9.280030000000124
0,2025-03-07,0,-1.0
0,2025-03-10,1,20.419920000000047
0,2025-03-11,1,7.0
0,2025-03-12,1,8.559940000000097
0,2025-03-13,0,-1.0
0,2025-03-14,1,1.7700199999999313
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,15.900030000000015
0,2025-03-20,1,19.859980000000178
0,2025-03-21,1,22.72998000000007
0,2025-03-24,1,2.589969999999994
0,2025-03-25,1,6.660030000000006
0,2025-03-26,1,12.739990000000034
0,2025-03-27,1,21.559940000000097
0,2025-03-28,0,-1.0
0,2025-03-31,1,10.859989999999925
0,2025-04-01,1,2.860110000000077
0,2025-04-02,1,68.25
0,2025-04-03,0,-1.0
0,2025-04-04,1,49.6900599999999
0,2025-04-07,1,37.75
0,2025-04-08,1,11.170049999999947
0,2025-04-09,0,-1.0
0,2025-04-10,1,13.159920000000056
0,2025-04-11,0,-1.0
0,2025-04-14,1,7.510009999999966
0,2025-04-15,1,11.760009999999966
0,2025-04-16,1,1.0899699999999939
