,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,2.209990000000005
0,2024-11-13,1,5.76998999999995
0,2024-11-14,1,0.36001000000004524
0,2024-11-15,1,0.7099900000000048
0,2024-11-18,1,2.5299999999999727
0,2024-11-19,1,0.2600100000000225
0,2024-11-20,1,2.5100100000000225
0,2024-11-21,1,3.959990000000005
0,2024-11-22,0,-1
0,2024-11-25,0,-1
0,2024-11-26,1,5.9200100000000475
0,2024-11-27,1,7.850000000000023
0,2024-11-29,1,6.33999
0,2024-12-02,1,3.0799900000000093
0,2024-12-03,1,1.5400000000000205
0,2024-12-04,1,14.189999999999998
0,2024-12-05,0,-1
0,2024-12-06,1,8.820009999999968
0,2024-12-09,0,-1
0,2024-12-10,1,4.3500099999999975
0,2024-12-11,1,4.939979999999991
0,2024-12-12,1,3.120020000000011
0,2024-12-13,1,4.359989999999982
0,2024-12-16,1,1.1200000000000045
0,2024-12-17,1,0.47001000000000204
0,2024-12-18,1,1.1899999999999977
0,2024-12-19,1,1.6300099999999702
0,2024-12-20,1,8.269990000000007
0,2024-12-23,0,-1
0,2024-12-24,1,0.8600100000000452
0,2024-12-26,1,0.7999899999999798
0,2024-12-27,1,6.6499900000000025
0,2024-12-30,1,4.350000000000023
0,2024-12-31,0,-1
0,2025-01-02,1,10.339999999999975
0,2025-01-03,0,-1
0,2025-01-06,0,-1
0,2025-01-07,1,2.9400100000000293
0,2025-01-08,1,50.79001000000005
0,2025-01-10,1,7.269990000000007
0,2025-01-13,1,7.870020000000011
0,2025-01-14,1,4.949979999999982
0,2025-01-15,1,4.109989999999982
0,2025-01-16,1,4.859980000000007
0,2025-01-17,1,0.640010000000018
0,2025-01-21,0,-1
0,2025-01-22,1,0.9300200000000132
0,2025-01-23,0,-1
0,2025-01-24,0,-1
0,2025-01-27,1,0.49002000000001544
0,2025-01-28,1,1.9899899999999775
0,2025-01-29,1,6.360010000000045
0,2025-01-30,0,-1
0,2025-01-31,0,-1
0,2025-02-03,1,2.8999900000000025
0,2025-02-04,1,1.4499799999999823
0,2025-02-05,1,0.6900099999999725
0,2025-02-06,1,3.4899899999999775
0,2025-02-07,1,0.31997999999998683
0,2025-02-10,0,-1
0,2025-02-11,1,6.650019999999984
0,2025-02-12,1,4.090000000000032
0,2025-02-13,1,0.5499899999999798
0,2025-02-14,0,-1
0,2025-02-18,0,-1
0,2025-02-19,1,0.060000000000002274
0,2025-02-20,1,5.79998999999998
0,2025-02-21,1,11.730009999999993
0,2025-02-24,0,-1
0,2025-02-25,1,1.6900099999999725
0,2025-02-26,0,-1
0,2025-02-27,0,-1
0,2025-02-28,1,4.63997999999998
0,2025-03-03,1,5.359989999999982
0,2025-03-04,0,-1
0,2025-03-05,1,7.730009999999993
0,2025-03-06,1,10.389989999999955
0,2025-03-07,1,0.5
0,2025-03-10,1,13.069979999999987
0,2025-03-11,0,-1
0,2025-03-12,1,5.350000000000023
0,2025-03-13,1,2.0
0,2025-03-14,0,-1
0,2025-03-17,1,5.779989999999998
0,2025-03-18,1,2.8500099999999975
0,2025-03-19,1,2.019990000000007
0,2025-03-20,1,2.910000000000025
0,2025-03-21,1,1.9699999999999704
0,2025-03-24,1,0.8100000000000023
0,2025-03-25,0,-1
0,2025-03-26,1,2.160000000000025
0,2025-03-27,0,-1
0,2025-03-28,1,3.0700100000000248
0,2025-03-31,1,2.1000099999999975
0,2025-04-01,1,3.9899899999999775
0,2025-04-02,1,5.33001999999999
0,2025-04-03,1,8.899999999999977
0,2025-04-04,1,14.470000000000027
0,2025-04-07,0,-1
0,2025-04-08,1,4.1200000000000045
0,2025-04-09,1,3.48001000000005
0,2025-04-10,1,8.160000000000025
0,2025-04-11,1,6.939979999999991
0,2025-04-14,1,4.6000099999999975
0,2025-04-15,1,2.1000000000000227
0,2025-04-16,1,5.439999999999998
