,date,accuracy,potential
0,2024-11-11,1,3.110050000000001
0,2024-11-12,1,2.2599500000000035
0,2024-11-13,1,1.1699800000000096
0,2024-11-14,1,0.8200100000000248
0,2024-11-15,1,5.92999999999995
0,2024-11-18,1,7.3299599999999145
0,2024-11-19,1,6.33001999999999
0,2024-11-20,1,11.059999999999945
0,2024-11-21,1,5.809999999999945
0,2024-11-22,1,8.78003000000001
0,2024-11-25,1,1.520020000000045
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,1.1300099999999702
0,2024-12-02,1,3.109990000000039
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.12999999999999545
0,2024-12-05,1,12.309999999999945
0,2024-12-06,0,-1.0
0,2024-12-09,1,4.5
0,2024-12-10,1,2.109989999999925
0,2024-12-11,1,6.0999700000000985
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,1,10.840029999999956
0,2024-12-17,1,3.839969999999994
0,2024-12-18,1,7.089969999999994
0,2024-12-19,1,5.66998000000001
0,2024-12-20,1,0.7300399999999172
0,2024-12-23,1,2.8499799999999595
0,2024-12-24,1,3.930059999999912
0,2024-12-26,1,2.6399599999999737
0,2024-12-27,1,5.210019999999986
0,2024-12-30,0,-1.0
0,2024-12-31,1,11.970030000000065
0,2025-01-02,0,-1.0
0,2025-01-03,1,8.639959999999974
0,2025-01-06,0,-1.0
0,2025-01-07,1,6.609989999999925
0,2025-01-08,1,0.7200300000000652
0,2025-01-10,0,-1.0
0,2025-01-13,1,2.42999999999995
0,2025-01-14,1,8.48998999999992
0,2025-01-15,1,1.9400100000000293
0,2025-01-16,1,6.609980000000064
0,2025-01-17,0,-1.0
0,2025-01-21,1,7.16998000000001
0,2025-01-22,1,8.07000000000005
0,2025-01-23,1,5.679989999999975
0,2025-01-24,0,-1.0
0,2025-01-27,1,3.6499599999999646
0,2025-01-28,1,4.160039999999981
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,7.25
0,2025-02-03,1,13.770019999999931
0,2025-02-04,1,1.100029999999947
0,2025-02-05,1,8.840029999999956
0,2025-02-06,1,4.8599799999999505
0,2025-02-07,1,13.349970000000098
0,2025-02-10,1,5.539980000000014
0,2025-02-11,1,9.410030000000006
0,2025-02-12,1,4.710019999999986
0,2025-02-13,1,10.5
0,2025-02-14,0,-1.0
0,2025-02-18,1,11.70001000000002
0,2025-02-19,1,3.719979999999964
0,2025-02-20,1,7.679989999999975
0,2025-02-21,1,3.1699800000000096
0,2025-02-24,1,12.620000000000005
0,2025-02-25,1,2.1900100000000293
0,2025-02-26,1,11.04998999999998
0,2025-02-27,1,5.570010000000025
0,2025-02-28,1,7.040039999999976
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,13.0
0,2025-03-10,1,4.020019999999931
0,2025-03-11,1,3.9400000000000546
0,2025-03-12,1,6.790039999999976
0,2025-03-13,1,13.279970000000048
0,2025-03-14,1,10.090029999999956
0,2025-03-17,1,0.4199899999999843
0,2025-03-18,0,-1.0
0,2025-03-19,1,5.520020000000045
0,2025-03-20,0,-1.0
0,2025-03-21,1,9.779969999999935
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,0.9800399999999172
0,2025-03-27,1,1.949950000000058
0,2025-03-28,1,0.5599999999999454
0,2025-03-31,1,6.6500200000000405
0,2025-04-01,1,7.719969999999989
0,2025-04-02,1,44.98998999999992
0,2025-04-03,1,53.95001000000002
0,2025-04-04,1,16.43999999999994
0,2025-04-07,1,18.59001999999998
0,2025-04-08,1,14.489990000000034
0,2025-04-09,1,34.7100200000001
0,2025-04-10,1,8.60997999999995
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,18.0
