,date,accuracy,potential
0,2024-11-08,1,119.0
0,2024-11-11,1,47.3496099999993
0,2024-11-12,0,-1.0
0,2024-11-13,1,16.200199999999313
0,2024-11-14,1,191.64941
0,2024-11-18,1,175.6503900000007
0,2024-11-19,1,37.35059000000001
0,2024-11-21,1,152.25
0,2024-11-22,0,-1.0
0,2024-11-25,1,64.85059000000001
0,2024-11-26,1,20.150399999998626
0,2024-11-27,1,157.79980999999862
0,2024-11-28,1,32.8496099999993
0,2024-11-29,1,47.95019999999931
0,2024-12-02,1,66.45019000000138
0,2024-12-03,1,81.9003900000007
0,2024-12-04,1,11.5
0,2024-12-05,1,20.700190000001385
0,2024-12-06,1,106.0
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,1,165.2001999999993
0,2024-12-13,1,74.0
0,2024-12-16,1,8.550780000001396
0,2024-12-17,1,55.35059000000001
0,2024-12-18,0,-1.0
0,2024-12-19,1,58.0
0,2024-12-20,1,65.20019000000138
0,2024-12-23,1,107.5
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,1,91.6503900000007
0,2024-12-30,0,-1.0
0,2024-12-31,1,29.75
0,2025-01-01,0,-1.0
0,2025-01-02,1,63.299809999998615
0,2025-01-03,1,72.3007800000014
0,2025-01-06,1,77.95019999999931
0,2025-01-07,1,68.04980999999862
0,2025-01-08,1,83.25
0,2025-01-09,1,7.400390000000698
0,2025-01-10,0,-1.0
0,2025-01-13,1,78.8496099999993
0,2025-01-14,1,10.5
0,2025-01-15,1,71.85059000000001
0,2025-01-16,0,-1.0
0,2025-01-17,1,74.9003900000007
0,2025-01-20,1,49.050780000001396
0,2025-01-21,1,102.5
0,2025-01-22,1,28.14940999999999
0,2025-01-23,1,22.599609999999302
0,2025-01-24,0,-1.0
0,2025-01-27,1,48.14940999999999
0,2025-01-28,1,64.60059000000001
0,2025-01-29,1,13.850590000000011
0,2025-01-30,0,-1.0
0,2025-01-31,1,20.099600000001374
0,2025-02-01,1,62.95019999999931
0,2025-02-03,1,99.60059000000001
0,2025-02-04,1,21.650390000000698
0,2025-02-05,1,37.79980000000069
0,2025-02-06,1,109.75
0,2025-02-07,1,8.100590000000011
0,2025-02-10,1,28.60059000000001
0,2025-02-11,0,-1.0
0,2025-02-12,1,27.799809999998615
0,2025-02-13,1,60.54980000000069
0,2025-02-14,1,108.45019999999931
0,2025-02-17,1,22.85059000000001
0,2025-02-18,0,-1.0
0,2025-02-19,1,66.45019999999931
0,2025-02-20,0,-1.0
0,2025-02-21,0,-1.0
0,2025-02-24,1,38.39940999999999
0,2025-02-25,1,65.79980000000069
0,2025-02-27,0,-1.0
0,2025-02-28,1,3.450199999999313
0,2025-03-03,1,128.25
0,2025-03-04,0,-1.0
0,2025-03-05,1,27.25
0,2025-03-06,1,53.049809999998615
0,2025-03-07,1,74.0996099999993
0,2025-03-10,1,94.8496099999993
0,2025-03-11,0,-1.0
0,2025-03-12,1,29.849600000001374
0,2025-03-13,0,-1.0
0,2025-03-17,1,130.45019000000138
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,1,71.75
0,2025-03-21,1,44.54980000000069
0,2025-03-24,0,-1.0
0,2025-03-25,1,58.20019999999931
0,2025-03-26,1,74.5996099999993
0,2025-03-27,0,-1.0
0,2025-03-28,1,52.0
0,2025-04-01,1,1.8007800000013958
0,2025-04-02,1,52.5
0,2025-04-03,0,-1.0
0,2025-04-04,1,486.8007800000014
0,2025-04-07,1,147.40039999999863
0,2025-04-08,1,128.10059
0,2025-04-09,1,222.54980999999862
0,2025-04-11,1,170.04980999999862
0,2025-04-15,1,57.0
0,2025-04-16,0,-1.0
