,date,accuracy,potential
0,2024-11-08,1,367.90234000000055
0,2024-11-11,1,317.19921999999497
0,2024-11-12,1,204.44922000000224
0,2024-11-13,1,103.44922000000224
0,2024-11-14,1,110.80077999999776
0,2024-11-18,0,-1.0
0,2024-11-19,1,667.5507799999978
0,2024-11-21,0,-1.0
0,2024-11-22,1,1148.5976599999995
0,2024-11-25,1,154.75
0,2024-11-26,1,134.30077999999776
0,2024-11-27,1,451.05078000000503
0,2024-11-28,1,173.0
0,2024-11-29,0,-1.0
0,2024-12-02,1,556.0976599999995
0,2024-12-03,1,407.15234000000055
0,2024-12-04,1,255.1484399999972
0,2024-12-05,1,253.3984399999972
0,2024-12-06,1,95.94922000000224
0,2024-12-09,1,169.05077999999776
0,2024-12-10,1,297.55077999999776
0,2024-12-11,1,140.19922000000224
0,2024-12-12,1,936.3515600000028
0,2024-12-13,1,205.44921999999497
0,2024-12-16,1,524.25
0,2024-12-17,1,27.0
0,2024-12-18,0,-1.0
0,2024-12-19,0,-1.0
0,2024-12-20,0,-1.0
0,2024-12-23,1,163.0
0,2024-12-24,1,423.6484399999972
0,2024-12-26,0,-1.0
0,2024-12-27,1,160.75
0,2024-12-30,1,236.44921999999497
0,2024-12-31,1,365.90234000000055
0,2025-01-01,1,61.101559999995516
0,2025-01-02,1,501.90234000000055
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,57.851559999995516
0,2025-01-08,1,392.0
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,652.0976599999995
0,2025-01-14,1,145.25
0,2025-01-15,1,628.0468799999944
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,544.699219999995
0,2025-01-21,1,92.0
0,2025-01-22,1,263.5
0,2025-01-23,1,242.80078000000503
0,2025-01-24,1,470.19921999999497
0,2025-01-27,1,832.9492200000022
0,2025-01-28,1,219.25
0,2025-01-29,1,184.75
0,2025-01-30,0,-1.0
0,2025-01-31,1,113.89843999999721
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,357.65234000000055
0,2025-02-05,1,160.80078000000503
0,2025-02-06,1,178.29687999999442
0,2025-02-07,1,493.4531200000056
0,2025-02-10,1,475.75
0,2025-02-11,0,-1.0
0,2025-02-12,1,61.449219999994966
0,2025-02-13,1,215.3984399999972
0,2025-02-14,1,517.3007799999978
0,2025-02-17,1,408.6484399999972
0,2025-02-18,1,232.29687999999442
0,2025-02-19,1,340.5
0,2025-02-20,1,5.6523400000005495
0,2025-02-21,1,620.1015600000028
0,2025-02-24,1,34.05077999999776
0,2025-02-25,1,357.94921999999497
0,2025-02-27,1,470.80077999999776
0,2025-02-28,1,388.5
0,2025-03-03,1,167.6015600000028
0,2025-03-04,0,-1.0
0,2025-03-05,1,193.6484399999972
0,2025-03-06,1,97.75
0,2025-03-07,1,88.0
0,2025-03-10,1,420.05077999999776
0,2025-03-11,1,332.34765999999945
0,2025-03-12,0,-1.0
0,2025-03-13,1,398.8515600000028
0,2025-03-17,0,-1.0
0,2025-03-18,1,355.19922000000224
0,2025-03-19,1,292.44921999999497
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,284.94921999999497
0,2025-03-25,0,-1.0
0,2025-03-26,1,451.30077999999776
0,2025-03-27,1,57.55077999999776
0,2025-03-28,1,532.7968799999944
0,2025-04-01,1,384.1484399999972
0,2025-04-02,1,350.6484399999972
0,2025-04-03,1,303.6484400000045
0,2025-04-04,0,-1.0
0,2025-04-07,1,798.25
0,2025-04-08,1,510.40234000000055
0,2025-04-09,1,769.8515600000028
0,2025-04-11,1,1247.6484400000045
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
