,date,accuracy,potential
0,2024-11-08,1,68.5
0,2024-11-11,1,7.649409999999989
0,2024-11-12,1,18.049809999998615
0,2024-11-13,1,33.89940999999999
0,2024-11-14,1,37.299809999998615
0,2024-11-18,1,178.64941
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,30.299809999998615
0,2024-11-26,1,19.25
0,2024-11-27,1,65.45019000000138
0,2024-11-28,1,9.799800000000687
0,2024-11-29,1,41.29980000000069
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,40.5
0,2024-12-05,1,29.950199999999313
0,2024-12-06,1,38.25
0,2024-12-09,1,16.89940999999999
0,2024-12-10,1,12.300780000001396
0,2024-12-11,1,10.950190000001385
0,2024-12-12,1,209.0
0,2024-12-13,1,20.950199999999313
0,2024-12-16,1,107.09960000000137
0,2024-12-17,1,60.95019999999931
0,2024-12-18,1,203.54980999999862
0,2024-12-19,1,82.0507800000014
0,2024-12-20,1,96.25
0,2024-12-23,1,37.95019999999931
0,2024-12-24,1,10.450190000001385
0,2024-12-26,0,-1.0
0,2024-12-27,1,13.25
0,2024-12-30,1,114.29980000000069
0,2024-12-31,1,11.800780000001396
0,2025-01-01,1,56.5
0,2025-01-02,1,57.199219999998604
0,2025-01-03,1,116.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,5.149409999999989
0,2025-01-08,1,49.949219999998604
0,2025-01-09,1,167.4492199999986
0,2025-01-10,1,171.89941
0,2025-01-13,0,-1.0
0,2025-01-14,1,59.60059000000001
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,28.39940999999999
0,2025-01-20,1,141.7001999999993
0,2025-01-21,1,8.049809999998615
0,2025-01-22,1,24.650390000000698
0,2025-01-23,1,45.25
0,2025-01-24,1,204.45019000000138
0,2025-01-27,1,32.54980000000069
0,2025-01-28,1,110.70019000000138
0,2025-01-29,1,6.100590000000011
0,2025-01-30,1,13.900390000000698
0,2025-01-31,1,49.85059000000001
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,29.150390000000698
0,2025-02-06,1,87.90039999999863
0,2025-02-07,1,138.2998000000007
0,2025-02-10,1,127.45019999999931
0,2025-02-11,1,206.5996099999993
0,2025-02-12,1,26.75
0,2025-02-13,1,109.60059000000001
0,2025-02-14,1,140.59960000000137
0,2025-02-17,1,98.1992199999986
0,2025-02-18,1,114.04980999999862
0,2025-02-19,1,48.6503900000007
0,2025-02-20,1,30.700190000001385
0,2025-02-21,1,127.60059000000001
0,2025-02-24,1,22.599600000001374
0,2025-02-25,1,30.5
0,2025-02-27,1,193.29980999999862
0,2025-02-28,1,104.5
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,89.75
0,2025-03-06,1,60.25
0,2025-03-07,1,71.85059000000001
0,2025-03-10,1,9.200199999999313
0,2025-03-11,1,33.099600000001374
0,2025-03-12,1,8.850590000000011
0,2025-03-13,0,-1.0
0,2025-03-17,1,150.0498000000007
0,2025-03-18,1,78.0996099999993
0,2025-03-19,1,95.89940999999999
0,2025-03-20,0,-1.0
0,2025-03-21,1,133.4003900000007
0,2025-03-24,1,85.79980000000069
0,2025-03-25,1,80.40039999999863
0,2025-03-26,1,27.400390000000698
0,2025-03-27,1,14.299800000000687
0,2025-03-28,1,99.14940999999999
0,2025-04-01,1,51.450190000001385
0,2025-04-02,1,71.5507800000014
0,2025-04-03,0,-1.0
0,2025-04-04,1,612.5996000000014
0,2025-04-07,1,202.20019000000138
0,2025-04-08,0,-1.0
0,2025-04-09,1,234.8007800000014
0,2025-04-11,0,-1.0
0,2025-04-15,1,24.35059000000001
0,2025-04-16,1,59.200190000001385
