,date,accuracy,potential
0,2024-11-08,1,38.150400000000445
0,2024-11-11,1,33.04979999999978
0,2024-11-12,1,116.25
0,2024-11-13,1,58.29979999999978
0,2024-11-14,1,24.5
0,2024-11-18,0,-1.0
0,2024-11-19,1,313.60009999999966
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,14.850099999999657
0,2024-11-26,1,6.700199999999313
0,2024-11-27,1,90.55029999999988
0,2024-11-28,1,34.25
0,2024-11-29,1,9.600099999999657
0,2024-12-02,1,166.94970000000012
0,2024-12-03,0,-1.0
0,2024-12-04,1,62.79980000000069
0,2024-12-05,1,64.54980000000069
0,2024-12-06,1,28.899900000000343
0,2024-12-09,1,7.449700000000121
0,2024-12-10,1,18.399899999999434
0,2024-12-11,1,64.25
0,2024-12-12,1,204.94970000000012
0,2024-12-13,1,7.25
0,2024-12-16,1,57.94970000000012
0,2024-12-17,1,64.85009999999966
0,2024-12-18,0,-1.0
0,2024-12-19,1,62.64990000000034
0,2024-12-20,1,45.5
0,2024-12-23,1,21.0
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,1,32.69970000000012
0,2024-12-30,1,21.299799999999777
0,2024-12-31,1,44.79980000000069
0,2025-01-01,1,7.050299999999879
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,68.10009999999966
0,2025-01-08,0,-1.0
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,185.89990000000034
0,2025-01-14,1,31.399899999999434
0,2025-01-15,0,-1.0
0,2025-01-16,1,50.600100000000566
0,2025-01-17,1,95.39990000000034
0,2025-01-20,1,91.64989999999943
0,2025-01-21,1,88.70020000000022
0,2025-01-22,1,65.95019999999931
0,2025-01-23,1,88.75
0,2025-01-24,1,4.549799999999777
0,2025-01-27,0,-1.0
0,2025-01-28,1,12.850099999999657
0,2025-01-29,1,40.55029999999988
0,2025-01-30,1,3.25
0,2025-01-31,1,17.69970000000012
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,17.80029999999988
0,2025-02-06,1,103.75
0,2025-02-07,1,19.200200000000223
0,2025-02-10,1,110.70020000000022
0,2025-02-11,1,20.0
0,2025-02-12,1,5.75
0,2025-02-13,1,37.149899999999434
0,2025-02-14,1,114.10009999999966
0,2025-02-17,1,106.60009999999966
0,2025-02-18,1,109.5
0,2025-02-19,1,19.450200000000223
0,2025-02-20,1,38.44970000000012
0,2025-02-21,1,76.14990000000034
0,2025-02-24,1,45.05029999999988
0,2025-02-25,1,46.25
0,2025-02-27,0,-1.0
0,2025-02-28,1,128.5
0,2025-03-03,1,120.35010000000057
0,2025-03-04,1,126.45019999999931
0,2025-03-05,0,-1.0
0,2025-03-06,1,4.299800000000687
0,2025-03-07,1,25.600099999999657
0,2025-03-10,1,21.150400000000445
0,2025-03-11,1,29.899900000000343
0,2025-03-12,1,78.39989999999943
0,2025-03-13,1,21.75
0,2025-03-17,1,82.85009999999966
0,2025-03-18,1,107.64990000000034
0,2025-03-19,1,78.79980000000069
0,2025-03-20,0,-1.0
0,2025-03-21,1,117.5
0,2025-03-24,1,78.54979999999978
0,2025-03-25,1,7.549799999999777
0,2025-03-26,1,122.79979999999978
0,2025-03-27,0,-1.0
0,2025-03-28,1,15.350100000000566
0,2025-04-01,1,85.15040000000045
0,2025-04-02,1,43.20019999999931
0,2025-04-03,1,39.0
0,2025-04-04,1,317.85009999999966
0,2025-04-07,1,143.44970000000012
0,2025-04-08,1,155.70020000000022
0,2025-04-09,1,82.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,100.35009999999966
0,2025-04-16,1,24.850099999999657
