,date,accuracy,potential
0,2024-11-11,1,3.3399900000000002
0,2024-11-12,0,-1.0
0,2024-11-13,0,-1.0
0,2024-11-14,1,2.099989999999991
0,2024-11-15,1,4.83999
0,2024-11-18,1,4.809989999999999
0,2024-11-19,1,7.690010000000001
0,2024-11-20,1,0.0599899999999991
0,2024-11-21,1,1.8699900000000014
0,2024-11-22,1,6.589999999999975
0,2024-11-25,1,4.5199799999999755
0,2024-11-26,1,1.8999900000000025
0,2024-11-27,1,1.6599999999999966
0,2024-11-29,1,2.149989999999974
0,2024-12-02,1,2.9899899999999775
0,2024-12-03,0,-1.0
0,2024-12-04,1,11.530000000000001
0,2024-12-05,1,3.1299999999999955
0,2024-12-06,1,0.7199999999999989
0,2024-12-09,0,-1.0
0,2024-12-10,1,4.110000000000014
0,2024-12-11,1,4.0
0,2024-12-12,1,1.5699999999999932
0,2024-12-13,1,1.1999899999999855
0,2024-12-16,0,-1.0
0,2024-12-17,1,0.28999999999999204
0,2024-12-18,0,-1.0
0,2024-12-19,1,1.329999999999984
0,2024-12-20,1,1.010009999999994
0,2024-12-23,1,0.7900100000000236
0,2024-12-24,1,2.740000000000009
0,2024-12-26,0,-1.0
0,2024-12-27,1,7.630000000000024
0,2024-12-30,1,1.1400000000000148
0,2024-12-31,1,0.3999900000000025
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,1.329999999999984
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,3.5099899999999877
0,2025-01-15,1,0.13000999999999863
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,5.170000000000016
0,2025-01-22,1,4.719999999999999
0,2025-01-23,1,2.5
0,2025-01-24,1,1.3499899999999911
0,2025-01-27,1,4.02000000000001
0,2025-01-28,1,2.3899999999999864
0,2025-01-29,1,2.319999999999993
0,2025-01-30,1,2.400010000000009
0,2025-01-31,1,7.280000000000001
0,2025-02-03,1,3.3799899999999923
0,2025-02-04,1,3.230009999999993
0,2025-02-05,1,0.9799999999999898
0,2025-02-06,1,2.0700100000000248
0,2025-02-07,1,7.41001
0,2025-02-10,1,6.590000000000003
0,2025-02-11,1,4.640000000000015
0,2025-02-12,1,1.5999899999999911
0,2025-02-13,1,2.3400000000000034
0,2025-02-14,1,0.9600100000000111
0,2025-02-18,1,1.2599899999999877
0,2025-02-19,1,7.329999999999984
0,2025-02-20,1,2.7700000000000102
0,2025-02-21,1,4.970010000000002
0,2025-02-24,1,6.75
0,2025-02-25,0,-1.0
0,2025-02-26,1,7.840010000000007
0,2025-02-27,0,-1.0
0,2025-02-28,1,3.1199900000000014
0,2025-03-03,1,14.609999999999985
0,2025-03-04,0,-1.0
0,2025-03-05,1,6.939979999999991
0,2025-03-06,1,10.310000000000002
0,2025-03-07,1,13.110000000000014
0,2025-03-10,1,4.039990000000017
0,2025-03-11,1,9.530000000000001
0,2025-03-12,1,2.5
0,2025-03-13,0,-1.0
0,2025-03-14,1,1.6699999999999875
0,2025-03-17,0,-1.0
0,2025-03-18,1,5.120010000000008
0,2025-03-19,1,0.19999999999998863
0,2025-03-20,1,4.669989999999984
0,2025-03-21,0,-1.0
0,2025-03-24,1,1.3799999999999955
0,2025-03-25,1,0.8599999999999852
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-03-28,1,10.600000000000023
0,2025-03-31,1,9.690010000000001
0,2025-04-01,1,2.780000000000001
0,2025-04-02,1,17.450019999999995
0,2025-04-03,0,-1.0
0,2025-04-04,1,8.539999999999992
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,15.540010000000024
0,2025-04-10,1,1.8199999999999932
0,2025-04-11,1,1.920000000000016
0,2025-04-14,0,-1.0
0,2025-04-15,1,4.140000000000015
0,2025-04-16,1,2.25
