,date,accuracy,potential
0,2024-11-11,1,1.300040000000081
0,2024-11-12,0,-1.0
0,2024-11-13,0,-1.0
0,2024-11-14,1,8.099969999999985
0,2024-11-15,1,2.3000500000000557
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-20,1,11.65002000000004
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,1.6100999999998749
0,2024-11-26,0,-1.0
0,2024-11-27,1,3.6299999999998818
0,2024-11-29,1,8.109989999999925
0,2024-12-02,1,0.07996000000002823
0,2024-12-03,0,-1.0
0,2024-12-04,1,1.6099900000001526
0,2024-12-05,1,1.2399900000000343
0,2024-12-06,1,1.3900200000000495
0,2024-12-09,1,10.630010000000084
0,2024-12-10,1,1.780029999999897
0,2024-12-11,1,3.5700600000000122
0,2024-12-12,1,6.75
0,2024-12-13,0,-1.0
0,2024-12-16,1,5.049929999999904
0,2024-12-17,1,5.949949999999944
0,2024-12-18,1,9.299929999999904
0,2024-12-19,1,7.369999999999891
0,2024-12-20,0,-1.0
0,2024-12-23,1,1.9500699999998687
0,2024-12-24,1,2.719970000000103
0,2024-12-26,1,2.319940000000088
0,2024-12-27,1,17.64991000000009
0,2024-12-30,1,6.6700499999999465
0,2024-12-31,1,5.409910000000082
0,2025-01-02,1,4.5599399999998695
0,2025-01-03,0,-1.0
0,2025-01-06,1,10.34997999999996
0,2025-01-07,1,3.9399499999999534
0,2025-01-08,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,14.0
0,2025-01-15,1,3.119989999999916
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,9.04004000000009
0,2025-01-23,0,-1.0
0,2025-01-24,1,27.179939999999988
0,2025-01-27,1,9.550040000000081
0,2025-01-28,1,1.5799600000000282
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,5.150030000000015
0,2025-02-03,0,-1.0
0,2025-02-04,1,5.940059999999903
0,2025-02-05,1,4.830069999999978
0,2025-02-06,0,-1.0
0,2025-02-07,1,3.8900200000000495
0,2025-02-10,1,3.160039999999981
0,2025-02-11,0,-1.0
0,2025-02-12,1,1.3100600000000213
0,2025-02-13,0,-1.0
0,2025-02-14,1,7.229979999999841
0,2025-02-18,1,6.960080000000062
0,2025-02-19,1,14.04004000000009
0,2025-02-20,1,8.260009999999966
0,2025-02-21,1,2.2899200000001656
0,2025-02-24,1,24.169930000000022
0,2025-02-25,1,12.270019999999931
0,2025-02-26,1,3.4300499999999374
0,2025-02-27,0,-1.0
0,2025-02-28,1,1.0200199999999313
0,2025-03-03,0,-1.0
0,2025-03-04,1,15.140010000000075
0,2025-03-05,1,3.8900200000000495
0,2025-03-06,1,2.359980000000178
0,2025-03-07,0,-1.0
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,4.580079999999953
0,2025-03-13,1,2.3599799999999505
0,2025-03-14,0,-1.0
0,2025-03-17,1,1.2199699999998757
0,2025-03-18,1,1.8599799999999505
0,2025-03-19,1,11.010009999999966
0,2025-03-20,1,13.709969999999885
0,2025-03-21,1,5.840089999999918
0,2025-03-24,0,-1.0
0,2025-03-25,1,13.719970000000103
0,2025-03-26,0,-1.0
0,2025-03-27,1,4.849969999999985
0,2025-03-28,1,11.180049999999937
0,2025-03-31,1,6.6500200000000405
0,2025-04-01,1,11.689939999999979
0,2025-04-02,1,18.65002000000004
0,2025-04-03,1,4.409910000000082
0,2025-04-04,1,35.04993000000013
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.01001000000008
0,2025-04-09,1,4.9000200000000405
0,2025-04-10,1,5.25
0,2025-04-11,1,16.19006000000013
0,2025-04-14,1,5.560060000000021
0,2025-04-15,1,4.599969999999985
0,2025-04-16,1,20.280030000000124
