,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,15.040039999999863
0,2024-11-13,1,13.850100000000566
0,2024-11-14,1,22.66016000000036
0,2024-11-15,1,18.73974999999973
0,2024-11-18,1,49.91015999999945
0,2024-11-19,1,21.439940000000206
0,2024-11-20,0,-1
0,2024-11-21,1,38.5
0,2024-11-22,1,70.82031999999981
0,2024-11-25,0,-1
0,2024-11-26,1,0.4702100000004066
0,2024-11-27,0,-1
0,2024-11-29,1,1.33983999999964
0,2024-12-02,1,35.34034000000065
0,2024-12-03,1,14.419919999999365
0,2024-12-04,1,4.779779999999846
0,2024-12-05,0,-1
0,2024-12-06,1,59.6298799999995
0,2024-12-09,0,-1
0,2024-12-10,1,37.58984000000055
0,2024-12-11,0,-1
0,2024-12-12,1,0.8603600000005827
0,2024-12-13,1,18.069829999999456
0,2024-12-16,1,27.840329999999994
0,2024-12-17,1,2.0698199999997087
0,2024-12-18,1,58.630380000000514
0,2024-12-19,1,49.149909999999636
0,2024-12-20,0,-1
0,2024-12-23,1,6.260260000000017
0,2024-12-24,1,22.26025000000027
0,2024-12-26,1,4.220220000000154
0,2024-12-27,0,-1
0,2024-12-30,0,-1
0,2024-12-31,1,41.20996000000014
0,2025-01-02,1,4.819820000000163
0,2025-01-03,1,61.0598100000002
0,2025-01-06,1,21.259759999999915
0,2025-01-07,0,-1
0,2025-01-08,1,69.85986000000003
0,2025-01-10,1,55.5
0,2025-01-13,1,60.56006000000025
0,2025-01-14,0,-1
0,2025-01-15,0,-1
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-21,1,23.080080000000635
0,2025-01-22,0,-1
0,2025-01-23,1,15.129880000000412
0,2025-01-24,1,77.41016000000036
0,2025-01-27,1,35.01026000000002
0,2025-01-28,0,-1
0,2025-01-29,1,0.75
0,2025-01-30,1,16.810059999999794
0,2025-01-31,1,126.62988000000041
0,2025-02-03,0,-1
0,2025-02-04,1,43.98973999999998
0,2025-02-05,0,-1
0,2025-02-06,1,27.439939999999297
0,2025-02-07,1,3.430170000000544
0,2025-02-10,1,12.909659999999349
0,2025-02-11,1,88.32958999999937
0,2025-02-12,1,16.990240000000085
0,2025-02-13,1,25.60009000000082
0,2025-02-14,1,43.649899999999434
0,2025-02-18,0,-1
0,2025-02-19,1,45.72998000000007
0,2025-02-20,1,63.97998000000007
0,2025-02-21,1,20.129880000000412
0,2025-02-24,1,19.529789999999593
0,2025-02-25,1,40.79003999999986
0,2025-02-26,1,4.950200000000223
0,2025-02-27,1,41.29979999999978
0,2025-02-28,1,24.580080000000635
0,2025-03-03,0,-1
0,2025-03-04,1,67.77001999999993
0,2025-03-05,1,26.989990000000034
0,2025-03-06,1,18.690190000000257
0,2025-03-07,1,7.040030000000115
0,2025-03-10,1,85.68018000000029
0,2025-03-11,1,34.58008000000018
0,2025-03-12,1,25.07983000000013
0,2025-03-13,1,74.41991999999982
0,2025-03-14,1,36.29003999999986
0,2025-03-17,0,-1
0,2025-03-18,1,2.579830000000129
0,2025-03-19,1,55.63988999999992
0,2025-03-20,1,73.04003999999986
0,2025-03-21,0,-1
0,2025-03-24,1,24.06006000000025
0,2025-03-25,0,-1
0,2025-03-26,1,3.7600099999999657
0,2025-03-27,1,84.55004999999983
0,2025-03-28,1,77.56006000000025
0,2025-03-31,1,42.88013000000001
0,2025-04-01,1,1.359860000000026
0,2025-04-02,1,266.79003999999986
0,2025-04-03,1,245.05980999999974
0,2025-04-04,1,178.2199700000001
0,2025-04-07,0,-1
0,2025-04-08,1,42.95995999999968
0,2025-04-09,1,142.8998999999999
0,2025-04-10,1,38.900150000000394
0,2025-04-11,1,60.939940000000206
0,2025-04-14,1,26.359860000000026
0,2025-04-15,1,38.010009999999966
0,2025-04-16,1,40.12987999999996
