,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,11.320069999999987
0,2024-11-13,1,11.459969999999885
0,2024-11-14,1,9.79004000000009
0,2024-11-15,1,5.789919999999938
0,2024-11-18,1,17.79993000000013
0,2024-11-19,1,2.969970000000103
0,2024-11-20,1,23.39989999999989
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,0,-1
0,2024-11-26,1,11.39002000000005
0,2024-11-27,1,0.7300999999999931
0,2024-11-29,1,27.78991999999994
0,2024-12-02,0,-1
0,2024-12-03,0,-1
0,2024-12-04,1,2.410030000000006
0,2024-12-05,1,2.6199900000001435
0,2024-12-06,1,2.7600099999999657
0,2024-12-09,1,5.489990000000034
0,2024-12-10,1,4.339960000000019
0,2024-12-11,1,0.37987999999995736
0,2024-12-12,1,5.680059999999912
0,2024-12-13,1,6.75
0,2024-12-16,0,-1
0,2024-12-17,1,4.729979999999841
0,2024-12-18,1,15.090079999999944
0,2024-12-19,1,10.690059999999903
0,2024-12-20,0,-1
0,2024-12-23,1,3.900030000000015
0,2024-12-24,1,6.709960000000137
0,2024-12-26,1,7.449949999999944
0,2024-12-27,1,23.78002000000015
0,2024-12-30,0,-1
0,2024-12-31,1,1.33008000000018
0,2025-01-02,1,14.280029999999897
0,2025-01-03,0,-1
0,2025-01-06,1,13.700070000000096
0,2025-01-07,1,4.060050000000047
0,2025-01-08,0,-1
0,2025-01-10,1,9.580079999999953
0,2025-01-13,1,12.380010000000084
0,2025-01-14,0,-1
0,2025-01-15,1,2.280029999999897
0,2025-01-16,1,0.9899900000000343
0,2025-01-17,1,16.929930000000013
0,2025-01-21,0,-1
0,2025-01-22,0,-1
0,2025-01-23,1,15.909920000000056
0,2025-01-24,1,27.75
0,2025-01-27,1,0.8599899999999252
0,2025-01-28,0,-1
0,2025-01-29,0,-1
0,2025-01-30,1,5.880010000000084
0,2025-01-31,1,54.27001999999993
0,2025-02-03,0,-1
0,2025-02-04,0,-1
0,2025-02-05,0,-1
0,2025-02-06,1,11.630010000000084
0,2025-02-07,0,-1
0,2025-02-10,1,3.0699500000000626
0,2025-02-11,1,22.599969999999985
0,2025-02-12,1,2.320069999999987
0,2025-02-13,1,15.029909999999973
0,2025-02-14,1,5.4000200000000405
0,2025-02-18,0,-1
0,2025-02-19,1,9.310060000000021
0,2025-02-20,1,63.989990000000034
0,2025-02-21,1,8.780030000000124
0,2025-02-24,1,15.220090000000027
0,2025-02-25,1,3.0500500000000557
0,2025-02-26,1,13.09997999999996
0,2025-02-27,0,-1
0,2025-02-28,0,-1
0,2025-03-03,0,-1
0,2025-03-04,1,18.809940000000097
0,2025-03-05,1,6.020019999999931
0,2025-03-06,1,12.700070000000096
0,2025-03-07,1,6.469970000000103
0,2025-03-10,1,43.09997999999996
0,2025-03-11,1,18.40002000000004
0,2025-03-12,1,2.160039999999981
0,2025-03-13,0,-1
0,2025-03-14,1,8.329950000000053
0,2025-03-17,1,4.16991999999982
0,2025-03-18,1,3.890010000000075
0,2025-03-19,1,2.5500499999998283
0,2025-03-20,1,40.049929999999904
0,2025-03-21,0,-1
0,2025-03-24,1,12.419920000000047
0,2025-03-25,0,-1
0,2025-03-26,1,0.3400899999999183
0,2025-03-27,0,-1
0,2025-03-28,1,6.410030000000006
0,2025-03-31,1,15.579960000000028
0,2025-04-01,1,2.869989999999916
0,2025-04-02,0,-1
0,2025-04-03,0,-1
0,2025-04-04,1,53.719969999999876
0,2025-04-07,0,-1
0,2025-04-08,1,6.909910000000082
0,2025-04-09,0,-1
0,2025-04-10,0,-1
0,2025-04-11,0,-1
0,2025-04-14,1,3.7598900000000413
0,2025-04-15,1,23.640019999999822
0,2025-04-16,1,26.64002000000005
