,date,accuracy,potential
0,2024-11-11,1,0.11004000000002634
0,2024-11-12,1,1.880010000000084
0,2024-11-13,1,1.8999699999999393
0,2024-11-14,1,5.590029999999956
0,2024-11-15,1,2.1200000000000045
0,2024-11-18,0,-1.0
0,2024-11-19,1,3.0999700000000985
0,2024-11-20,1,1.3799400000000333
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,17.65998000000002
0,2024-11-27,1,0.5399800000000141
0,2024-11-29,1,9.289980000000014
0,2024-12-02,1,1.109990000000039
0,2024-12-03,1,5.25
0,2024-12-04,1,6.8799999999999955
0,2024-12-05,1,1.5399800000000141
0,2024-12-06,1,3.199950000000058
0,2024-12-09,1,5.61999000000003
0,2024-12-10,1,3.7400499999999965
0,2024-12-11,1,2.1500199999999268
0,2024-12-12,1,2.130000000000109
0,2024-12-13,1,0.12000000000000455
0,2024-12-16,1,5.25
0,2024-12-17,1,1.7399900000000343
0,2024-12-18,0,-1.0
0,2024-12-19,1,7.309999999999945
0,2024-12-20,0,-1.0
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-26,1,2.5600600000000213
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,1,1.479979999999955
0,2025-01-03,1,4.390010000000075
0,2025-01-06,1,2.140019999999936
0,2025-01-07,1,5.240000000000009
0,2025-01-08,0,-1.0
0,2025-01-10,1,2.0200199999999313
0,2025-01-13,1,4.939999999999941
0,2025-01-14,1,12.649959999999965
0,2025-01-15,0,-1.0
0,2025-01-16,1,8.049990000000093
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,6.520020000000045
0,2025-01-23,1,2.660039999999981
0,2025-01-24,1,7.090029999999956
0,2025-01-27,1,7.270020000000045
0,2025-01-28,1,3.8200100000000248
0,2025-01-29,0,-1.0
0,2025-01-30,1,0.7199699999999893
0,2025-01-31,1,20.709960000000024
0,2025-02-03,1,2.050049999999942
0,2025-02-04,0,-1.0
0,2025-02-05,1,3.5
0,2025-02-06,1,1.979979999999955
0,2025-02-07,1,3.960019999999986
0,2025-02-10,1,5.9000200000000405
0,2025-02-11,0,-1.0
0,2025-02-12,1,4.219969999999989
0,2025-02-13,1,6.370059999999967
0,2025-02-14,1,6.150030000000015
0,2025-02-18,1,3.410030000000006
0,2025-02-19,0,-1.0
0,2025-02-20,1,3.460019999999986
0,2025-02-21,1,27.66998000000001
0,2025-02-24,1,7.460019999999986
0,2025-02-25,1,1.2399900000000343
0,2025-02-26,0,-1.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,7.16998000000001
0,2025-03-03,1,23.16998000000001
0,2025-03-04,1,4.429989999999975
0,2025-03-05,1,11.830010000000016
0,2025-03-06,0,-1.0
0,2025-03-07,1,3.5799600000000282
0,2025-03-10,1,7.159980000000019
0,2025-03-11,1,3.710019999999986
0,2025-03-12,1,0.6599800000000187
0,2025-03-13,1,13.65002000000004
0,2025-03-14,1,10.280020000000036
0,2025-03-17,1,7.160039999999981
0,2025-03-18,1,2.9199800000000096
0,2025-03-19,1,6.400030000000015
0,2025-03-20,1,10.25
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,11.779970000000048
0,2025-03-26,1,6.719969999999989
0,2025-03-27,1,15.150029999999902
0,2025-03-28,1,1.8200100000000248
0,2025-03-31,1,6.9200400000000855
0,2025-04-01,1,3.6400200000000495
0,2025-04-02,0,-1.0
0,2025-04-03,1,43.33001999999999
0,2025-04-04,1,41.41998000000001
0,2025-04-07,1,37.75
0,2025-04-08,1,10.470030000000065
0,2025-04-09,0,-1.0
0,2025-04-10,1,3.8200100000000248
0,2025-04-11,1,18.56000000000006
0,2025-04-14,1,10.25
0,2025-04-15,1,9.159980000000019
0,2025-04-16,1,1.8099899999999707
