,date,accuracy,potential
0,2024-11-11,1,34.760009999999966
0,2024-11-12,1,22.83008000000018
0,2024-11-13,1,18.829829999999674
0,2024-11-14,1,4.459960000000137
0,2024-11-15,1,11.239990000000034
0,2024-11-18,1,9.700200000000223
0,2024-11-19,1,16.560059999999794
0,2024-11-20,1,14.59985000000006
0,2024-11-21,1,2.2800300000003517
0,2024-11-22,1,39.33008000000018
0,2024-11-25,1,30.420170000000326
0,2024-11-26,1,33.05980999999974
0,2024-11-27,1,19.400150000000394
0,2024-11-29,1,37.36011000000008
0,2024-12-02,1,4.959959999999683
0,2024-12-03,1,45.87012000000004
0,2024-12-04,1,6.820070000000214
0,2024-12-05,1,0.9599599999996826
0,2024-12-06,1,16.510009999999966
0,2024-12-09,1,34.80005000000028
0,2024-12-10,1,17.780029999999897
0,2024-12-11,1,7.080079999999725
0,2024-12-12,1,27.070070000000214
0,2024-12-13,0,-1.0
0,2024-12-16,1,36.0
0,2024-12-17,0,-1.0
0,2024-12-18,1,5.960210000000188
0,2024-12-19,1,6.450200000000223
0,2024-12-20,1,37.54004000000032
0,2024-12-23,1,17.419920000000275
0,2024-12-24,1,12.469970000000103
0,2024-12-26,1,18.550050000000283
0,2024-12-27,0,-1.0
0,2024-12-30,1,18.609860000000026
0,2024-12-31,1,0.91991999999982
0,2025-01-02,1,13.16991999999982
0,2025-01-03,1,55.39989999999989
0,2025-01-06,1,22.64989999999989
0,2025-01-07,1,34.510009999999966
0,2025-01-08,1,21.520020000000386
0,2025-01-10,1,38.37012000000004
0,2025-01-13,0,-1.0
0,2025-01-14,1,49.94019000000026
0,2025-01-15,1,6.57006999999976
0,2025-01-16,1,7.84985000000006
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,7.110110000000077
0,2025-01-23,1,8.48023000000012
0,2025-01-24,1,93.46996999999965
0,2025-01-27,1,45.13989000000038
0,2025-01-28,1,30.149900000000343
0,2025-01-29,0,-1.0
0,2025-01-30,1,12.479980000000069
0,2025-01-31,1,22.75
0,2025-02-03,0,-1.0
0,2025-02-04,1,5.840090000000146
0,2025-02-05,1,8.75
0,2025-02-06,1,33.760009999999966
0,2025-02-07,1,1.370119999999588
0,2025-02-10,0,-1.0
0,2025-02-11,1,4.930180000000291
0,2025-02-12,1,11.570070000000214
0,2025-02-13,1,14.550049999999828
0,2025-02-14,1,24.28978999999981
0,2025-02-18,1,14.880130000000008
0,2025-02-19,1,19.760009999999966
0,2025-02-20,1,34.48998999999958
0,2025-02-21,1,34.55005000000028
0,2025-02-24,1,74.84009000000015
0,2025-02-25,0,-1.0
0,2025-02-26,1,39.59008999999969
0,2025-02-27,0,-1.0
0,2025-02-28,1,50.109860000000026
0,2025-03-03,1,18.760009999999966
0,2025-03-04,1,34.90014999999994
0,2025-03-05,1,7.359860000000026
0,2025-03-06,0,-1.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,63.810059999999794
0,2025-03-11,0,-1.0
0,2025-03-12,1,47.06982000000016
0,2025-03-13,1,30.759759999999915
0,2025-03-14,1,21.25
0,2025-03-17,1,20.14989999999989
0,2025-03-18,0,-1.0
0,2025-03-19,1,5.879879999999957
0,2025-03-20,1,13.120120000000043
0,2025-03-21,1,16.890139999999974
0,2025-03-24,1,47.770020000000386
0,2025-03-25,1,43.59985000000006
0,2025-03-26,1,53.7800299999999
0,2025-03-27,1,59.88988999999992
0,2025-03-28,0,-1.0
0,2025-03-31,1,0.09009000000014566
0,2025-04-01,1,22.690190000000257
0,2025-04-02,1,147.89013999999997
0,2025-04-03,0,-1.0
0,2025-04-04,1,98.71996999999965
0,2025-04-07,1,19.219970000000103
0,2025-04-08,1,57.820070000000214
0,2025-04-09,1,5.65014999999994
0,2025-04-10,1,15.100100000000111
0,2025-04-11,1,42.96996999999965
0,2025-04-14,1,15.989990000000034
0,2025-04-15,0,-1.0
0,2025-04-16,1,55.39989999999989
