,date,accuracy,potential
0,2024-11-08,1,163.90038999999888
0,2024-11-11,1,106.25
0,2024-11-12,1,13.75
0,2024-11-13,1,103.54882999999973
0,2024-11-14,0,-1.0
0,2024-11-18,1,272.19922000000224
0,2024-11-19,1,24.550779999997758
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,124.70117000000027
0,2024-11-26,1,76.84960999999748
0,2024-11-27,1,166.25
0,2024-11-28,1,106.09961000000112
0,2024-11-29,1,74.34961000000112
0,2024-12-02,1,27.298829999999725
0,2024-12-03,0,-1.0
0,2024-12-04,1,46.75
0,2024-12-05,1,81.40039000000252
0,2024-12-06,1,208.15038999999888
0,2024-12-09,1,63.39843999999721
0,2024-12-10,1,84.54882999999973
0,2024-12-11,0,-1.0
0,2024-12-12,1,219.75
0,2024-12-13,1,79.34960999999748
0,2024-12-16,1,169.80077999999776
0,2024-12-17,1,45.25
0,2024-12-18,0,-1.0
0,2024-12-19,1,78.9492199999986
0,2024-12-20,1,107.3007800000014
0,2024-12-23,0,-1.0
0,2024-12-24,1,56.84961000000112
0,2024-12-26,0,-1.0
0,2024-12-27,1,2.2011700000002747
0,2024-12-30,1,171.0
0,2024-12-31,1,20.699220000002242
0,2025-01-01,1,27.25
0,2025-01-02,1,96.5
0,2025-01-03,1,223.40039000000252
0,2025-01-06,0,-1.0
0,2025-01-07,0,-1.0
0,2025-01-08,1,33.701170000000275
0,2025-01-09,1,53.75
0,2025-01-10,1,192.75
0,2025-01-13,1,113.40038999999888
0,2025-01-14,1,54.298829999999725
0,2025-01-15,1,32.800780000001396
0,2025-01-16,1,78.8007800000014
0,2025-01-17,1,4.650390000002517
0,2025-01-20,1,70.0507800000014
0,2025-01-21,1,35.69922000000224
0,2025-01-22,1,0.8007800000013958
0,2025-01-23,1,91.5
0,2025-01-24,0,-1.0
0,2025-01-27,1,55.5
0,2025-01-28,1,211.94922000000224
0,2025-01-29,1,147.79882999999973
0,2025-01-30,1,28.59961000000112
0,2025-01-31,1,48.048829999999725
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,21.75
0,2025-02-05,1,67.85156000000279
0,2025-02-06,0,-1.0
0,2025-02-07,1,69.39843999999721
0,2025-02-10,1,239.75
0,2025-02-11,1,315.9511700000003
0,2025-02-12,1,83.15038999999888
0,2025-02-13,1,80.40038999999888
0,2025-02-14,1,204.80077999999776
0,2025-02-17,1,158.3984399999972
0,2025-02-18,1,76.09960999999748
0,2025-02-19,1,84.0
0,2025-02-20,1,189.04882999999973
0,2025-02-21,1,212.1015600000028
0,2025-02-24,1,28.550780000001396
0,2025-02-25,1,183.5
0,2025-02-27,0,-1.0
0,2025-02-28,1,45.548829999999725
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,156.8007800000014
0,2025-03-06,1,53.949219999998604
0,2025-03-07,1,161.4492199999986
0,2025-03-10,1,133.19922000000224
0,2025-03-11,0,-1.0
0,2025-03-12,1,33.34961000000112
0,2025-03-13,1,86.25
0,2025-03-17,0,-1.0
0,2025-03-18,1,73.6992199999986
0,2025-03-19,0,-1.0
0,2025-03-20,1,55.15038999999888
0,2025-03-21,1,145.84961000000112
0,2025-03-24,1,111.45117000000027
0,2025-03-25,1,122.25
0,2025-03-26,1,90.5
0,2025-03-27,1,132.59960999999748
0,2025-03-28,1,111.04882999999973
0,2025-04-01,1,175.59961000000112
0,2025-04-02,1,282.1015600000028
0,2025-04-03,1,331.75
0,2025-04-04,0,-1.0
0,2025-04-07,1,301.8496100000011
0,2025-04-08,1,161.6484399999972
0,2025-04-09,1,233.75
0,2025-04-11,0,-1.0
0,2025-04-15,1,58.798829999999725
0,2025-04-16,1,207.4492199999986
