,date,accuracy,potential
0,2024-11-11,1,50.53027000000111
0,2024-11-12,1,221.40917999999874
0,2024-11-13,1,118.29981000000043
0,2024-11-14,1,39.769530000001396
0,2024-11-17,1,28.03027000000111
0,2024-11-18,1,31.49022999999943
0,2024-11-19,1,17.730470000000423
0,2024-11-20,1,3.25
0,2024-11-21,0,-1.0
0,2024-11-24,1,1.5497999999988679
0,2024-11-25,1,97.75977000000057
0,2024-11-26,1,78.45019000000138
0,2024-11-27,1,77.95019999999931
0,2024-11-28,1,108.61913999999888
0,2024-12-01,1,38.54980000000069
0,2024-12-02,0,-1.0
0,2024-12-03,1,10.179680000001099
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-08,1,15.859380000001693
0,2024-12-09,1,97.15038999999888
0,2024-12-10,1,9.879880000000412
0,2024-12-11,0,-1.0
0,2024-12-12,1,55.70996000000014
0,2024-12-15,1,37.399420000001555
0,2024-12-16,1,8.55956999999944
0,2024-12-17,1,74.27051000000029
0,2024-12-18,1,155.92968999999903
0,2024-12-19,1,137.29003999999986
0,2024-12-22,1,16.55957000000126
0,2024-12-23,1,85.50976999999875
0,2024-12-24,1,1.870119999999588
0,2024-12-25,1,25.799809999998615
0,2024-12-26,1,21.959960000000137
0,2024-12-29,0,-1.0
0,2024-12-30,1,39.290030000000115
0,2024-12-31,1,49.99023000000125
0,2025-01-01,0,-1.0
0,2025-01-02,1,22.28027000000111
0,2025-01-05,0,-1.0
0,2025-01-06,1,33.0
0,2025-01-07,1,94.85058000000026
0,2025-01-08,1,6.129879999998593
0,2025-01-09,1,30.91015999999945
0,2025-01-12,1,58.94042999999874
0,2025-01-13,1,76.6796800000011
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,64.95996000000014
0,2025-01-19,1,8.28027000000111
0,2025-01-20,1,42.21972999999889
0,2025-01-21,1,26.85059000000001
0,2025-01-22,1,73.68065999999999
0,2025-01-23,1,52.68946000000142
0,2025-01-26,1,2.7099599999983184
0,2025-01-27,1,27.06934000000001
0,2025-01-28,0,-1.0
0,2025-01-29,1,61.84961000000112
0,2025-01-30,0,-1.0
0,2025-02-02,1,102.28027999999904
0,2025-02-03,1,0.8906200000001263
0,2025-02-04,1,4.570310000000973
0,2025-02-05,1,121.28027000000111
0,2025-02-06,0,-1.0
0,2025-02-10,1,77.3496099999993
0,2025-02-11,1,41.20996000000014
0,2025-02-12,1,36.9296800000011
0,2025-02-13,1,101.18065999999999
0,2025-02-16,0,-1.0
0,2025-02-17,0,-1.0
0,2025-02-18,1,2.899409999999989
0,2025-02-19,1,5.490229999999428
0,2025-02-20,1,109.2304699999986
0,2025-02-24,1,99.43065999999999
0,2025-02-25,1,35.61913999999888
0,2025-02-26,0,-1.0
0,2025-02-27,1,5.979489999999714
0,2025-03-02,1,172.29003999999986
0,2025-03-03,1,69.96972999999889
0,2025-03-04,1,73.75
0,2025-03-05,1,202.11035000000084
0,2025-03-06,1,66.41992000000027
0,2025-03-09,1,45.23047000000042
0,2025-03-10,1,192.30956999999944
0,2025-03-11,1,39.89940999999999
0,2025-03-12,1,40.97069999999985
0,2025-03-13,1,19.05956999999944
0,2025-03-16,0,-1.0
0,2025-03-17,1,102.21973000000071
0,2025-03-18,1,1.0293000000001484
0,2025-03-19,1,42.050780000001396
0,2025-03-20,1,42.10059000000001
0,2025-03-23,1,34.0
0,2025-03-24,1,105.23926000000029
0,2025-03-25,1,8.97950000000128
0,2025-03-26,0,-1.0
0,2025-03-27,1,229.92969000000085
0,2025-04-03,1,833.4697299999989
0,2025-04-06,0,-1.0
0,2025-04-07,1,339.9794899999997
0,2025-04-08,1,111.89062999999987
0,2025-04-09,1,472.18066
0,2025-04-10,1,174.4794899999997
0,2025-04-13,1,88.45018999999957
0,2025-04-14,0,-1.0
0,2025-04-15,1,60.03027999999904
0,2025-04-16,1,5.0
