,date,accuracy,potential
0,2024-11-11,1,12.08411000000001
0,2024-11-12,1,17.483889999999974
0,2024-11-13,0,-1.0
0,2024-11-14,1,15.410889999999881
0,2024-11-15,1,20.459100000000035
0,2024-11-18,1,21.292120000000068
0,2024-11-19,1,11.152469999999994
0,2024-11-20,0,-1.0
0,2024-11-21,1,13.616579999999885
0,2024-11-22,1,4.905520000000024
0,2024-11-25,1,5.4877899999999045
0,2024-11-26,0,-1.0
0,2024-11-27,1,11.43432000000007
0,2024-11-29,1,31.745239999999967
0,2024-12-02,1,17.017939999999953
0,2024-12-03,1,42.06932999999981
0,2024-12-04,1,19.237790000000132
0,2024-12-05,1,39.66076999999996
0,2024-12-06,0,-1.0
0,2024-12-09,1,13.270510000000058
0,2024-12-10,1,6.785889999999881
0,2024-12-11,0,-1.0
0,2024-12-12,1,16.53394000000003
0,2024-12-13,0,-1.0
0,2024-12-16,1,25.267700000000104
0,2024-12-17,1,5.675290000000132
0,2024-12-18,1,19.224730000000136
0,2024-12-19,1,4.693109999999933
0,2024-12-20,1,12.45911000000001
0,2024-12-23,1,9.261600000000044
0,2024-12-24,1,4.4277300000001105
0,2024-12-26,1,4.979860000000144
0,2024-12-27,1,4.820429999999988
0,2024-12-30,1,28.917109999999866
0,2024-12-31,0,-1.0
0,2025-01-02,1,20.661619999999857
0,2025-01-03,1,28.439699999999903
0,2025-01-06,0,-1.0
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,55.475580000000036
0,2025-01-13,1,1.0605400000001737
0,2025-01-14,0,-1.0
0,2025-01-15,1,8.49108000000001
0,2025-01-16,1,2.816280000000006
0,2025-01-17,1,25.415770000000066
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,18.43493999999987
0,2025-01-24,1,26.037109999999984
0,2025-01-27,1,10.287849999999935
0,2025-01-28,1,10.708370000000059
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,25.655399999999872
0,2025-02-03,1,9.615970000000061
0,2025-02-04,0,-1.0
0,2025-02-05,1,17.591069999999945
0,2025-02-06,1,0.8125
0,2025-02-07,1,37.58752000000004
0,2025-02-10,1,26.680790000000115
0,2025-02-11,0,-1.0
0,2025-02-12,1,17.83531999999991
0,2025-02-13,0,-1.0
0,2025-02-14,1,20.34997999999996
0,2025-02-18,0,-1.0
0,2025-02-19,1,3.6232899999999972
0,2025-02-20,0,-1.0
0,2025-02-21,1,7.660520000000133
0,2025-02-24,1,19.254270000000133
0,2025-02-25,1,2.5394200000000637
0,2025-02-26,1,32.234989999999925
0,2025-02-27,1,25.471430000000055
0,2025-02-28,1,13.818360000000212
0,2025-03-03,1,50.20507999999995
0,2025-03-04,1,54.833740000000034
0,2025-03-05,1,13.397590000000037
0,2025-03-06,0,-1.0
0,2025-03-07,1,28.25927999999999
0,2025-03-10,1,16.81029999999987
0,2025-03-11,1,8.257200000000012
0,2025-03-12,1,6.779059999999845
0,2025-03-13,1,0.288819999999987
0,2025-03-14,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,17.72034000000008
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.4423799999999574
0,2025-03-27,1,13.26269000000002
0,2025-03-28,1,32.4699700000001
0,2025-03-31,1,22.173340000000053
0,2025-04-01,1,20.40050999999994
0,2025-04-02,1,148.49243
0,2025-04-03,1,153.81200999999987
0,2025-04-04,1,78.82605000000012
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,109.23204999999984
0,2025-04-10,1,22.249509999999873
0,2025-04-11,0,-1.0
0,2025-04-14,1,18.391600000000153
0,2025-04-15,1,40.131470000000036
0,2025-04-16,1,48.48852000000011
