,date,accuracy,potential
0,2024-11-08,1,166.45898999999918
0,2024-11-11,1,163.7695300000014
0,2024-11-12,1,55.69140000000334
0,2024-11-13,1,80.3711000000003
0,2024-11-14,1,168.67969000000085
0,2024-11-18,1,355.7597600000008
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,111.20898999999918
0,2024-11-26,1,153.83984000000055
0,2024-11-27,1,202.91992000000027
0,2024-11-28,0,-1.0
0,2024-11-29,1,35.0
0,2024-12-02,1,217.13086000000112
0,2024-12-03,0,-1.0
0,2024-12-04,1,141.84961000000112
0,2024-12-05,1,7.929689999997208
0,2024-12-06,1,117.87890999999945
0,2024-12-09,1,56.480469999998604
0,2024-12-10,1,51.18945000000167
0,2024-12-11,1,4.548829999999725
0,2024-12-12,1,26.43945000000167
0,2024-12-13,1,71.95897999999943
0,2024-12-16,1,145.3593800000017
0,2024-12-17,0,-1.0
0,2024-12-18,0,-1.0
0,2024-12-19,1,117.78906000000279
0,2024-12-20,1,100.0
0,2024-12-23,1,149.91992000000027
0,2024-12-24,1,178.20116999999664
0,2024-12-26,1,34.2890699999989
0,2024-12-27,0,-1.0
0,2024-12-30,1,16.429690000000846
0,2024-12-31,1,29.94140000000334
0,2025-01-01,1,40.949219999998604
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,252.5
0,2025-01-07,1,32.361329999999725
0,2025-01-08,1,169.73827999999776
0,2025-01-09,0,-1.0
0,2025-01-10,1,365.03905999999915
0,2025-01-13,1,461.16015999999945
0,2025-01-14,1,30.77929999999833
0,2025-01-15,1,389.17969000000085
0,2025-01-16,1,189.84961000000112
0,2025-01-17,1,192.88867000000027
0,2025-01-20,1,249.0195300000014
0,2025-01-21,0,-1.0
0,2025-01-22,1,141.27929999999833
0,2025-01-23,1,162.8906300000017
0,2025-01-24,0,-1.0
0,2025-01-27,1,334.97069999999803
0,2025-01-28,1,245.86914000000252
0,2025-01-29,1,253.53125
0,2025-01-30,1,214.28905999999915
0,2025-01-31,1,31.58984000000055
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,103.61913999999888
0,2025-02-06,0,-1.0
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,1,17.509769999996934
0,2025-02-12,1,201.47071000000142
0,2025-02-13,1,269.22069999999803
0,2025-02-14,1,62.449219999998604
0,2025-02-17,0,-1.0
0,2025-02-18,1,68.17969000000085
0,2025-02-19,1,182.06054999999833
0,2025-02-20,1,150.3398500000003
0,2025-02-21,0,-1.0
0,2025-02-24,1,66.28905999999915
0,2025-02-25,1,31.130859999997483
0,2025-02-27,0,-1.0
0,2025-02-28,1,88.6503900000007
0,2025-03-03,1,244.36035000000084
0,2025-03-04,1,371.36035000000084
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,172.92969000000085
0,2025-03-10,1,48.708990000002814
0,2025-03-11,1,137.36131999999998
0,2025-03-12,1,199.40038999999888
0,2025-03-13,1,31.429690000000846
0,2025-03-17,1,227.66992000000027
0,2025-03-18,1,230.07032000000254
0,2025-03-19,1,191.83006999999998
0,2025-03-20,0,-1.0
0,2025-03-21,1,363.31055000000197
0,2025-03-24,1,48.701170000000275
0,2025-03-25,1,182.20117000000027
0,2025-03-26,1,206.79101999999693
0,2025-03-27,0,-1.0
0,2025-03-28,1,203.1796899999972
0,2025-04-01,0,-1.0
0,2025-04-02,1,54.46093999999721
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,295.1386700000003
0,2025-04-11,1,350.1699200000003
0,2025-04-15,1,114.49023000000307
0,2025-04-16,1,56.66991999999664
