,date,accuracy,potential
0,2024-11-08,1,195.3984399999972
0,2024-11-11,1,158.30078000000503
0,2024-11-12,1,222.44921999999497
0,2024-11-13,1,206.59765999999945
0,2024-11-14,1,516.3476599999995
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,47.75
0,2024-11-22,1,1042.25
0,2024-11-25,1,321.75
0,2024-11-26,1,54.65234000000055
0,2024-11-27,0,-1.0
0,2024-11-28,1,347.0
0,2024-11-29,1,178.45312000000558
0,2024-12-02,1,269.3515600000028
0,2024-12-03,1,145.1484399999972
0,2024-12-04,1,355.55078000000503
0,2024-12-05,1,6.148440000004484
0,2024-12-06,1,129.79687999999442
0,2024-12-09,0,-1.0
0,2024-12-10,1,147.55077999999776
0,2024-12-11,0,-1.0
0,2024-12-12,1,597.8476599999995
0,2024-12-13,0,-1.0
0,2024-12-16,1,448.6484399999972
0,2024-12-17,1,245.84765999999945
0,2024-12-18,0,-1.0
0,2024-12-19,1,151.0
0,2024-12-20,1,323.3984399999972
0,2024-12-23,1,95.34765999999945
0,2024-12-24,1,195.1484399999972
0,2024-12-26,1,147.5
0,2024-12-27,1,24.699220000002242
0,2024-12-30,0,-1.0
0,2024-12-31,1,95.69921999999497
0,2025-01-01,1,142.6484399999972
0,2025-01-02,1,352.65234000000055
0,2025-01-03,1,577.25
0,2025-01-06,1,603.75
0,2025-01-07,1,158.09765999999945
0,2025-01-08,1,288.05077999999776
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,777.3476599999958
0,2025-01-14,1,469.30077999999776
0,2025-01-15,1,521.6484400000045
0,2025-01-16,1,96.64843999999721
0,2025-01-17,1,122.60156000000279
0,2025-01-20,1,98.64843999999721
0,2025-01-21,0,-1.0
0,2025-01-22,1,291.6484399999972
0,2025-01-23,1,398.25
0,2025-01-24,0,-1.0
0,2025-01-27,1,852.8984399999972
0,2025-01-28,0,-1.0
0,2025-01-29,1,554.5019500000017
0,2025-01-30,1,51.0
0,2025-01-31,1,293.30078000000503
0,2025-02-01,1,1152.548829999996
0,2025-02-03,0,-1.0
0,2025-02-04,1,550.1992200000022
0,2025-02-05,1,78.30078000000503
0,2025-02-06,1,465.0996100000011
0,2025-02-07,1,614.9511699999966
0,2025-02-10,1,517.4003900000025
0,2025-02-11,0,-1.0
0,2025-02-12,1,316.4492199999986
0,2025-02-13,1,536.5
0,2025-02-14,1,135.65038999999888
0,2025-02-17,0,-1.0
0,2025-02-18,1,501.8515600000028
0,2025-02-19,1,309.3496099999975
0,2025-02-20,1,259.5
0,2025-02-21,1,452.3496100000011
0,2025-02-24,1,141.25
0,2025-02-25,1,353.8496100000011
0,2025-02-27,1,519.0
0,2025-02-28,1,119.5507800000014
0,2025-03-03,1,166.4492199999986
0,2025-03-04,1,716.0996100000011
0,2025-03-05,1,452.9492199999986
0,2025-03-06,1,309.9511700000003
0,2025-03-07,0,-1.0
0,2025-03-10,1,346.94922000000224
0,2025-03-11,1,296.5
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,393.8515600000028
0,2025-03-19,1,244.74804999999833
0,2025-03-20,1,423.75
0,2025-03-21,0,-1.0
0,2025-03-24,1,147.45312000000558
0,2025-03-25,0,-1.0
0,2025-03-26,1,184.5
0,2025-03-27,1,377.8984399999972
0,2025-03-28,1,230.90234000000055
0,2025-04-01,0,-1.0
0,2025-04-02,1,95.75
0,2025-04-03,0,-1.0
0,2025-04-04,1,1950.0996099999975
0,2025-04-07,1,635.9003900000025
0,2025-04-08,1,461.1503899999989
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,85.0
0,2025-04-16,1,84.80078000000503
