,date,accuracy,potential
0,2024-11-08,1,285.2968799999944
0,2024-11-11,1,27.300779999997758
0,2024-11-12,0,-1.0
0,2024-11-13,1,83.69922000000224
0,2024-11-14,1,15.101560000002792
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,49.25
0,2024-11-22,0,-1.0
0,2024-11-25,1,306.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,125.90234000000055
0,2024-11-28,1,211.25
0,2024-11-29,1,52.75
0,2024-12-02,0,-1.0
0,2024-12-03,1,90.25
0,2024-12-04,1,244.1484399999972
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,39.89843999999721
0,2024-12-10,1,21.050780000005034
0,2024-12-11,1,82.54687999999442
0,2024-12-12,1,3.050779999997758
0,2024-12-13,1,274.69921999999497
0,2024-12-16,1,480.7031200000056
0,2024-12-17,1,160.19922000000224
0,2024-12-18,0,-1.0
0,2024-12-19,1,130.20312000000558
0,2024-12-20,1,359.65234000000055
0,2024-12-23,1,121.85155999999552
0,2024-12-24,1,149.70312000000558
0,2024-12-26,1,246.05078000000503
0,2024-12-27,1,111.84765999999945
0,2024-12-30,1,227.75
0,2024-12-31,1,60.10156000000279
0,2025-01-01,1,195.0
0,2025-01-02,1,227.05077999999776
0,2025-01-03,0,-1.0
0,2025-01-06,1,264.7031200000056
0,2025-01-07,1,68.54687999999442
0,2025-01-08,1,138.80077999999776
0,2025-01-09,1,546.8515600000028
0,2025-01-10,0,-1.0
0,2025-01-13,1,51.90234000000055
0,2025-01-14,0,-1.0
0,2025-01-15,1,588.949219999995
0,2025-01-16,1,133.80078000000503
0,2025-01-17,1,381.1015600000028
0,2025-01-20,1,119.25
0,2025-01-21,1,371.05078000000503
0,2025-01-22,1,646.0
0,2025-01-23,1,131.80077999999776
0,2025-01-24,1,388.8515600000028
0,2025-01-27,1,236.5
0,2025-01-28,1,601.75
0,2025-01-29,0,-1.0
0,2025-01-30,1,188.6484399999972
0,2025-01-31,1,212.89844000000448
0,2025-02-01,1,178.55077999999776
0,2025-02-03,1,492.0
0,2025-02-04,1,547.6484400000045
0,2025-02-05,0,-1.0
0,2025-02-06,1,1095.0
0,2025-02-07,1,67.90234000000055
0,2025-02-10,1,208.8984399999972
0,2025-02-11,1,688.199219999995
0,2025-02-12,1,276.94922000000224
0,2025-02-13,1,651.3984400000045
0,2025-02-14,1,0.19922000000224216
0,2025-02-17,1,308.3984399999972
0,2025-02-18,1,172.5
0,2025-02-19,1,429.7968799999944
0,2025-02-20,1,378.75
0,2025-02-21,1,224.8984399999972
0,2025-02-24,1,104.64843999999721
0,2025-02-25,1,399.55078000000503
0,2025-02-27,1,788.4492200000022
0,2025-02-28,1,55.45312000000558
0,2025-03-03,1,549.1015600000028
0,2025-03-04,0,-1.0
0,2025-03-05,1,353.44921999999497
0,2025-03-06,1,338.15234000000055
0,2025-03-07,1,222.69922000000224
0,2025-03-10,1,254.34765999999945
0,2025-03-11,0,-1.0
0,2025-03-12,1,246.75
0,2025-03-13,1,276.05078000000503
0,2025-03-17,0,-1.0
0,2025-03-18,1,230.0
0,2025-03-19,1,429.1015599999955
0,2025-03-20,0,-1.0
0,2025-03-21,1,18.15234000000055
0,2025-03-24,1,298.75
0,2025-03-25,1,179.55078000000503
0,2025-03-26,1,243.30077999999776
0,2025-03-27,1,718.4023400000005
0,2025-03-28,1,399.59765999999945
0,2025-04-01,1,231.75
0,2025-04-02,1,345.5
0,2025-04-03,1,406.30077999999776
0,2025-04-04,1,1620.800780000005
0,2025-04-07,0,-1.0
0,2025-04-08,1,811.800780000005
0,2025-04-09,0,-1.0
0,2025-04-11,1,102.0
0,2025-04-15,1,89.59765999999945
0,2025-04-16,1,328.8984399999972
