,date,accuracy,potential
0,2024-11-08,1,65.05077999999776
0,2024-11-11,1,20.300779999997758
0,2024-11-12,1,151.0
0,2024-11-13,1,159.5
0,2024-11-14,0,-1.0
0,2024-11-18,0,-1.0
0,2024-11-19,1,568.25
0,2024-11-21,0,-1.0
0,2024-11-22,1,508.40234000000055
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-28,1,286.6484399999972
0,2024-11-29,1,249.54687999999442
0,2024-12-02,1,85.15234000000055
0,2024-12-03,1,49.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,225.80078000000503
0,2024-12-06,1,116.35156000000279
0,2024-12-09,1,505.1015600000028
0,2024-12-10,1,129.40234000000055
0,2024-12-11,1,722.25
0,2024-12-12,1,591.4023400000005
0,2024-12-13,1,222.65234000000055
0,2024-12-16,1,303.3515600000028
0,2024-12-17,0,-1.0
0,2024-12-18,1,1058.449219999995
0,2024-12-19,1,343.65234000000055
0,2024-12-20,1,177.25
0,2024-12-23,0,-1.0
0,2024-12-24,1,181.35155999999552
0,2024-12-26,1,118.89843999999721
0,2024-12-27,1,434.8515599999955
0,2024-12-30,0,-1.0
0,2024-12-31,1,146.1484399999972
0,2025-01-01,1,471.75
0,2025-01-02,1,592.25
0,2025-01-03,0,-1.0
0,2025-01-06,1,225.35155999999552
0,2025-01-07,1,580.7031200000056
0,2025-01-08,1,228.80077999999776
0,2025-01-09,1,1107.949219999995
0,2025-01-10,1,396.6484399999972
0,2025-01-13,0,-1.0
0,2025-01-14,1,121.79687999999442
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,306.94922000000224
0,2025-01-20,1,178.09765999999945
0,2025-01-21,1,560.0468799999944
0,2025-01-22,1,1021.9531200000056
0,2025-01-23,1,93.39844000000448
0,2025-01-24,1,1066.8476599999995
0,2025-01-27,1,137.05078000000503
0,2025-01-28,1,847.6015600000028
0,2025-01-29,1,294.7968799999944
0,2025-01-30,0,-1.0
0,2025-01-31,1,180.94922000000224
0,2025-02-01,1,21.800779999997758
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,0,-1.0
0,2025-02-06,1,388.90234000000055
0,2025-02-07,1,289.0
0,2025-02-10,1,118.5
0,2025-02-11,1,279.19922000000224
0,2025-02-12,1,371.75
0,2025-02-13,1,226.30077999999776
0,2025-02-14,1,645.6015600000028
0,2025-02-17,0,-1.0
0,2025-02-18,1,614.3515600000028
0,2025-02-19,1,167.1484399999972
0,2025-02-20,1,253.19921999999497
0,2025-02-21,1,1027.8515600000028
0,2025-02-24,1,227.05078000000503
0,2025-02-25,1,220.75
0,2025-02-27,1,1440.25
0,2025-02-28,0,-1.0
0,2025-03-03,1,850.3007799999978
0,2025-03-04,0,-1.0
0,2025-03-05,1,64.09765999999945
0,2025-03-06,1,333.5
0,2025-03-07,1,120.44922000000224
0,2025-03-10,1,717.6523400000005
0,2025-03-11,0,-1.0
0,2025-03-12,1,105.39844000000448
0,2025-03-13,1,248.1484399999972
0,2025-03-17,1,92.44922000000224
0,2025-03-18,0,-1.0
0,2025-03-19,1,834.2031200000056
0,2025-03-20,1,788.8007799999978
0,2025-03-21,1,174.25
0,2025-03-24,1,835.75
0,2025-03-25,0,-1.0
0,2025-03-26,1,322.15234000000055
0,2025-03-27,0,-1.0
0,2025-03-28,1,796.0
0,2025-04-01,1,34.64843999999721
0,2025-04-02,1,1296.6523400000005
0,2025-04-03,1,1079.2031200000056
0,2025-04-04,1,2653.849610000001
0,2025-04-07,0,-1.0
0,2025-04-08,1,1019.0488299999961
0,2025-04-09,0,-1.0
0,2025-04-11,1,541.75
0,2025-04-15,1,337.2031200000056
0,2025-04-16,1,815.5507800000014
