,date,accuracy,potential
0,2024-11-08,1,11.209960000000137
0,2024-11-11,1,0.969970000000103
0,2024-11-12,0,-1.0
0,2024-11-13,1,10.979980000000069
0,2024-11-14,0,-1.0
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,1.70995999999991
0,2024-11-26,1,5.230099999999993
0,2024-11-27,1,8.669920000000047
0,2024-11-28,1,3.9599699999998847
0,2024-11-29,1,7.489990000000034
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,5.589969999999994
0,2024-12-05,1,10.030029999999897
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,1.5799600000000282
0,2024-12-11,1,0.48999000000003434
0,2024-12-12,1,29.800050000000056
0,2024-12-13,1,2.4000200000000405
0,2024-12-16,1,15.110110000000077
0,2024-12-17,1,6.5999799999999595
0,2024-12-18,0,-1.0
0,2024-12-19,1,11.53002000000015
0,2024-12-20,1,10.150030000000015
0,2024-12-23,1,4.710080000000062
0,2024-12-24,1,9.260009999999966
0,2024-12-26,0,-1.0
0,2024-12-27,1,5.920039999999972
0,2024-12-30,0,-1.0
0,2024-12-31,1,3.109989999999925
0,2025-01-01,0,-1.0
0,2025-01-02,1,1.2800200000001496
0,2025-01-03,1,7.410030000000006
0,2025-01-06,1,10.720090000000027
0,2025-01-07,1,13.020019999999931
0,2025-01-08,1,0.5799600000000282
0,2025-01-09,0,-1.0
0,2025-01-10,1,18.380009999999857
0,2025-01-13,1,18.35997999999995
0,2025-01-14,1,3.099970000000212
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,5.6500200000000405
0,2025-01-20,1,17.60997999999995
0,2025-01-21,1,2.1700399999999718
0,2025-01-22,1,5.5999799999999595
0,2025-01-23,1,12.799929999999904
0,2025-01-24,0,-1.0
0,2025-01-27,1,5.130000000000109
0,2025-01-28,1,17.109980000000178
0,2025-01-29,0,-1.0
0,2025-01-30,1,8.59997999999996
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,1,13.61999999999989
0,2025-02-04,0,-1.0
0,2025-02-05,1,4.390010000000075
0,2025-02-06,1,2.5399199999999382
0,2025-02-07,1,18.989990000000034
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,2.010010000000193
0,2025-02-13,1,7.040039999999863
0,2025-02-14,1,4.089969999999994
0,2025-02-17,1,11.810050000000047
0,2025-02-18,1,5.280029999999897
0,2025-02-19,1,2.0500499999998283
0,2025-02-20,1,10.10008999999991
0,2025-02-21,1,17.739990000000034
0,2025-02-24,1,8.950070000000096
0,2025-02-25,1,19.449949999999944
0,2025-02-27,0,-1.0
0,2025-02-28,1,17.109980000000178
0,2025-03-03,1,2.3900200000000495
0,2025-03-04,1,6.8800099999998565
0,2025-03-05,0,-1.0
0,2025-03-06,1,7.5
0,2025-03-07,1,5.579960000000028
0,2025-03-10,1,20.22998000000007
0,2025-03-11,1,3.2100799999998344
0,2025-03-12,1,4.649899999999889
0,2025-03-13,1,18.37000000000012
0,2025-03-17,1,15.44006000000013
0,2025-03-18,0,-1.0
0,2025-03-19,1,10.469970000000103
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,8.19006000000013
0,2025-03-25,1,11.460080000000062
0,2025-03-26,1,7.490109999999959
0,2025-03-27,1,1.969970000000103
0,2025-03-28,1,3.6999499999999443
0,2025-04-01,1,5.829960000000028
0,2025-04-02,1,7.410030000000006
0,2025-04-03,1,20.52001999999993
0,2025-04-04,1,68.79003999999986
0,2025-04-07,1,28.640010000000075
0,2025-04-08,1,20.050050000000056
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,9.560060000000021
0,2025-04-16,1,8.229980000000069
