,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,2.8593800000016927
0,2024-11-13,1,23.30859000000055
0,2024-11-14,1,42.451170000000275
0,2024-11-15,1,93.6992199999986
0,2024-11-18,1,192.15039000000252
0,2024-11-19,1,53.539059999999154
0,2024-11-20,0,-1
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,1,191.95898999999918
0,2024-11-26,1,55.240239999999176
0,2024-11-27,1,117.0507800000014
0,2024-11-29,1,198.94922000000224
0,2024-12-02,1,323.31054999999833
0,2024-12-03,1,106.4609300000011
0,2024-12-04,1,87.81054999999833
0,2024-12-05,1,25.169920000000275
0,2024-12-06,1,92.14063000000169
0,2024-12-09,1,92.16991999999664
0,2024-12-10,1,105.82030999999915
0,2024-12-11,1,14.960929999997461
0,2024-12-12,1,107.3398500000003
0,2024-12-13,1,81.42968999999721
0,2024-12-16,0,-1
0,2024-12-17,1,83.96875
0,2024-12-18,1,200.70019000000138
0,2024-12-19,1,170.15038999999888
0,2024-12-20,1,102.70996000000014
0,2024-12-23,1,50.41016000000127
0,2024-12-24,1,101.65917999999874
0,2024-12-26,1,100.95996000000014
0,2024-12-27,1,289.79003999999986
0,2024-12-30,0,-1
0,2024-12-31,1,14.299799999998868
0,2025-01-02,1,122.23045999999886
0,2025-01-03,0,-1
0,2025-01-06,1,123.06055000000015
0,2025-01-07,0,-1
0,2025-01-08,1,165.68944999999985
0,2025-01-10,1,72.36035000000084
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,45.65038999999888
0,2025-01-16,1,177.06835999999748
0,2025-01-17,0,-1
0,2025-01-21,0,-1
0,2025-01-22,0,-1
0,2025-01-23,0,-1
0,2025-01-24,1,167.2695300000014
0,2025-01-27,0,-1
0,2025-01-28,0,-1
0,2025-01-29,0,-1
0,2025-01-30,1,67.08007999999973
0,2025-01-31,0,-1
0,2025-02-03,0,-1
0,2025-02-04,0,-1
0,2025-02-05,1,195.07031000000097
0,2025-02-06,1,45.760739999999714
0,2025-02-07,0,-1
0,2025-02-10,1,79.50098000000071
0,2025-02-11,0,-1
0,2025-02-12,1,97.11913999999888
0,2025-02-13,0,-1
0,2025-02-14,1,154.23047000000224
0,2025-02-18,1,246.4101499999997
0,2025-02-19,1,158.5195300000014
0,2025-02-20,1,610.109370000002
0,2025-02-21,1,45.62987999999859
0,2025-02-24,1,124.83984999999848
0,2025-02-25,1,214.91016000000127
0,2025-02-26,1,49.84961000000112
0,2025-02-27,1,238.86035000000084
0,2025-02-28,1,10.070310000000973
0,2025-03-03,0,-1
0,2025-03-04,1,150.17090000000098
0,2025-03-05,1,168.35937000000013
0,2025-03-06,1,99.31055000000015
0,2025-03-07,0,-1
0,2025-03-10,1,17.879880000000412
0,2025-03-11,1,254.79003999999986
0,2025-03-12,1,70.05957000000126
0,2025-03-13,1,131.57030999999915
0,2025-03-14,1,47.54979999999887
0,2025-03-17,1,196.25976999999875
0,2025-03-18,1,70.75976000000082
0,2025-03-19,1,132.8398500000003
0,2025-03-20,1,384.66015999999945
0,2025-03-21,1,310.54979999999887
0,2025-03-24,1,71.87011999999959
0,2025-03-25,1,100.92968999999903
0,2025-03-26,1,31.830079999999725
0,2025-03-27,0,-1
0,2025-03-28,1,26.240240000000995
0,2025-03-31,1,235.52930000000015
0,2025-04-01,1,135.74023999999918
0,2025-04-02,1,1139.2597699999988
0,2025-04-03,0,-1
0,2025-04-04,1,427.1298800000004
0,2025-04-07,1,398.0302700000011
0,2025-04-08,1,132.45996000000014
0,2025-04-09,0,-1
0,2025-04-10,0,-1
0,2025-04-11,0,-1
0,2025-04-14,1,24.65038999999888
0,2025-04-15,0,-1
0,2025-04-16,1,275.4003900000007
