,date,accuracy,potential
0,2024-11-11,1,51.20019999999931
0,2024-11-12,1,42.93994999999995
0,2024-11-13,1,33.08984000000055
0,2024-11-14,1,35.78027999999995
0,2024-11-15,0,-1.0
0,2024-11-18,1,63.610349999999926
0,2024-11-19,1,19.98974999999973
0,2024-11-20,0,-1.0
0,2024-11-21,1,27.41016000000036
0,2024-11-22,1,112.60010000000057
0,2024-11-25,0,-1.0
0,2024-11-26,1,44.39014000000043
0,2024-11-27,1,51.350100000000566
0,2024-11-29,1,57.169919999999365
0,2024-12-02,1,30.64013999999952
0,2024-12-03,1,11.560059999999794
0,2024-12-04,1,10.719720000000052
0,2024-12-05,1,23.120120000000497
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,42.62011999999959
0,2024-12-11,0,-1.0
0,2024-12-12,1,15.64013999999952
0,2024-12-13,1,8.599609999999302
0,2024-12-16,0,-1.0
0,2024-12-17,1,34.04003999999986
0,2024-12-18,1,71.5
0,2024-12-19,1,33.55029000000013
0,2024-12-20,1,54.169919999999365
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-26,1,56.330079999999725
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,13.229980000000069
0,2025-01-02,1,5.200199999999313
0,2025-01-03,0,-1.0
0,2025-01-06,1,9.32031999999981
0,2025-01-07,0,-1.0
0,2025-01-08,1,86.85009999999966
0,2025-01-10,1,3.2299800000000687
0,2025-01-13,1,80.08007999999973
0,2025-01-14,0,-1.0
0,2025-01-15,1,46.16016000000036
0,2025-01-16,1,72.61036000000058
0,2025-01-17,0,-1.0
0,2025-01-21,1,20.150390000000698
0,2025-01-22,1,92.14989999999943
0,2025-01-23,1,9.620119999999588
0,2025-01-24,1,136.4399399999993
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,14.609869999999319
0,2025-01-31,1,160.41016000000036
0,2025-02-03,0,-1.0
0,2025-02-04,1,46.740240000000085
0,2025-02-05,0,-1.0
0,2025-02-06,1,38.769539999999324
0,2025-02-07,1,17.689939999999297
0,2025-02-10,1,20.35986000000048
0,2025-02-11,1,149.27001999999993
0,2025-02-12,0,-1.0
0,2025-02-13,0,-1.0
0,2025-02-14,1,3.0600600000007034
0,2025-02-18,1,38.560059999999794
0,2025-02-19,1,65.73973999999998
0,2025-02-20,1,6.899900000000343
0,2025-02-21,1,34.92968999999994
0,2025-02-24,1,25.989739999999983
0,2025-02-25,1,57.28027999999995
0,2025-02-26,1,67.77977999999985
0,2025-02-27,1,55.44043000000056
0,2025-02-28,1,30.369629999999233
0,2025-03-03,0,-1.0
0,2025-03-04,1,85.43018000000029
0,2025-03-05,1,45.779779999999846
0,2025-03-06,1,23.689949999999953
0,2025-03-07,1,28.870120000000497
0,2025-03-10,0,-1.0
0,2025-03-11,1,74.95019999999931
0,2025-03-12,1,51.669920000000275
0,2025-03-13,0,-1.0
0,2025-03-14,1,10.390140000000429
0,2025-03-17,1,46.64990000000034
0,2025-03-18,1,8.7802700000002
0,2025-03-19,0,-1.0
0,2025-03-20,1,82.66991999999937
0,2025-03-21,0,-1.0
0,2025-03-24,1,23.75
0,2025-03-25,1,47.47997999999916
0,2025-03-26,1,21.510260000000017
0,2025-03-27,0,-1.0
0,2025-03-28,0,-1.0
0,2025-03-31,1,28.990230000000338
0,2025-04-01,1,55.95020000000022
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,110.3701200000005
0,2025-04-07,0,-1.0
0,2025-04-08,1,21.790040000000317
0,2025-04-09,1,181.8100599999998
0,2025-04-10,1,42.5302700000002
0,2025-04-11,0,-1.0
0,2025-04-14,1,24.80029999999988
0,2025-04-15,0,-1.0
0,2025-04-16,1,65.68994999999995
