,date,accuracy,potential
0,2024-11-11,1,11.28125
0,2024-11-12,1,156.45117000000027
0,2024-11-13,1,25.10156000000279
0,2024-11-14,1,23.849609999997483
0,2024-11-15,1,298.9609399999972
0,2024-11-18,0,-1.0
0,2024-11-19,1,225.31053999999858
0,2024-11-20,1,105.75
0,2024-11-21,1,165.75976000000082
0,2024-11-22,0,-1.0
0,2024-11-25,1,235.5390699999989
0,2024-11-26,0,-1.0
0,2024-11-27,1,138.62890999999945
0,2024-11-29,1,245.6093800000017
0,2024-12-02,1,28.480469999998604
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,64.93164000000252
0,2024-12-06,1,110.90038999999888
0,2024-12-09,1,192.8711000000003
0,2024-12-10,1,483.43944999999803
0,2024-12-11,1,70.67968999999721
0,2024-12-12,1,45.259760000000824
0,2024-12-13,1,134.0195300000014
0,2024-12-16,0,-1.0
0,2024-12-17,1,317.5800799999997
0,2024-12-18,1,219.29102000000057
0,2024-12-19,1,10.06054999999833
0,2024-12-20,1,176.77929999999833
0,2024-12-23,1,113.04102000000057
0,2024-12-24,1,82.34961000000112
0,2024-12-26,1,223.38868000000002
0,2024-12-27,1,511.78125
0,2024-12-30,0,-1.0
0,2024-12-31,1,228.77148000000307
0,2025-01-02,1,370.1699200000003
0,2025-01-03,1,0.20117000000027474
0,2025-01-06,1,289.06054999999833
0,2025-01-07,1,318.0
0,2025-01-08,1,137.4413999999997
0,2025-01-10,1,349.0195300000014
0,2025-01-13,1,113.79102000000057
0,2025-01-14,0,-1.0
0,2025-01-15,1,324.19922000000224
0,2025-01-16,1,0.2304599999988568
0,2025-01-17,0,-1.0
0,2025-01-21,1,278.14062999999805
0,2025-01-22,1,251.75
0,2025-01-23,1,298.1308599999975
0,2025-01-24,1,443.0292899999986
0,2025-01-27,1,152.72070999999778
0,2025-01-28,1,81.37109000000055
0,2025-01-29,1,279.82030999999915
0,2025-01-30,1,112.74023999999918
0,2025-01-31,1,247.75
0,2025-02-03,1,224.09961000000112
0,2025-02-04,1,111.05077999999776
0,2025-02-05,1,423.3691399999989
0,2025-02-06,1,187.54883000000336
0,2025-02-07,1,191.30859000000055
0,2025-02-10,1,202.36132999999973
0,2025-02-11,1,106.33984000000055
0,2025-02-12,1,236.14062999999805
0,2025-02-13,1,13.25
0,2025-02-14,0,-1.0
0,2025-02-18,1,194.32032000000254
0,2025-02-19,1,176.95117000000027
0,2025-02-20,1,815.8886700000003
0,2025-02-21,1,116.33984000000055
0,2025-02-24,1,225.45117000000027
0,2025-02-25,1,200.97069999999803
0,2025-02-26,1,246.99022999999943
0,2025-02-27,1,97.95117000000027
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,102.65039000000252
0,2025-03-05,1,415.0
0,2025-03-06,1,250.75
0,2025-03-07,1,285.26954000000114
0,2025-03-10,1,67.88084999999774
0,2025-03-11,1,331.9296899999972
0,2025-03-12,1,132.45116999999664
0,2025-03-13,1,299.0507800000014
0,2025-03-14,1,267.88868
0,2025-03-17,1,60.769530000001396
0,2025-03-18,1,91.46875
0,2025-03-19,1,68.06053999999858
0,2025-03-20,1,410.4003900000025
0,2025-03-21,1,383.6406300000017
0,2025-03-24,0,-1.0
0,2025-03-25,1,98.4492199999986
0,2025-03-26,1,75.33983999999691
0,2025-03-27,1,219.74023999999918
0,2025-03-28,1,213.61914000000252
0,2025-03-31,1,277.8496100000011
0,2025-04-01,1,258.2597600000008
0,2025-04-02,1,280.12890999999945
0,2025-04-03,1,960.41993
0,2025-04-04,1,543.0507800000014
0,2025-04-07,0,-1.0
0,2025-04-08,1,264.75
0,2025-04-09,1,417.41015999999945
0,2025-04-10,1,220.75
0,2025-04-11,1,119.36131999999998
0,2025-04-14,1,200.49022999999943
0,2025-04-15,1,310.58008000000336
0,2025-04-16,0,-1.0
