,date,accuracy,potential
0,2024-11-11,1,11.690000000000055
0,2024-11-12,1,2.8599799999999505
0,2024-11-13,1,0.8799999999999955
0,2024-11-14,1,3.4700299999999515
0,2024-11-15,1,22.17999000000009
0,2024-11-18,1,9.390009999999961
0,2024-11-19,1,9.66998000000001
0,2024-11-20,1,5.640009999999961
0,2024-11-21,1,19.38000999999997
0,2024-11-22,0,-1.0
0,2024-11-25,1,2.2600100000000793
0,2024-11-26,1,6.510009999999966
0,2024-11-27,1,6.689999999999941
0,2024-11-29,1,8.36999000000003
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,1,13.739990000000034
0,2024-12-09,1,1.4099800000000187
0,2024-12-10,1,11.550049999999942
0,2024-12-11,1,5.6199900000001435
0,2024-12-12,1,5.939949999999953
0,2024-12-13,1,15.570060000000012
0,2024-12-16,1,16.75
0,2024-12-17,0,-1.0
0,2024-12-18,1,9.780030000000124
0,2024-12-19,1,13.36999000000003
0,2024-12-20,1,8.489990000000034
0,2024-12-23,1,15.110050000000001
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,0.30999999999994543
0,2024-12-31,1,20.319940000000088
0,2025-01-02,0,-1.0
0,2025-01-03,1,11.53003000000001
0,2025-01-06,1,7.059999999999945
0,2025-01-07,1,2.2800300000000107
0,2025-01-08,0,-1.0
0,2025-01-10,1,9.700009999999907
0,2025-01-13,0,-1.0
0,2025-01-14,1,20.82000999999991
0,2025-01-15,0,-1.0
0,2025-01-16,1,18.270020000000045
0,2025-01-17,1,12.0
0,2025-01-21,1,3.949950000000058
0,2025-01-22,1,1.6099799999999505
0,2025-01-23,1,0.12999999999999545
0,2025-01-24,1,0.019959999999969114
0,2025-01-27,1,11.179989999999975
0,2025-01-28,1,2.729979999999955
0,2025-01-29,1,21.35003000000006
0,2025-01-30,1,9.109989999999925
0,2025-01-31,0,-1.0
0,2025-02-03,1,8.059999999999945
0,2025-02-04,0,-1.0
0,2025-02-05,1,6.800050000000056
0,2025-02-06,1,7.0
0,2025-02-07,1,1.140009999999961
0,2025-02-10,1,0.39002000000004955
0,2025-02-11,1,7.589969999999994
0,2025-02-12,1,19.520020000000045
0,2025-02-13,1,2.9199800000000096
0,2025-02-14,1,2.4899900000000343
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,1,1.859990000000039
0,2025-02-21,1,4.480040000000031
0,2025-02-24,0,-1.0
0,2025-02-25,1,1.5799600000000282
0,2025-02-26,1,7.1099799999999505
0,2025-02-27,1,11.839969999999994
0,2025-02-28,1,11.65002000000004
0,2025-03-03,0,-1.0
0,2025-03-04,1,9.309999999999945
0,2025-03-05,0,-1.0
0,2025-03-06,1,3.2100299999999606
0,2025-03-07,0,-1.0
0,2025-03-10,1,6.050050000000056
0,2025-03-11,1,9.409980000000019
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-14,1,4.25
0,2025-03-17,1,13.5399799999999
0,2025-03-18,1,5.789980000000014
0,2025-03-19,1,1.4199800000000096
0,2025-03-20,1,5.439999999999941
0,2025-03-21,0,-1.0
0,2025-03-24,1,1.2199699999999893
0,2025-03-25,1,0.19000999999991564
0,2025-03-26,1,17.18999999999994
0,2025-03-27,1,1.6799899999999752
0,2025-03-28,0,-1.0
0,2025-03-31,1,11.229979999999955
0,2025-04-01,1,13.290039999999976
0,2025-04-02,0,-1.0
0,2025-04-03,1,34.92004999999995
0,2025-04-04,1,12.61999000000003
0,2025-04-07,0,-1.0
0,2025-04-08,1,10.409970000000044
0,2025-04-09,1,24.050050000000056
0,2025-04-10,1,8.01995999999997
0,2025-04-11,1,13.38000999999997
0,2025-04-14,1,5.17999999999995
0,2025-04-15,1,4.309999999999945
0,2025-04-16,1,11.200019999999995
