,date,accuracy,potential
0,2024-11-11,1,0.43002000000001317
0,2024-11-12,1,5.800009999999986
0,2024-11-13,1,1.4200099999999907
0,2024-11-14,1,3.5600000000000023
0,2024-11-15,0,-1.0
0,2024-11-18,1,3.3999900000000025
0,2024-11-19,1,3.6299999999999955
0,2024-11-20,1,5.179990000000032
0,2024-11-21,1,2.7400200000000154
0,2024-11-22,1,2.409999999999968
0,2024-11-25,1,2.5499900000000366
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,0.5699799999999868
0,2024-12-02,1,3.390010000000018
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.9199799999999527
0,2024-12-05,1,7.919989999999984
0,2024-12-06,0,-1.0
0,2024-12-09,1,4.20001000000002
0,2024-12-10,1,0.0999999999999659
0,2024-12-11,0,-1.0
0,2024-12-12,1,3.1499900000000025
0,2024-12-13,1,1.869989999999973
0,2024-12-16,1,6.48001000000005
0,2024-12-17,1,1.1699800000000096
0,2024-12-18,1,4.319999999999993
0,2024-12-19,1,1.3600000000000136
0,2024-12-20,1,0.5100099999999941
0,2024-12-23,1,1.5300000000000011
0,2024-12-24,0,-1.0
0,2024-12-26,1,2.5999999999999943
0,2024-12-27,1,2.960010000000011
0,2024-12-30,0,-1.0
0,2024-12-31,1,7.1499900000000025
0,2025-01-02,1,1.240000000000009
0,2025-01-03,1,5.900019999999984
0,2025-01-06,1,0.14001000000001795
0,2025-01-07,0,-1.0
0,2025-01-08,1,2.6700099999999907
0,2025-01-10,0,-1.0
0,2025-01-13,1,2.009999999999991
0,2025-01-14,1,3.730009999999993
0,2025-01-15,1,1.320009999999968
0,2025-01-16,1,12.140010000000018
0,2025-01-17,1,1.1899799999999914
0,2025-01-21,1,6.450019999999995
0,2025-01-22,0,-1.0
0,2025-01-23,1,2.0800199999999904
0,2025-01-24,0,-1.0
0,2025-01-27,1,2.409999999999968
0,2025-01-28,1,0.7200000000000273
0,2025-01-29,1,3.8499800000000164
0,2025-01-30,1,4.039979999999957
0,2025-01-31,1,3.8200100000000248
0,2025-02-03,1,3.450019999999995
0,2025-02-04,1,1.4699999999999704
0,2025-02-05,1,1.679990000000032
0,2025-02-06,1,2.609989999999982
0,2025-02-07,0,-1.0
0,2025-02-10,1,2.550010000000043
0,2025-02-11,0,-1.0
0,2025-02-12,1,2.4399999999999977
0,2025-02-13,1,3.2199999999999704
0,2025-02-14,1,4.409999999999968
0,2025-02-18,1,0.2900099999999952
0,2025-02-19,1,0.9299899999999752
0,2025-02-20,0,-1.0
0,2025-02-21,1,2.7999899999999798
0,2025-02-24,1,4.0100100000000225
0,2025-02-25,1,0.8300100000000157
0,2025-02-26,0,-1.0
0,2025-02-27,1,3.6299999999999955
0,2025-02-28,1,2.630010000000027
0,2025-03-03,1,11.189990000000023
0,2025-03-04,0,-1.0
0,2025-03-05,1,0.270009999999985
0,2025-03-06,1,8.87999000000002
0,2025-03-07,1,2.82000000000005
0,2025-03-10,1,2.630000000000024
0,2025-03-11,1,0.48001000000002136
0,2025-03-12,1,0.950000000000017
0,2025-03-13,1,6.769990000000007
0,2025-03-14,1,4.38997999999998
0,2025-03-17,1,2.0800199999999904
0,2025-03-18,0,-1.0
0,2025-03-19,1,3.3100000000000023
0,2025-03-20,1,2.340000000000032
0,2025-03-21,1,4.7399899999999775
0,2025-03-24,1,3.800010000000043
0,2025-03-25,1,4.3700000000000045
0,2025-03-26,1,2.51998999999995
0,2025-03-27,1,1.6299999999999955
0,2025-03-28,1,3.3800000000000523
0,2025-03-31,1,1.769990000000007
0,2025-04-01,0,-1.0
0,2025-04-02,0,-1.0
0,2025-04-03,1,28.360000000000014
0,2025-04-04,1,13.560000000000002
0,2025-04-07,0,-1.0
0,2025-04-08,1,4.469999999999999
0,2025-04-09,0,-1.0
0,2025-04-10,1,2.300009999999986
0,2025-04-11,1,3.7400100000000123
0,2025-04-14,1,3.3399900000000002
0,2025-04-15,0,-1.0
0,2025-04-16,1,6.27000000000001
