,date,accuracy,potential
0,2024-11-11,1,3.110050000000001
0,2024-11-12,1,6.410030000000006
0,2024-11-13,1,3.0800199999999904
0,2024-11-14,1,4.989990000000034
0,2024-11-15,1,5.92999999999995
0,2024-11-18,0,-1.0
0,2024-11-19,1,6.33001999999999
0,2024-11-20,1,11.059999999999945
0,2024-11-21,1,1.0800100000000157
0,2024-11-22,1,8.78003000000001
0,2024-11-25,1,1.520020000000045
0,2024-11-26,0,-1.0
0,2024-11-27,1,4.099969999999985
0,2024-11-29,1,1.1300099999999702
0,2024-12-02,1,5.260009999999966
0,2024-12-03,0,-1.0
0,2024-12-04,1,7.020020000000045
0,2024-12-05,1,12.309999999999945
0,2024-12-06,1,8.04998999999998
0,2024-12-09,1,4.5
0,2024-12-10,1,0.6400100000000748
0,2024-12-11,0,-1.0
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,1.2100199999999859
0,2024-12-18,1,7.089969999999994
0,2024-12-19,1,5.66998000000001
0,2024-12-20,1,0.7300399999999172
0,2024-12-23,1,2.8499799999999595
0,2024-12-24,1,0.27997000000004846
0,2024-12-26,1,6.9000200000000405
0,2024-12-27,1,0.5499899999999798
0,2024-12-30,1,9.259950000000003
0,2024-12-31,1,11.970030000000065
0,2025-01-02,1,6.729979999999955
0,2025-01-03,1,8.639959999999974
0,2025-01-06,1,11.609989999999925
0,2025-01-07,0,-1.0
0,2025-01-08,1,16.15996999999993
0,2025-01-10,1,17.63995
0,2025-01-13,1,2.42999999999995
0,2025-01-14,1,8.48998999999992
0,2025-01-15,1,2.9299899999999752
0,2025-01-16,1,6.609980000000064
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,3.659970000000044
0,2025-01-24,0,-1.0
0,2025-01-27,1,3.6499599999999646
0,2025-01-28,1,4.160039999999981
0,2025-01-29,1,6.940000000000055
0,2025-01-30,0,-1.0
0,2025-01-31,1,2.4000200000000405
0,2025-02-03,1,13.770019999999931
0,2025-02-04,1,1.100029999999947
0,2025-02-05,1,8.840029999999956
0,2025-02-06,1,4.8599799999999505
0,2025-02-07,1,13.349970000000098
0,2025-02-10,1,5.539980000000014
0,2025-02-11,0,-1.0
0,2025-02-12,1,2.6699899999999843
0,2025-02-13,0,-1.0
0,2025-02-14,1,8.15996999999993
0,2025-02-18,1,11.70001000000002
0,2025-02-19,1,3.25
0,2025-02-20,1,7.679989999999975
0,2025-02-21,1,3.1699800000000096
0,2025-02-24,1,2.5599899999999707
0,2025-02-25,1,2.1900100000000293
0,2025-02-26,1,11.04998999999998
0,2025-02-27,1,5.570010000000025
0,2025-02-28,1,5.089960000000019
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,7.88000999999997
0,2025-03-06,0,-1.0
0,2025-03-07,1,13.0
0,2025-03-10,1,4.020019999999931
0,2025-03-11,1,3.9400000000000546
0,2025-03-12,1,6.790039999999976
0,2025-03-13,1,13.279970000000048
0,2025-03-14,1,10.090029999999956
0,2025-03-17,1,4.540030000000002
0,2025-03-18,1,7.810060000000021
0,2025-03-19,1,3.640009999999961
0,2025-03-20,0,-1.0
0,2025-03-21,1,9.779969999999935
0,2025-03-24,1,8.739990000000034
0,2025-03-25,1,11.909980000000019
0,2025-03-26,1,7.169989999999984
0,2025-03-27,1,1.949950000000058
0,2025-03-28,1,12.0
0,2025-03-31,1,1.1200000000000045
0,2025-04-01,0,-1.0
0,2025-04-02,0,-1.0
0,2025-04-03,1,53.95001000000002
0,2025-04-04,1,16.43999999999994
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,34.7100200000001
0,2025-04-10,1,3.230040000000031
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,11.84003000000007
0,2025-04-16,1,18.0
