,date,accuracy,potential
0,2024-11-07,0,-1
0,2024-11-08,1,27.140010000000075
0,2024-11-11,1,32.209969999999885
0,2024-11-12,0,-1
0,2024-11-13,0,-1
0,2024-11-14,0,-1
0,2024-11-15,1,34.02001999999993
0,2024-11-18,0,-1
0,2024-11-19,1,12.199949999999944
0,2024-11-20,1,11.920039999999972
0,2024-11-21,0,-1
0,2024-11-22,1,24.74010999999996
0,2024-11-25,1,31.14002000000005
0,2024-11-26,0,-1
0,2024-11-27,1,0.30993999999986954
0,2024-11-28,0,-1
0,2024-11-29,1,31.930050000000165
0,2024-12-02,0,-1
0,2024-12-03,0,-1
0,2024-12-04,0,-1
0,2024-12-05,1,15.410030000000006
0,2024-12-06,1,64.30005000000006
0,2024-12-09,1,53.449949999999944
0,2024-12-10,1,1.5400300000001153
0,2024-12-11,1,17.20995999999991
0,2024-12-12,1,3.440059999999903
0,2024-12-13,1,1.2600099999999657
0,2024-12-16,1,24.489990000000034
0,2024-12-17,1,22.050050000000056
0,2024-12-18,0,-1
0,2024-12-19,0,-1
0,2024-12-20,0,-1
0,2024-12-23,1,8.75
0,2024-12-24,1,9.5
0,2024-12-26,0,-1
0,2024-12-27,1,11.829960000000028
0,2024-12-30,1,13.200070000000096
0,2025-01-02,0,-1
0,2025-01-03,0,-1
0,2025-01-06,0,-1
0,2025-01-07,1,6.800050000000056
0,2025-01-08,1,7.339960000000019
0,2025-01-09,1,16.430049999999937
0,2025-01-10,1,18.080079999999953
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,28.179930000000013
0,2025-01-16,1,1.1400100000000748
0,2025-01-17,1,0.06006000000002132
0,2025-01-20,1,18.07996000000003
0,2025-01-21,0,-1
0,2025-01-22,1,25.589969999999994
0,2025-01-23,1,22.150029999999788
0,2025-01-24,1,10.729980000000069
0,2025-01-31,1,57.27990999999997
0,2025-02-03,0,-1
0,2025-02-04,0,-1
0,2025-02-05,0,-1
0,2025-02-06,1,5.640010000000075
0,2025-02-07,1,18.09997999999996
0,2025-02-10,0,-1
0,2025-02-11,1,4.260009999999966
0,2025-02-12,1,13.109989999999925
0,2025-02-13,1,7.390010000000075
0,2025-02-14,1,0.08996999999999389
0,2025-02-17,0,-1
0,2025-02-18,0,-1
0,2025-02-19,0,-1
0,2025-02-20,1,15.069820000000163
0,2025-02-21,1,19.840090000000146
0,2025-02-24,0,-1
0,2025-02-25,1,4.25
0,2025-02-26,0,-1
0,2025-02-27,0,-1
0,2025-02-28,1,17.29004000000009
0,2025-03-04,0,-1
0,2025-03-05,1,20.36986999999999
0,2025-03-06,1,6.449950000000172
0,2025-03-07,1,14.309940000000097
0,2025-03-10,0,-1
0,2025-03-11,0,-1
0,2025-03-12,1,24.67004999999972
0,2025-03-13,1,8.040039999999863
0,2025-03-14,0,-1
0,2025-03-17,0,-1
0,2025-03-18,1,24.970220000000154
0,2025-03-19,1,17.590090000000146
0,2025-03-20,1,34.159909999999854
0,2025-03-21,1,10.779909999999745
0,2025-03-24,0,-1
0,2025-03-25,1,1.8699999999998909
0,2025-03-26,1,25.700070000000096
0,2025-03-27,0,-1
0,2025-03-28,1,60.219969999999876
0,2025-03-31,0,-1
0,2025-04-01,1,21.219970000000103
0,2025-04-02,1,53.10010000000011
0,2025-04-03,1,13.209969999999885
0,2025-04-04,1,103.63000999999986
0,2025-04-07,1,33.42003999999997
0,2025-04-08,1,28.200070000000096
0,2025-04-09,1,97.06994000000009
0,2025-04-10,1,26.160030000000006
0,2025-04-11,1,30.699949999999944
0,2025-04-14,0,-1
0,2025-04-15,1,4.809940000000097
0,2025-04-16,1,18.640019999999822
