,date,accuracy,potential
0,2024-11-08,1,6.049930000000018
0,2024-11-11,1,4.61999000000003
0,2024-11-12,0,-1.0
0,2024-11-13,1,2.609980000000064
0,2024-11-14,1,3.2900300000000016
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,10.5399799999999
0,2024-11-22,0,-1.0
0,2024-11-25,1,0.8400299999999561
0,2024-11-26,1,0.549980000000005
0,2024-11-27,1,2.9199800000000096
0,2024-11-28,1,8.220029999999952
0,2024-11-29,1,4.269959999999969
0,2024-12-02,1,3.349969999999985
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.9499500000001717
0,2024-12-05,0,-1.0
0,2024-12-06,1,6.5599399999998695
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,0,-1.0
0,2024-12-13,1,6.710019999999986
0,2024-12-16,1,9.84997999999996
0,2024-12-17,1,2.4500100000000202
0,2024-12-18,0,-1.0
0,2024-12-19,1,4.1500299999999015
0,2024-12-20,1,7.039980000000014
0,2024-12-23,1,1.0399799999999004
0,2024-12-24,1,4.160030000000006
0,2024-12-26,1,7.629940000000033
0,2024-12-27,0,-1.0
0,2024-12-30,1,0.33001999999999043
0,2024-12-31,1,3.5499899999999798
0,2025-01-01,1,0.6899999999999409
0,2025-01-02,1,1.8100600000000213
0,2025-01-03,1,1.5199599999999691
0,2025-01-06,1,10.18999999999994
0,2025-01-07,1,3.4899900000000343
0,2025-01-08,1,4.939999999999941
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,8.890019999999936
0,2025-01-14,1,4.489990000000034
0,2025-01-15,1,3.5800100000000157
0,2025-01-16,1,0.4799800000000687
0,2025-01-17,1,4.1500200000000405
0,2025-01-20,1,7.0999700000000985
0,2025-01-21,1,0.7600099999999657
0,2025-01-22,1,5.460029999999961
0,2025-01-23,1,3.769959999999969
0,2025-01-24,0,-1.0
0,2025-01-27,1,0.07995000000005348
0,2025-01-28,1,3.75
0,2025-01-29,1,2.839960000000019
0,2025-01-30,0,-1.0
0,2025-01-31,1,1.1900099999999156
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,0.09997999999995955
0,2025-02-05,1,0.9599699999999984
0,2025-02-06,0,-1.0
0,2025-02-07,1,10.030019999999922
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,1.8200100000000248
0,2025-02-13,1,5.019959999999969
0,2025-02-14,1,9.540039999999976
0,2025-02-17,1,8.58001999999999
0,2025-02-18,1,4.340019999999981
0,2025-02-19,1,3.7999899999999798
0,2025-02-20,1,9.859980000000064
0,2025-02-21,1,4.280020000000036
0,2025-02-24,1,1.5599900000000844
0,2025-02-25,1,0.9699699999999893
0,2025-02-27,1,12.5
0,2025-02-28,1,5.699949999999944
0,2025-03-03,1,10.199959999999919
0,2025-03-04,0,-1.0
0,2025-03-05,1,1.2399900000000343
0,2025-03-06,1,6.479980000000069
0,2025-03-07,1,5.359980000000064
0,2025-03-10,1,3.2299800000000687
0,2025-03-11,1,2.6499600000000783
0,2025-03-12,1,0.20001000000002023
0,2025-03-13,1,9.649959999999965
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,5.429989999999975
0,2025-03-20,0,-1.0
0,2025-03-21,1,7.3700000000000045
0,2025-03-24,1,3.8300199999999904
0,2025-03-25,1,5.1299999999999955
0,2025-03-26,1,4.179989999999975
0,2025-03-27,1,0.2699599999999691
0,2025-03-28,1,7.540039999999976
0,2025-04-01,1,1.1400200000000495
0,2025-04-02,1,1.7399899999999207
0,2025-04-03,0,-1.0
0,2025-04-04,1,49.59003000000007
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,19.59003000000007
0,2025-04-11,1,16.020020000000045
0,2025-04-15,1,4.390009999999961
0,2025-04-16,1,8.41998000000001
