,date,accuracy,potential
0,2024-11-08,0,-1
0,2024-11-11,1,393.08984000000055
0,2024-11-12,1,429.19140999999945
0,2024-11-13,1,95.22265999999945
0,2024-11-14,1,138.12109999999666
0,2024-11-15,1,282.62890000000334
0,2024-11-19,0,-1
0,2024-11-20,1,231.66797000000224
0,2024-11-21,1,186.73828000000503
0,2024-11-22,1,158.22265000000334
0,2024-11-25,1,29.62109000000055
0,2024-11-26,1,378.2421800000011
0,2024-11-27,1,67.17969000000448
0,2024-11-28,1,368.5703099999955
0,2024-11-29,0,-1
0,2024-12-02,1,359.4375
0,2024-12-03,1,301.19920999999886
0,2024-12-04,1,228.05077999999776
0,2024-12-05,1,310.21875
0,2024-12-06,1,946.0703099999955
0,2024-12-09,1,698.0976599999995
0,2024-12-10,1,458.21875
0,2024-12-11,1,244.4375
0,2024-12-13,0,-1
0,2024-12-16,1,38.261719999994966
0,2024-12-17,0,-1
0,2024-12-18,1,677.050780000005
0,2024-12-19,1,399.9296900000045
0,2024-12-20,1,74.67968999999721
0,2024-12-23,1,179.16014999999607
0,2024-12-24,1,280.30079000000114
0,2024-12-26,1,588.2109400000045
0,2024-12-27,0,-1
0,2024-12-30,1,526.46875
0,2024-12-31,1,443.5468699999983
0,2025-01-02,1,633.6914099999995
0,2025-01-03,1,1139.6093700000056
0,2025-01-06,0,-1
0,2025-01-07,1,477.84765999999945
0,2025-01-08,0,-1
0,2025-01-09,1,372.48047000000224
0,2025-01-10,1,128.79297000000224
0,2025-01-13,1,356.9296800000011
0,2025-01-14,1,283.2734400000045
0,2025-01-15,1,253.1875
0,2025-01-16,0,-1
0,2025-01-17,1,305.87889999999607
0,2025-01-20,1,370.2578099999955
0,2025-01-21,1,524.1484399999972
0,2025-01-22,0,-1
0,2025-01-23,1,301.0
0,2025-01-24,1,186.25
0,2025-01-27,1,185.16015999999945
0,2025-01-28,1,54.039059999995516
0,2025-01-29,1,768.738280000005
0,2025-01-30,0,-1
0,2025-01-31,1,858.8711000000039
0,2025-02-04,1,278.5781199999983
0,2025-02-05,1,622.71875
0,2025-02-06,1,90.33984000000055
0,2025-02-07,0,-1
0,2025-02-10,0,-1
0,2025-02-11,1,34.64843999999721
0,2025-02-12,1,204.0
0,2025-02-13,1,5.851560000002792
0,2025-02-14,1,160.73047000000224
0,2025-02-17,1,259.58202999999776
0,2025-02-18,0,-1
0,2025-02-19,1,264.76954000000114
0,2025-02-20,1,45.5625
0,2025-02-21,1,134.37890000000334
0,2025-02-24,1,634.1288999999961
0,2025-02-25,1,248.52344000000448
0,2025-02-26,1,155.83984000000055
0,2025-02-27,1,255.75
0,2025-02-28,1,860.1015600000028
0,2025-03-03,1,1107.6601599999995
0,2025-03-04,1,96.49218999999721
0,2025-03-05,1,344.69922000000224
0,2025-03-06,1,441.98827999999776
0,2025-03-07,0,-1
0,2025-03-10,1,40.91015000000334
0,2025-03-11,1,44.37890000000334
0,2025-03-12,1,229.5703199999989
0,2025-03-13,0,-1
0,2025-03-14,0,-1
0,2025-03-18,0,-1
0,2025-03-19,1,113.41015999999945
0,2025-03-20,0,-1
0,2025-03-21,1,7.816399999996065
0,2025-03-24,0,-1
0,2025-03-25,1,24.55859000000055
0,2025-03-26,1,35.320309999995516
0,2025-03-27,1,95.96093999999721
0,2025-03-28,1,954.8789099999995
0,2025-03-31,1,55.96875
0,2025-04-01,1,36.62890999999945
0,2025-04-02,1,1065.6914000000033
0,2025-04-03,1,2243.949219999995
0,2025-04-04,1,1557.7421900000045
0,2025-04-07,0,-1
0,2025-04-08,1,552.3203100000028
0,2025-04-09,1,569.6796899999972
0,2025-04-10,1,510.4296800000011
0,2025-04-11,0,-1
0,2025-04-14,0,-1
0,2025-04-15,1,97.76952999999776
