,date,accuracy,potential
0,2024-11-08,1,160.34960999999748
0,2024-11-11,1,34.048829999999725
0,2024-11-12,1,0.75
0,2024-11-13,1,69.15038999999888
0,2024-11-14,1,46.048829999999725
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,548.4003900000025
0,2024-11-25,1,157.79882999999973
0,2024-11-26,1,40.10156000000279
0,2024-11-27,1,213.94922000000224
0,2024-11-28,1,168.34960999999748
0,2024-11-29,1,64.5
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,159.4492199999986
0,2024-12-05,1,57.199219999998604
0,2024-12-06,1,167.95117000000027
0,2024-12-09,1,23.35156000000279
0,2024-12-10,0,-1.0
0,2024-12-11,1,76.80077999999776
0,2024-12-12,1,430.5996099999975
0,2024-12-13,1,173.45117000000027
0,2024-12-16,1,281.3515600000028
0,2024-12-17,1,76.14843999999721
0,2024-12-18,1,398.0996100000011
0,2024-12-19,1,137.95117000000027
0,2024-12-20,1,192.8007800000014
0,2024-12-23,1,39.90039000000252
0,2024-12-24,1,125.3007800000014
0,2024-12-26,1,251.8007800000014
0,2024-12-27,1,12.150389999998879
0,2024-12-30,0,-1.0
0,2024-12-31,1,126.15038999999888
0,2025-01-01,0,-1.0
0,2025-01-02,1,74.1992199999986
0,2025-01-03,1,81.95117000000027
0,2025-01-06,0,-1.0
0,2025-01-07,1,25.5
0,2025-01-08,1,106.40038999999888
0,2025-01-09,0,-1.0
0,2025-01-10,1,321.9492199999986
0,2025-01-13,1,252.54882999999973
0,2025-01-14,1,88.09960999999748
0,2025-01-15,0,-1.0
0,2025-01-16,1,199.80077999999776
0,2025-01-17,1,82.9492199999986
0,2025-01-20,1,189.0
0,2025-01-21,1,39.34960999999748
0,2025-01-22,1,177.5
0,2025-01-23,1,212.5
0,2025-01-24,0,-1.0
0,2025-01-27,1,139.0
0,2025-01-28,1,198.34961000000112
0,2025-01-29,1,239.59961000000112
0,2025-01-30,1,34.201170000000275
0,2025-01-31,1,82.54882999999973
0,2025-02-01,1,360.5507800000014
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,49.048829999999725
0,2025-02-06,1,193.95117000000027
0,2025-02-07,1,267.9511700000003
0,2025-02-10,1,218.4492199999986
0,2025-02-11,1,363.3007800000014
0,2025-02-12,1,60.300780000001396
0,2025-02-13,1,183.75
0,2025-02-14,1,101.75
0,2025-02-17,0,-1.0
0,2025-02-18,1,174.15039000000252
0,2025-02-19,1,55.84960999999748
0,2025-02-20,1,255.5
0,2025-02-21,1,189.4492199999986
0,2025-02-24,1,59.40039000000252
0,2025-02-25,1,74.84961000000112
0,2025-02-27,1,445.80077999999776
0,2025-02-28,1,140.25
0,2025-03-03,1,313.3496099999975
0,2025-03-04,0,-1.0
0,2025-03-05,1,77.6992199999986
0,2025-03-06,1,31.201170000000275
0,2025-03-07,1,181.75
0,2025-03-10,0,-1.0
0,2025-03-11,1,140.59960999999748
0,2025-03-12,1,16.599609999997483
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,11.451170000000275
0,2025-03-19,1,184.40038999999888
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,180.25
0,2025-03-25,0,-1.0
0,2025-03-26,1,145.1015600000028
0,2025-03-27,1,104.25
0,2025-03-28,1,36.449219999998604
0,2025-04-01,1,84.3007800000014
0,2025-04-02,1,102.65038999999888
0,2025-04-03,0,-1.0
0,2025-04-04,1,1408.1503900000025
0,2025-04-07,0,-1.0
0,2025-04-08,1,298.2011700000003
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,110.55077999999776
0,2025-04-16,0,-1.0
