,date,accuracy,potential
0,2024-11-08,1,23.799800000000687
0,2024-11-11,1,39.25
0,2024-11-12,1,4.350100000000566
0,2024-11-13,1,18.05029999999988
0,2024-11-14,1,2.600100000000566
0,2024-11-18,1,71.10010000000057
0,2024-11-19,1,1.7001999999993131
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,19.30029999999988
0,2024-11-27,1,47.0
0,2024-11-28,1,27.350099999999657
0,2024-11-29,1,15.650400000000445
0,2024-12-02,1,4.450200000000223
0,2024-12-03,0,-1.0
0,2024-12-04,1,12.899900000000343
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,4.600100000000566
0,2024-12-12,1,0.29979999999977736
0,2024-12-13,1,24.19970000000012
0,2024-12-16,1,46.85009999999966
0,2024-12-17,1,12.950200000000223
0,2024-12-18,0,-1.0
0,2024-12-19,1,27.899899999999434
0,2024-12-20,1,32.19970000000012
0,2024-12-23,0,-1.0
0,2024-12-24,1,15.149899999999434
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,33.899899999999434
0,2024-12-31,1,22.05029999999988
0,2025-01-01,1,3.549800000000687
0,2025-01-02,1,29.600099999999657
0,2025-01-03,1,11.299799999999777
0,2025-01-06,1,39.100100000000566
0,2025-01-07,1,1.7997999999997774
0,2025-01-08,1,11.049799999999777
0,2025-01-09,1,21.25
0,2025-01-10,1,48.20019999999931
0,2025-01-13,1,12.19970000000012
0,2025-01-14,1,12.450200000000223
0,2025-01-15,1,5.799799999999777
0,2025-01-16,1,12.450199999999313
0,2025-01-17,1,10.850100000000566
0,2025-01-20,1,29.19970000000012
0,2025-01-21,1,15.149900000000343
0,2025-01-22,1,10.44970000000012
0,2025-01-23,1,7.199700000000121
0,2025-01-24,0,-1.0
0,2025-01-27,1,15.049799999999777
0,2025-01-28,1,42.44970000000012
0,2025-01-29,1,0.25
0,2025-01-30,0,-1.0
0,2025-01-31,1,13.600100000000566
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,18.350100000000566
0,2025-02-05,1,18.0
0,2025-02-06,1,51.79979999999978
0,2025-02-07,1,22.75
0,2025-02-10,0,-1.0
0,2025-02-11,1,68.65040000000045
0,2025-02-12,1,18.299800000000687
0,2025-02-13,1,18.200199999999313
0,2025-02-14,1,41.10009999999966
0,2025-02-17,1,34.60009999999966
0,2025-02-18,1,33.850100000000566
0,2025-02-19,1,25.75
0,2025-02-20,1,46.60009999999966
0,2025-02-21,1,46.55029999999988
0,2025-02-24,1,2.8500999999996566
0,2025-02-25,1,1.1504000000004453
0,2025-02-27,1,92.44970000000012
0,2025-02-28,1,21.75
0,2025-03-03,1,71.90040000000045
0,2025-03-04,0,-1.0
0,2025-03-05,1,2.300299999999879
0,2025-03-06,1,12.75
0,2025-03-07,1,37.0
0,2025-03-10,1,6.549799999999777
0,2025-03-11,1,61.95020000000022
0,2025-03-12,1,8.0
0,2025-03-13,1,31.549799999999777
0,2025-03-17,0,-1.0
0,2025-03-18,1,23.350099999999657
0,2025-03-19,1,45.649899999999434
0,2025-03-20,1,44.20020000000022
0,2025-03-21,1,32.95020000000022
0,2025-03-24,1,35.45019999999931
0,2025-03-25,1,28.44970000000012
0,2025-03-26,1,26.5
0,2025-03-27,1,2.0
0,2025-03-28,1,24.350100000000566
0,2025-04-01,1,3.899899999999434
0,2025-04-02,1,41.64990000000034
0,2025-04-03,1,92.09959999999955
0,2025-04-04,1,234.59959999999955
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,71.79980000000069
0,2025-04-11,1,67.0
0,2025-04-15,1,15.25
0,2025-04-16,1,52.5
