,date,accuracy,potential
0,2024-11-08,1,448.19921999999497
0,2024-11-11,1,492.1015599999955
0,2024-11-12,1,20.550780000005034
0,2024-11-13,1,489.75
0,2024-11-14,1,258.6015599999955
0,2024-11-18,1,1006.6015600000028
0,2024-11-19,1,240.5
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,422.80078000000503
0,2024-11-26,1,88.60156000000279
0,2024-11-27,1,36.34765999999945
0,2024-11-28,1,144.19922000000224
0,2024-11-29,1,320.55078000000503
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,73.25
0,2024-12-05,1,133.6484399999972
0,2024-12-06,0,-1.0
0,2024-12-09,1,131.19922000000224
0,2024-12-10,1,36.34765999999945
0,2024-12-11,1,44.800780000005034
0,2024-12-12,1,962.8515599999955
0,2024-12-13,0,-1.0
0,2024-12-16,1,80.09765999999945
0,2024-12-17,1,268.34765999999945
0,2024-12-18,1,1056.1992200000022
0,2024-12-19,1,399.75
0,2024-12-20,1,375.1015600000028
0,2024-12-23,1,249.75
0,2024-12-24,1,270.0
0,2024-12-26,1,14.5
0,2024-12-27,1,254.30077999999776
0,2024-12-30,1,506.2031200000056
0,2024-12-31,1,125.44922000000224
0,2025-01-01,1,36.898440000004484
0,2025-01-02,1,87.0
0,2025-01-03,1,146.95312000000558
0,2025-01-06,1,724.5507799999978
0,2025-01-07,0,-1.0
0,2025-01-08,1,160.14844000000448
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,1020.4492200000022
0,2025-01-14,1,335.5
0,2025-01-15,1,905.1484400000045
0,2025-01-16,1,274.55077999999776
0,2025-01-17,1,247.15234000000055
0,2025-01-20,1,894.8007799999978
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,668.8007799999978
0,2025-01-24,0,-1.0
0,2025-01-27,1,852.050780000005
0,2025-01-28,1,1005.3476599999995
0,2025-01-29,0,-1.0
0,2025-01-30,1,617.5976599999995
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,68.90234000000055
0,2025-02-06,1,39.75
0,2025-02-07,1,823.8007799999978
0,2025-02-10,0,-1.0
0,2025-02-11,1,1481.5
0,2025-02-12,1,115.60156000000279
0,2025-02-13,1,944.699219999995
0,2025-02-14,1,159.30078000000503
0,2025-02-17,1,645.0
0,2025-02-18,1,389.55078000000503
0,2025-02-19,1,297.30077999999776
0,2025-02-20,1,655.75
0,2025-02-21,0,-1.0
0,2025-02-24,1,252.25
0,2025-02-25,1,116.75
0,2025-02-27,1,1231.9023400000005
0,2025-02-28,1,884.8984399999972
0,2025-03-03,1,277.94922000000224
0,2025-03-04,1,840.25
0,2025-03-05,0,-1.0
0,2025-03-06,1,362.55078000000503
0,2025-03-07,1,297.69921999999497
0,2025-03-10,1,453.34765999999945
0,2025-03-11,1,518.949219999995
0,2025-03-12,1,200.15234000000055
0,2025-03-13,1,626.9023400000005
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,444.1484399999972
0,2025-03-20,1,665.199219999995
0,2025-03-21,0,-1.0
0,2025-03-24,1,287.0
0,2025-03-25,1,502.6015600000028
0,2025-03-26,1,200.59765999999945
0,2025-03-27,0,-1.0
0,2025-03-28,1,430.6484400000045
0,2025-04-01,1,203.0
0,2025-04-02,1,447.34765999999945
0,2025-04-03,1,1601.300780000005
0,2025-04-04,1,2844.3984400000045
0,2025-04-07,1,1115.1523400000005
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,6.050779999997758
0,2025-04-16,1,230.94921999999497
