,date,accuracy,potential
0,2024-11-11,1,52.35059000000001
0,2024-11-12,1,133.31055000000015
0,2024-11-13,1,0.9501900000013848
0,2024-11-14,1,2.3300799999997253
0,2024-11-17,1,25.33983999999873
0,2024-11-18,0,-1.0
0,2024-11-19,1,25.490230000001247
0,2024-11-20,1,9.830079999999725
0,2024-11-21,1,49.01952999999958
0,2024-11-24,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,43.25
0,2024-11-27,1,35.860350000000835
0,2024-11-28,0,-1.0
0,2024-12-01,1,13.010739999999714
0,2024-12-02,0,-1.0
0,2024-12-03,1,41.46972000000096
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-08,1,2.819340000000011
0,2024-12-09,1,72.37988000000041
0,2024-12-10,1,9.409179999998742
0,2024-12-11,1,16.820310000000973
0,2024-12-12,1,33.83983999999873
0,2024-12-15,1,15.330080000001544
0,2024-12-16,1,4.420900000000984
0,2024-12-17,1,54.73925999999847
0,2024-12-18,0,-1.0
0,2024-12-19,1,81.68946000000142
0,2024-12-22,1,29.28027000000111
0,2024-12-23,1,38.81055000000015
0,2024-12-24,1,44.18944999999985
0,2024-12-25,1,9.939449999999852
0,2024-12-26,1,29.879880000000412
0,2024-12-29,1,51.90038999999888
0,2024-12-30,1,34.64061999999831
0,2024-12-31,1,10.979490000001533
0,2025-01-01,1,3.680659999999989
0,2025-01-02,1,12.489260000000286
0,2025-01-05,0,-1.0
0,2025-01-06,1,29.0703199999989
0,2025-01-07,1,18.270509999998467
0,2025-01-08,1,45.24022999999943
0,2025-01-09,0,-1.0
0,2025-01-12,1,13.400390000000698
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,48.67968999999903
0,2025-01-19,1,44.080079999999725
0,2025-01-20,1,27.62010999999984
0,2025-01-21,1,6.790039999999863
0,2025-01-22,1,23.890619999998307
0,2025-01-23,1,43.109370000000126
0,2025-01-26,1,2.2900399999998626
0,2025-01-27,1,58.02930000000015
0,2025-01-28,1,13.569330000000264
0,2025-01-29,1,23.91015999999945
0,2025-01-30,1,38.99022999999943
0,2025-02-02,1,94.11035000000084
0,2025-02-03,1,40.95020000000113
0,2025-02-04,1,30.44043000000056
0,2025-02-05,1,8.729489999999714
0,2025-02-06,0,-1.0
0,2025-02-10,1,39.959969999999885
0,2025-02-11,0,-1.0
0,2025-02-12,1,33.46972000000096
0,2025-02-13,1,64.20019999999931
0,2025-02-16,1,85.44043000000056
0,2025-02-17,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,1,3.680659999999989
0,2025-02-20,1,18.040039999999863
0,2025-02-24,0,-1.0
0,2025-02-25,1,19.760740000001533
0,2025-02-26,0,-1.0
0,2025-02-27,0,-1.0
0,2025-03-02,1,82.68944999999985
0,2025-03-03,0,-1.0
0,2025-03-04,1,33.61913999999888
0,2025-03-05,0,-1.0
0,2025-03-06,1,59.04003999999986
0,2025-03-09,1,78.10059000000001
0,2025-03-10,1,194.85059
0,2025-03-11,1,43.06934000000001
0,2025-03-12,1,13.269529999999577
0,2025-03-13,0,-1.0
0,2025-03-16,1,44.96972999999889
0,2025-03-17,1,64.42969000000085
0,2025-03-18,1,1.0800800000015442
0,2025-03-19,1,21.85059000000001
0,2025-03-20,0,-1.0
0,2025-03-23,1,31.850580000000264
0,2025-03-24,1,50.70996000000014
0,2025-03-25,0,-1.0
0,2025-03-26,1,93.89062000000013
0,2025-03-27,1,187.66992000000027
0,2025-04-03,0,-1.0
0,2025-04-06,0,-1.0
0,2025-04-07,1,336.99023000000125
0,2025-04-08,1,41.33006999999998
0,2025-04-09,1,453.0800799999997
0,2025-04-10,1,122.10057999999844
0,2025-04-13,1,11.650390000000698
0,2025-04-14,0,-1.0
0,2025-04-15,1,14.870119999999588
0,2025-04-16,1,46.22069999999985
