,date,accuracy,potential
0,2024-11-11,1,12.08411000000001
0,2024-11-12,1,9.298459999999977
0,2024-11-13,0,-1.0
0,2024-11-14,1,1.4368900000001759
0,2024-11-15,1,20.459100000000035
0,2024-11-18,1,21.292120000000068
0,2024-11-19,1,11.152469999999994
0,2024-11-20,0,-1.0
0,2024-11-21,1,6.752799999999979
0,2024-11-22,1,20.216179999999895
0,2024-11-25,1,5.4877899999999045
0,2024-11-26,0,-1.0
0,2024-11-27,1,11.43432000000007
0,2024-11-29,1,31.745239999999967
0,2024-12-02,1,7.9396999999999025
0,2024-12-03,1,42.06932999999981
0,2024-12-04,1,2.574579999999969
0,2024-12-05,1,39.66076999999996
0,2024-12-06,0,-1.0
0,2024-12-09,1,11.100100000000111
0,2024-12-10,1,5.215820000000122
0,2024-12-11,1,25.0156199999999
0,2024-12-12,1,16.53394000000003
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,5.675290000000132
0,2024-12-18,1,19.224730000000136
0,2024-12-19,1,16.243650000000116
0,2024-12-20,1,4.474609999999984
0,2024-12-23,1,5.772210000000086
0,2024-12-24,1,10.587530000000015
0,2024-12-26,1,17.972530000000006
0,2024-12-27,1,9.540160000000014
0,2024-12-30,0,-1.0
0,2024-12-31,1,36.067999999999984
0,2025-01-02,0,-1.0
0,2025-01-03,1,28.439699999999903
0,2025-01-06,1,37.63623000000007
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,55.475580000000036
0,2025-01-13,1,1.0605400000001737
0,2025-01-14,0,-1.0
0,2025-01-15,1,8.49108000000001
0,2025-01-16,1,2.816280000000006
0,2025-01-17,1,25.415770000000066
0,2025-01-21,0,-1.0
0,2025-01-22,1,30.149779999999964
0,2025-01-23,1,8.158200000000079
0,2025-01-24,1,26.037109999999984
0,2025-01-27,1,15.841789999999946
0,2025-01-28,1,9.904909999999973
0,2025-01-29,1,19.081539999999904
0,2025-01-30,0,-1.0
0,2025-01-31,1,6.601070000000163
0,2025-02-03,1,52.43529999999987
0,2025-02-04,1,16.997810000000072
0,2025-02-05,1,17.591069999999945
0,2025-02-06,1,12.55444999999986
0,2025-02-07,1,37.58752000000004
0,2025-02-10,1,26.680790000000115
0,2025-02-11,1,25.14038000000005
0,2025-02-12,1,7.801150000000007
0,2025-02-13,0,-1.0
0,2025-02-14,1,20.34997999999996
0,2025-02-18,1,28.753420000000006
0,2025-02-19,1,3.6232899999999972
0,2025-02-20,1,27.903679999999895
0,2025-02-21,1,5.150759999999991
0,2025-02-24,1,19.254270000000133
0,2025-02-25,1,17.555669999999964
0,2025-02-26,1,32.234989999999925
0,2025-02-27,1,25.471430000000055
0,2025-02-28,1,24.977169999999887
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,13.397590000000037
0,2025-03-06,0,-1.0
0,2025-03-07,1,28.25927999999999
0,2025-03-10,1,18.93152000000009
0,2025-03-11,1,9.75879000000009
0,2025-03-12,1,18.119380000000092
0,2025-03-13,1,32.58215999999993
0,2025-03-14,1,26.395379999999932
0,2025-03-17,1,17.256830000000036
0,2025-03-18,0,-1.0
0,2025-03-19,1,6.065180000000055
0,2025-03-20,0,-1.0
0,2025-03-21,1,23.11340999999993
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,20.038700000000063
0,2025-03-27,1,13.26269000000002
0,2025-03-28,1,32.4699700000001
0,2025-03-31,1,22.173340000000053
0,2025-04-01,1,20.40050999999994
0,2025-04-02,1,148.49243
0,2025-04-03,0,-1.0
0,2025-04-04,1,43.69921999999997
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,1,11.07483000000002
0,2025-04-11,0,-1.0
0,2025-04-14,1,3.387209999999868
0,2025-04-15,1,40.131470000000036
0,2025-04-16,1,48.48852000000011
