,date,accuracy,potential
0,2024-11-08,1,50.019530000001396
0,2024-11-11,0,-1.0
0,2024-11-12,1,79.67969000000085
0,2024-11-13,1,61.359370000001945
0,2024-11-14,1,497.87890000000334
0,2024-11-18,1,316.42969000000085
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,234.5410099999972
0,2024-11-26,1,22.919920000000275
0,2024-11-27,1,328.14062999999805
0,2024-11-28,1,181.65819999999803
0,2024-11-29,1,96.00976000000082
0,2024-12-02,1,81.34961000000112
0,2024-12-03,1,34.23047000000224
0,2024-12-04,1,198.31835999999748
0,2024-12-05,1,54.87109000000055
0,2024-12-06,1,80.21094000000085
0,2024-12-09,1,137.39062000000195
0,2024-12-10,1,37.490240000002814
0,2024-12-11,0,-1.0
0,2024-12-12,1,172.91015000000334
0,2024-12-13,1,94.98047000000224
0,2024-12-16,1,185.18946000000142
0,2024-12-17,0,-1.0
0,2024-12-18,1,383.5996100000011
0,2024-12-19,1,186.21092999999746
0,2024-12-20,1,35.919920000000275
0,2024-12-23,0,-1.0
0,2024-12-24,1,36.56054000000222
0,2024-12-26,1,3.699220000002242
0,2024-12-27,1,152.81054000000222
0,2024-12-30,0,-1.0
0,2024-12-31,1,35.269530000001396
0,2025-01-01,1,188.84961000000112
0,2025-01-02,0,-1.0
0,2025-01-03,1,23.080069999999978
0,2025-01-06,1,150.84960999999748
0,2025-01-07,1,225.47070000000167
0,2025-01-08,1,82.98045999999886
0,2025-01-09,1,334.8398500000003
0,2025-01-10,1,170.0
0,2025-01-13,1,276.8808600000011
0,2025-01-14,1,110.34961000000112
0,2025-01-15,1,144.50977000000057
0,2025-01-16,1,412.83984999999666
0,2025-01-17,1,71.53906000000279
0,2025-01-20,1,121.44140999999945
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,15.5
0,2025-01-24,0,-1.0
0,2025-01-27,1,58.03906000000279
0,2025-01-28,0,-1.0
0,2025-01-29,1,60.240230000003066
0,2025-01-30,1,23.60156000000279
0,2025-01-31,0,-1.0
0,2025-02-01,0,-1.0
0,2025-02-03,1,222.54101000000082
0,2025-02-04,1,162.66015999999945
0,2025-02-05,1,30.798829999999725
0,2025-02-06,1,160.38086000000112
0,2025-02-07,0,-1.0
0,2025-02-10,1,65.84960999999748
0,2025-02-11,1,104.61914000000252
0,2025-02-12,1,70.24023000000307
0,2025-02-13,1,118.11131999999998
0,2025-02-14,1,241.83007999999973
0,2025-02-17,1,113.13867000000027
0,2025-02-18,1,214.4101499999997
0,2025-02-19,1,71.0898500000003
0,2025-02-20,1,70.04882999999973
0,2025-02-21,1,414.7089899999992
0,2025-02-24,1,67.52929000000222
0,2025-02-25,1,75.53125
0,2025-02-27,1,577.25
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,55.25
0,2025-03-06,1,122.85156000000279
0,2025-03-07,1,141.6093699999983
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,46.76952999999776
0,2025-03-13,1,57.17968999999721
0,2025-03-17,1,7.179690000000846
0,2025-03-18,1,231.49023000000307
0,2025-03-19,1,362.02148000000307
0,2025-03-20,1,106.31835999999748
0,2025-03-21,1,106.19140999999945
0,2025-03-24,1,298.4101600000031
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,196.5
0,2025-03-28,1,232.2109300000011
0,2025-04-01,0,-1.0
0,2025-04-02,0,-1.0
0,2025-04-03,1,356.50976999999693
0,2025-04-04,1,977.0302699999993
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,346.81055000000015
0,2025-04-11,0,-1.0
0,2025-04-15,1,12.5
0,2025-04-16,1,227.68066
