,date,accuracy,potential
0,2024-11-08,1,40.650399999998626
0,2024-11-11,1,77.20019999999931
0,2024-11-12,1,34.04980000000069
0,2024-11-13,1,128.95019000000138
0,2024-11-14,1,99.5
0,2024-11-18,0,-1.0
0,2024-11-19,1,247.79980999999862
0,2024-11-21,0,-1.0
0,2024-11-22,1,353.6992199999986
0,2024-11-25,1,31.39940999999999
0,2024-11-26,1,0.5498000000006869
0,2024-11-27,1,12.5
0,2024-11-28,0,-1.0
0,2024-11-29,1,1.350590000000011
0,2024-12-02,1,64.89940999999999
0,2024-12-03,0,-1.0
0,2024-12-04,1,88.0507800000014
0,2024-12-05,1,98.79980000000069
0,2024-12-06,0,-1.0
0,2024-12-09,1,34.549809999998615
0,2024-12-10,0,-1.0
0,2024-12-11,1,3.850590000000011
0,2024-12-12,1,24.25
0,2024-12-13,1,13.099609999999302
0,2024-12-16,1,89.15039999999863
0,2024-12-17,1,130.20019000000138
0,2024-12-18,0,-1.0
0,2024-12-19,1,61.54980000000069
0,2024-12-20,1,65.1503900000007
0,2024-12-23,1,86.0996099999993
0,2024-12-24,0,-1.0
0,2024-12-26,1,36.0
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,10.950190000001385
0,2025-01-01,1,31.25
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,142.0498000000007
0,2025-01-07,1,69.75
0,2025-01-08,1,95.5
0,2025-01-09,1,237.70019000000138
0,2025-01-10,1,190.7998000000007
0,2025-01-13,1,220.0996099999993
0,2025-01-14,1,168.1503900000007
0,2025-01-15,1,138.1992199999986
0,2025-01-16,1,51.95019999999931
0,2025-01-17,1,26.950199999999313
0,2025-01-20,1,110.25
0,2025-01-21,1,171.25
0,2025-01-22,1,62.14940999999999
0,2025-01-23,1,92.75
0,2025-01-24,1,257.1503900000007
0,2025-01-27,1,227.39941
0,2025-01-28,1,120.84960000000137
0,2025-01-29,1,157.7998000000007
0,2025-01-30,1,79.39940999999999
0,2025-01-31,1,80.65039999999863
0,2025-02-01,1,406.7998000000007
0,2025-02-03,1,159.9003900000007
0,2025-02-04,0,-1.0
0,2025-02-05,1,58.25
0,2025-02-06,0,-1.0
0,2025-02-07,1,193.25
0,2025-02-10,0,-1.0
0,2025-02-11,1,245.75
0,2025-02-12,1,113.59960000000137
0,2025-02-13,1,149.35059
0,2025-02-14,1,185.04980999999952
0,2025-02-17,1,174.45020000000022
0,2025-02-18,1,41.25
0,2025-02-19,1,23.049800000000687
0,2025-02-20,1,91.0507800000014
0,2025-02-21,0,-1.0
0,2025-02-24,1,59.6503900000007
0,2025-02-25,1,74.29980999999862
0,2025-02-27,1,161.84960000000046
0,2025-02-28,1,61.5
0,2025-03-03,1,165.95020000000022
0,2025-03-04,1,201.34960000000137
0,2025-03-05,0,-1.0
0,2025-03-06,1,14.850590000000011
0,2025-03-07,1,124.25
0,2025-03-10,1,114.75
0,2025-03-11,1,73.85059000000001
0,2025-03-12,0,-1.0
0,2025-03-13,1,4.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,89.3496099999993
0,2025-03-20,1,143.3007800000014
0,2025-03-21,1,192.14941
0,2025-03-24,1,76.04980000000069
0,2025-03-25,1,8.150399999998626
0,2025-03-26,1,13.849600000001374
0,2025-03-27,0,-1.0
0,2025-03-28,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,21.0
0,2025-04-03,1,271.4492199999986
0,2025-04-04,1,538.0498000000007
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,159.0
0,2025-04-11,1,176.8007800000014
0,2025-04-15,1,29.349609999999302
0,2025-04-16,1,72.04980999999862
