,date,accuracy,potential
0,2024-11-11,1,4.150029999999788
0,2024-11-12,0,-1.0
0,2024-11-13,1,7.900029999999788
0,2024-11-14,1,7.469970000000103
0,2024-11-15,1,11.050050000000056
0,2024-11-18,0,-1.0
0,2024-11-19,1,2.829959999999801
0,2024-11-20,1,11.479980000000069
0,2024-11-21,1,25.480099999999993
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,5.260009999999966
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,16.679939999999988
0,2024-12-04,1,12.239990000000034
0,2024-12-05,1,9.439939999999979
0,2024-12-06,1,1.0400399999998626
0,2024-12-09,1,6.980099999999993
0,2024-12-10,1,5.8499799999999595
0,2024-12-11,1,0.12000000000011823
0,2024-12-12,1,11.010009999999966
0,2024-12-13,1,10.60997999999995
0,2024-12-16,0,-1.0
0,2024-12-17,1,4.319950000000063
0,2024-12-18,1,6.189949999999953
0,2024-12-19,1,30.979989999999816
0,2024-12-20,1,19.859989999999925
0,2024-12-23,1,8.770020000000159
0,2024-12-24,1,14.769900000000007
0,2024-12-26,1,5.640019999999822
0,2024-12-27,0,-1.0
0,2024-12-30,1,9.61999999999989
0,2024-12-31,1,10.419930000000022
0,2025-01-02,1,4.410030000000006
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,9.670039999999972
0,2025-01-08,0,-1.0
0,2025-01-10,1,9.989990000000034
0,2025-01-13,0,-1.0
0,2025-01-14,1,17.72998000000007
0,2025-01-15,0,-1.0
0,2025-01-16,1,2.5
0,2025-01-17,0,-1.0
0,2025-01-21,1,13.38000000000011
0,2025-01-22,1,5.890019999999822
0,2025-01-23,1,0.929930000000013
0,2025-01-24,1,20.280029999999897
0,2025-01-27,1,2.099969999999985
0,2025-01-28,1,4.439939999999979
0,2025-01-29,0,-1.0
0,2025-01-30,1,11.429930000000013
0,2025-01-31,1,55.70995999999991
0,2025-02-03,1,7.879999999999882
0,2025-02-04,1,0.4500700000000961
0,2025-02-05,1,16.640019999999822
0,2025-02-06,1,7.739990000000034
0,2025-02-07,1,12.53002000000015
0,2025-02-10,1,5.9200499999999465
0,2025-02-11,0,-1.0
0,2025-02-12,1,4.189949999999953
0,2025-02-13,1,13.319949999999835
0,2025-02-14,1,11.390010000000075
0,2025-02-18,0,-1.0
0,2025-02-19,1,6.280029999999897
0,2025-02-20,1,46.91003999999998
0,2025-02-21,1,11.570069999999987
0,2025-02-24,1,13.609989999999925
0,2025-02-25,1,5.180059999999912
0,2025-02-26,1,16.869990000000143
0,2025-02-27,1,20.719970000000103
0,2025-02-28,1,14.25
0,2025-03-03,1,24.299929999999904
0,2025-03-04,1,19.319950000000063
0,2025-03-05,1,11.369990000000143
0,2025-03-06,1,10.310060000000021
0,2025-03-07,1,5.309940000000097
0,2025-03-10,1,31.110099999999875
0,2025-03-11,1,13.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,0.6400100000000748
0,2025-03-14,0,-1.0
0,2025-03-17,1,2.8100500000000466
0,2025-03-18,1,4.290039999999863
0,2025-03-19,1,11.429939999999988
0,2025-03-20,0,-1.0
0,2025-03-21,1,27.679939999999988
0,2025-03-24,1,4.829960000000028
0,2025-03-25,0,-1.0
0,2025-03-26,1,0.8599900000001526
0,2025-03-27,1,9.690059999999903
0,2025-03-28,1,9.760009999999966
0,2025-03-31,1,14.169920000000047
0,2025-04-01,1,6.349970000000212
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,44.35002999999995
0,2025-04-07,1,18.45997
0,2025-04-08,1,1.2799699999999348
0,2025-04-09,1,37.06000000000006
0,2025-04-10,0,-1.0
0,2025-04-11,1,26.190000000000055
0,2025-04-14,0,-1.0
0,2025-04-15,1,17.36999000000003
0,2025-04-16,0,-1.0
