,date,accuracy,potential
0,2024-11-11,1,4.540039999999863
0,2024-11-12,1,5.800049999999828
0,2024-11-13,1,1.780029999999897
0,2024-11-14,0,-1.0
0,2024-11-15,1,10.669930000000022
0,2024-11-18,1,10.760010000000193
0,2024-11-19,1,3.3400799999999435
0,2024-11-20,0,-1.0
0,2024-11-21,1,10.800050000000056
0,2024-11-22,1,10.969970000000103
0,2024-11-25,1,3.8299600000000282
0,2024-11-26,1,12.690059999999903
0,2024-11-27,1,11.560059999999794
0,2024-11-29,1,11.660030000000006
0,2024-12-02,1,5.980099999999993
0,2024-12-03,1,15.10997999999995
0,2024-12-04,1,3.430059999999912
0,2024-12-05,1,9.84997999999996
0,2024-12-06,1,4.330069999999978
0,2024-12-09,0,-1.0
0,2024-12-10,1,10.069950000000063
0,2024-12-11,1,1.6600399999999809
0,2024-12-12,1,11.949959999999919
0,2024-12-13,0,-1.0
0,2024-12-16,1,20.52001999999993
0,2024-12-17,1,4.760009999999966
0,2024-12-18,1,16.52001999999993
0,2024-12-19,1,10.979980000000069
0,2024-12-20,1,5.800040000000081
0,2024-12-23,1,2.3800099999998565
0,2024-12-24,1,8.729980000000069
0,2024-12-26,1,16.709969999999885
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,0.6500300000000152
0,2025-01-02,0,-1.0
0,2025-01-03,1,23.92003999999997
0,2025-01-06,1,12.430049999999937
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,25.05993999999987
0,2025-01-14,0,-1.0
0,2025-01-15,1,9.079960000000028
0,2025-01-16,1,1.5599399999998695
0,2025-01-17,1,32.10997999999995
0,2025-01-21,1,53.2199700000001
0,2025-01-22,1,3.410030000000006
0,2025-01-23,1,12.179939999999988
0,2025-01-24,0,-1.0
0,2025-01-27,1,12.439949999999953
0,2025-01-28,1,18.34997999999996
0,2025-01-29,0,-1.0
0,2025-01-30,1,26.989990000000034
0,2025-01-31,1,39.22998000000007
0,2025-02-03,1,8.589969999999994
0,2025-02-04,1,0.9699699999998757
0,2025-02-05,0,-1.0
0,2025-02-06,1,5.819950000000063
0,2025-02-07,0,-1.0
0,2025-02-10,1,17.659909999999854
0,2025-02-11,1,18.19995999999992
0,2025-02-12,0,-1.0
0,2025-02-13,1,2.950070000000096
0,2025-02-14,1,6.559940000000097
0,2025-02-18,1,4.9400600000001305
0,2025-02-19,0,-1.0
0,2025-02-20,1,18.08008000000018
0,2025-02-21,1,17.810050000000047
0,2025-02-24,0,-1.0
0,2025-02-25,1,1.9699699999998757
0,2025-02-26,1,12.209960000000137
0,2025-02-27,1,9.479980000000069
0,2025-02-28,1,7.299930000000131
0,2025-03-03,1,37.14001999999982
0,2025-03-04,1,12.260009999999966
0,2025-03-05,0,-1.0
0,2025-03-06,1,4.770019999999931
0,2025-03-07,0,-1.0
0,2025-03-10,1,11.530029999999897
0,2025-03-11,1,24.460079999999834
0,2025-03-12,1,11.010000000000218
0,2025-03-13,0,-1.0
0,2025-03-14,1,14.939949999999953
0,2025-03-17,1,4.0799500000000535
0,2025-03-18,0,-1.0
0,2025-03-19,1,14.270019999999931
0,2025-03-20,1,20.78991999999994
0,2025-03-21,0,-1.0
0,2025-03-24,1,2.380000000000109
0,2025-03-25,1,2.109989999999925
0,2025-03-26,1,20.510009999999966
0,2025-03-27,1,24.390019999999822
0,2025-03-28,0,-1.0
0,2025-03-31,1,13.710080000000062
0,2025-04-01,1,15.429930000000013
0,2025-04-02,1,111.22002999999995
0,2025-04-03,1,91.92998999999998
0,2025-04-04,1,37.389959999999974
0,2025-04-07,1,40.07000000000005
0,2025-04-08,1,14.049980000000005
0,2025-04-09,1,49.70001000000002
0,2025-04-10,1,18.34997999999996
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,1.9400000000000546
